Doculect1	Doculect2	SharedCognateCount
BNMKung2	WCANgun1	17
BNMKung2	ZKGKung1	90
CENMundabli2	DNMMumfu2	88
CENMundabli2	DPJKoshin1	14
CENMundabli2	DPNFang13	42
CENMundabli2	ECLAbar8	13
CENMundabli2	ENBBiya1	13
CENMundabli2	FBCBiya8	14
CENMundabli2	ICNBiya2	15
CENMundabli2	JGYKoshin3	51
CENMundabli2	KBMNgun4	14
CENMundabli2	KCSKung3	17
CENMundabli2	KCYBuu2	45
CENMundabli2	KDCAjumbu10	29
CENMundabli2	KDVFang1	34
CENMundabli2	KEMBuu1	49
CENMundabli2	KFKMashi1	32
CENMundabli2	KHKFang12	43
CENMundabli2	KJSFang2	36
CENMundabli2	KMNAjumbu2	24
CENMundabli2	LFNMundabli1	111
CENMundabli2	MCANgun3	15
CENMundabli2	MEAMumfu3	97
CENMundabli2	MNJBuu4	51
CENMundabli2	MRYKoshin2	32
CENMundabli2	NACAbar2	15
CENMundabli2	NCCMumfu4	99
CENMundabli2	NCMMashi5	29
CENMundabli2	NDNMissong5	20
CENMundabli2	NEAMunken1	15
CENMundabli2	NEMAjumbu9	31
CENMundabli2	NFKBiya7	13
CENMundabli2	NGTMunken3	15
CENMundabli2	NINMundabli4	111
CENMundabli2	NJNBiya6	16
CENMundabli2	NJSKung4	16
CENMundabli2	NMAAbar1	14
CENMundabli2	NMNMundabli3	116
CENMundabli2	NMSMissong4	19
CENMundabli2	NNBBuu3	53
CENMundabli2	NSFBiya5	14
CENMundabli2	NUNMunken4	15
CENMundabli2	NVBAbar7	15
CENMundabli2	NVIAjumbu1	24
CENMundabli2	TELKoshin4	48
CENMundabli2	TNTMunken2	15
CENMundabli2	WCANgun1	13
CENMundabli2	ZKGKung1	14
DNMMumfu2	DPJKoshin1	15
DNMMumfu2	DPNFang13	37
DNMMumfu2	ECLAbar8	14
DNMMumfu2	ENBBiya1	11
DNMMumfu2	FBCBiya8	13
DNMMumfu2	ICNBiya2	11
DNMMumfu2	JGYKoshin3	41
DNMMumfu2	KBMNgun4	12
DNMMumfu2	KCSKung3	13
DNMMumfu2	KCYBuu2	38
DNMMumfu2	KDCAjumbu10	23
DNMMumfu2	KDVFang1	31
DNMMumfu2	KEMBuu1	43
DNMMumfu2	KFKMashi1	28
DNMMumfu2	KHKFang12	36
DNMMumfu2	KJSFang2	30
DNMMumfu2	KMNAjumbu2	22
DNMMumfu2	LFNMundabli1	90
DNMMumfu2	MCANgun3	13
DNMMumfu2	MEAMumfu3	106
DNMMumfu2	MNJBuu4	44
DNMMumfu2	MRYKoshin2	26
DNMMumfu2	NACAbar2	11
DNMMumfu2	NCCMumfu4	105
DNMMumfu2	NCMMashi5	28
DNMMumfu2	NDNMissong5	19
DNMMumfu2	NEAMunken1	13
DNMMumfu2	NEMAjumbu9	27
DNMMumfu2	NFKBiya7	13
DNMMumfu2	NGTMunken3	12
DNMMumfu2	NINMundabli4	85
DNMMumfu2	NJNBiya6	16
DNMMumfu2	NJSKung4	13
DNMMumfu2	NMAAbar1	10
DNMMumfu2	NMNMundabli3	87
DNMMumfu2	NMSMissong4	23
DNMMumfu2	NNBBuu3	44
DNMMumfu2	NSFBiya5	16
DNMMumfu2	NUNMunken4	13
DNMMumfu2	NVBAbar7	13
DNMMumfu2	NVIAjumbu1	21
DNMMumfu2	TELKoshin4	40
DNMMumfu2	TNTMunken2	12
DNMMumfu2	WCANgun1	13
DNMMumfu2	ZKGKung1	11
DPJKoshin1	DPNFang13	17
DPJKoshin1	ECLAbar8	8
DPJKoshin1	ENBBiya1	8
DPJKoshin1	FBCBiya8	9
DPJKoshin1	ICNBiya2	9
DPJKoshin1	JGYKoshin3	27
DPJKoshin1	KBMNgun4	11
DPJKoshin1	KCSKung3	11
DPJKoshin1	KCYBuu2	18
DPJKoshin1	KDCAjumbu10	12
DPJKoshin1	KDVFang1	14
DPJKoshin1	KEMBuu1	18
DPJKoshin1	KFKMashi1	13
DPJKoshin1	KHKFang12	16
DPJKoshin1	KJSFang2	13
DPJKoshin1	KMNAjumbu2	11
DPJKoshin1	LFNMundabli1	13
DPJKoshin1	MCANgun3	9
DPJKoshin1	MEAMumfu3	13
DPJKoshin1	MNJBuu4	16
DPJKoshin1	MRYKoshin2	28
DPJKoshin1	NACAbar2	9
DPJKoshin1	NCCMumfu4	13
DPJKoshin1	NCMMashi5	17
DPJKoshin1	NDNMissong5	10
DPJKoshin1	NEAMunken1	9
DPJKoshin1	NEMAjumbu9	12
DPJKoshin1	NFKBiya7	9
DPJKoshin1	NGTMunken3	7
DPJKoshin1	NINMundabli4	15
DPJKoshin1	NJNBiya6	8
DPJKoshin1	NJSKung4	8
DPJKoshin1	NMAAbar1	9
DPJKoshin1	NMNMundabli3	11
DPJKoshin1	NMSMissong4	10
DPJKoshin1	NNBBuu3	16
DPJKoshin1	NSFBiya5	8
DPJKoshin1	NUNMunken4	8
DPJKoshin1	NVBAbar7	9
DPJKoshin1	NVIAjumbu1	8
DPJKoshin1	TELKoshin4	24
DPJKoshin1	TNTMunken2	8
DPJKoshin1	WCANgun1	9
DPJKoshin1	ZKGKung1	8
DPNFang13	ECLAbar8	23
DPNFang13	ENBBiya1	16
DPNFang13	FBCBiya8	18
DPNFang13	ICNBiya2	16
DPNFang13	JGYKoshin3	58
DPNFang13	KBMNgun4	20
DPNFang13	KCSKung3	26
DPNFang13	KCYBuu2	48
DPNFang13	KDCAjumbu10	47
DPNFang13	KDVFang1	88
DPNFang13	KEMBuu1	48
DPNFang13	KFKMashi1	28
DPNFang13	KHKFang12	125
DPNFang13	KJSFang2	83
DPNFang13	KMNAjumbu2	45
DPNFang13	LFNMundabli1	44
DPNFang13	MCANgun3	21
DPNFang13	MEAMumfu3	39
DPNFang13	MNJBuu4	52
DPNFang13	MRYKoshin2	44
DPNFang13	NACAbar2	18
DPNFang13	NCCMumfu4	38
DPNFang13	NCMMashi5	29
DPNFang13	NDNMissong5	22
DPNFang13	NEAMunken1	22
DPNFang13	NEMAjumbu9	50
DPNFang13	NFKBiya7	19
DPNFang13	NGTMunken3	18
DPNFang13	NINMundabli4	42
DPNFang13	NJNBiya6	18
DPNFang13	NJSKung4	25
DPNFang13	NMAAbar1	18
DPNFang13	NMNMundabli3	44
DPNFang13	NMSMissong4	21
DPNFang13	NNBBuu3	51
DPNFang13	NSFBiya5	17
DPNFang13	NUNMunken4	20
DPNFang13	NVBAbar7	20
DPNFang13	NVIAjumbu1	44
DPNFang13	TELKoshin4	52
DPNFang13	TNTMunken2	17
