Concept	Stability
thirty (30)	0.4575361383
coarse flour (kende)	0.455644679
meat slate	0.4555031077
clock	0.4553909541
fruit	0.4549908669
fifty (50)	0.4542109833
trough, (cocoyam, cow)	0.4537243574
palm beetle	0.4524629779
trap	0.4524484258
testicle	0.4520814206
thief	0.4518340039
kernel oil	0.4513592407
suffer (n)	0.4511853272
star	0.450817564
palm cotton	0.4505948539
man	0.4485791134
liver	0.4472890176
palm maggot (grub)	0.4460379411
partridge (non red legs)	0.4460379411
white neck hawk	0.4444805622
bedbug	0.4441663721
coffin	0.4438495618
calabash (no hole)	0.4437179568
tobacco powder	0.4429329352
drum	0.4426569253
buttock	0.4419882105
compound	0.4400380246
lie (n), false (n)	0.439618605
oath (n)	0.4393538773
fruit fly	0.4393197621
chin	0.4383757887
bamboo rattle	0.437713553
catarrh	0.4372807859
father-in-law	0.4355450641
chair (bamboo)	0.4355245321
guitar	0.4355245321
calabash (wine share)	0.43462557
pestle (fufu)	0.43462557
sixty (60)	0.4338346164
ash (wood)	0.4323798601
snail	0.431457637
white man	0.4308144816
kernel chaff	0.4285003888
rice	0.4254921071
forehead	0.4252140098
sixteen (16)	0.4244635862
fist	0.4234625264
branch (tree)	0.4216983008
fufu dish	0.4212580555
cane rat	0.421252692
mother-in-law	0.421252692
hot, heat (solid)	0.4211325472
ant (black, builds a mount on a tree)	0.4206198357
bamboo-piano	0.4206198357
bat (largest)	0.4206198357
breath 1	0.4206198357
calcium carbonate (liquid)	0.4206198357
fire, gun	0.4206198357
he-goat	0.4206198357
k.o snake (mboma)	0.4206198357
k.o tree	0.4206198357
millipede	0.4206198357
palm thorns	0.4206198357
red	0.4206198357
ring	0.4206198357
swallow bird	0.4206198357
tarantula	0.4206198357
upper-grinding-stone(pepper)	0.4206198357
upper-wall-shelf (inside the house)	0.4206198357
wasp (brown)	0.4206198357
water duck	0.4206198357
fifteen (15)	0.4204523003
rainbow	0.4193587803
shoulder	0.4177984775
nineteen (19)	0.4174695353
gall bladder	0.4134828341
wasp (house, black)	0.410611999
vomit matter	0.4097447462
wind	0.4097308896
pestle (palm nut)	0.4095637167
