ID	CONCEPT	DOCULECT	VALUE	TOKENS	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	SCAID	ALIGNMENT
37607	hunger	tivtivoid	i̱jə̭n	i j ə n	7 6 7 4	XBYN	IJEN	201	201.I.V 201.J.C 201.E.V 201.N.c	1.5 1.75 1.3 0.8	ijən	0	8855	i j ə n
395	intestine	a11londo	è-wùŋgé	e w u ŋ g e	7 6 7 4 1 7	XBYMBZ	EWYNKE	1	1.E.V 1.W.C 1.Y.V 1.N.c 1.K.C 1.E.V	1.5 1.75 1.3 1.1 1.75 0.8	ewuŋge	0	8856	- e w u ŋ g e
495	intestine	a121mbonge	mea	m e a	4 7 7	AXZ	MEA	2	2.M.C 2.E.V 2.A.V	2.0 1.5 0.8	mea	1	8998	- - - m - e - - a
595	intestine	a122bakundu	mea	m e a	4 7 7	AXZ	MEA	3	3.M.C 3.E.V 3.A.V	2.0 1.5 0.8	mea	0	8998	- - - m - e - - a
695	intestine	a141lefo	ǹ-yà	n j a	4 6 7	ACX	NJA	4	4.N.C 4.J.C 4.A.V	2.0 1.5 1.5	nja	0	8859	n - j a - - -
795	intestine	a151nkongho	myɛ̀ˀ	m j ɛˀ	4 6 7	ACX	MJE	5	5.M.C 5.J.C 5.E.V	2.0 1.5 1.5	mjɛˀ	0	8860	m - j ɛˀ - -
895	intestine	a15ambuu	ḿmyə̀	m m j ə	4 4 6 7	ACCZ	MMJE	6	6.M.C 6.M.C 6.J.C 6.E.V	2.0 1.5 1.5 0.8	mmjə	0	8860	m m j ə - -
995	intestine	a15bmiengenwmanenguba	ḿmyə̀	m m j ə	4 4 6 7	ACCZ	MMJE	7	7.M.C 7.M.C 7.J.C 7.E.V	2.0 1.5 1.5 0.8	mmjə	0	8860	m m j ə - -
1094	intestine	a15cakossi	mìì	m i i	4 7 7	AXZ	MII	8	8.M.C 8.I.V 8.I.V	2.0 1.5 0.8	mii	0	8998	- - - m - i - - i
1194	intestine	a15celungcentralmanenguba	mì	m i	4 7	AX	MI	9	9.M.C 9.I.V	2.0 1.5	mi	0	8998	- - - m - i - - -
