Doculect1	Doculect2	SharedCognateCount
BNMKung2	MRYKoshin2	23
BNMKung2	NACAbar2	21
BNMKung2	NCCMumfu4	15
BNMKung2	NCMMashi5	22
BNMKung2	NDNMissong5	21
BNMKung2	NEAMunken1	23
BNMKung2	NEMAjumbu9	25
BNMKung2	NFKBiya7	20
BNMKung2	NGTMunken3	23
BNMKung2	NINMundabli4	16
BNMKung2	NJNBiya6	22
BNMKung2	NJSKung4	86
BNMKung2	NMAAbar1	22
BNMKung2	NMNMundabli3	14
BNMKung2	NMSMissong4	20
BNMKung2	NNBBuu3	28
BNMKung2	NSFBiya5	24
BNMKung2	NUNMunken4	22
BNMKung2	NVBAbar7	22
BNMKung2	NVIAjumbu1	25
BNMKung2	TELKoshin4	28
BNMKung2	TNTMunken2	20
BNMKung2	WCANgun1	18
BNMKung2	ZKGKung1	89
CENMundabli2	DNMMumfu2	92
CENMundabli2	DPNFang13	42
CENMundabli2	ECLAbar8	14
CENMundabli2	ENBBiya1	15
CENMundabli2	FBCBiya8	15
CENMundabli2	ICNBiya2	16
CENMundabli2	JGYKoshin3	48
CENMundabli2	KBMNgun4	15
CENMundabli2	KCSKung3	20
CENMundabli2	KCYBuu2	48
CENMundabli2	KDCAjumbu10	29
CENMundabli2	KDVFang1	32
CENMundabli2	KEMBuu1	52
CENMundabli2	KFKMashi1	31
CENMundabli2	KHKFang12	43
CENMundabli2	KJSFang2	35
CENMundabli2	KMNAjumbu2	25
CENMundabli2	LFNMundabli1	112
CENMundabli2	MCANgun3	16
CENMundabli2	MEAMumfu3	104
CENMundabli2	MNJBuu4	55
CENMundabli2	MRYKoshin2	32
CENMundabli2	NACAbar2	16
CENMundabli2	NCCMumfu4	106
CENMundabli2	NCMMashi5	28
CENMundabli2	NDNMissong5	20
CENMundabli2	NEAMunken1	15
CENMundabli2	NEMAjumbu9	31
CENMundabli2	NFKBiya7	13
CENMundabli2	NGTMunken3	15
CENMundabli2	NINMundabli4	112
CENMundabli2	NJNBiya6	17
CENMundabli2	NJSKung4	21
CENMundabli2	NMAAbar1	15
CENMundabli2	NMNMundabli3	116
CENMundabli2	NMSMissong4	19
CENMundabli2	NNBBuu3	56
CENMundabli2	NSFBiya5	15
CENMundabli2	NUNMunken4	15
CENMundabli2	NVBAbar7	14
CENMundabli2	NVIAjumbu1	26
CENMundabli2	TELKoshin4	50
CENMundabli2	TNTMunken2	15
CENMundabli2	WCANgun1	14
CENMundabli2	ZKGKung1	16
DNMMumfu2	DPNFang13	39
DNMMumfu2	ECLAbar8	14
DNMMumfu2	ENBBiya1	12
DNMMumfu2	FBCBiya8	13
DNMMumfu2	ICNBiya2	10
DNMMumfu2	JGYKoshin3	41
DNMMumfu2	KBMNgun4	11
DNMMumfu2	KCSKung3	16
DNMMumfu2	KCYBuu2	41
DNMMumfu2	KDCAjumbu10	23
DNMMumfu2	KDVFang1	31
DNMMumfu2	KEMBuu1	46
DNMMumfu2	KFKMashi1	29
DNMMumfu2	KHKFang12	38
DNMMumfu2	KJSFang2	30
DNMMumfu2	KMNAjumbu2	23
DNMMumfu2	LFNMundabli1	95
DNMMumfu2	MCANgun3	12
DNMMumfu2	MEAMumfu3	107
DNMMumfu2	MNJBuu4	47
DNMMumfu2	MRYKoshin2	26
DNMMumfu2	NACAbar2	11
DNMMumfu2	NCCMumfu4	106
DNMMumfu2	NCMMashi5	28
DNMMumfu2	NDNMissong5	19
DNMMumfu2	NEAMunken1	13
DNMMumfu2	NEMAjumbu9	27
DNMMumfu2	NFKBiya7	12
DNMMumfu2	NGTMunken3	12
DNMMumfu2	NINMundabli4	88
DNMMumfu2	NJNBiya6	16
DNMMumfu2	NJSKung4	18
DNMMumfu2	NMAAbar1	10
DNMMumfu2	NMNMundabli3	90
DNMMumfu2	NMSMissong4	23
DNMMumfu2	NNBBuu3	46
DNMMumfu2	NSFBiya5	16
DNMMumfu2	NUNMunken4	13
DNMMumfu2	NVBAbar7	12
DNMMumfu2	NVIAjumbu1	24
DNMMumfu2	TELKoshin4	41
DNMMumfu2	TNTMunken2	12
DNMMumfu2	WCANgun1	13
DNMMumfu2	ZKGKung1	13
DPNFang13	ECLAbar8	23
DPNFang13	ENBBiya1	19
DPNFang13	FBCBiya8	19
DPNFang13	ICNBiya2	17
DPNFang13	JGYKoshin3	59
DPNFang13	KBMNgun4	22
DPNFang13	KCSKung3	29
DPNFang13	KCYBuu2	49
DPNFang13	KDCAjumbu10	46
DPNFang13	KDVFang1	90
DPNFang13	KEMBuu1	49
DPNFang13	KFKMashi1	30
DPNFang13	KHKFang12	124
DPNFang13	KJSFang2	84
DPNFang13	KMNAjumbu2	45
DPNFang13	LFNMundabli1	44
DPNFang13	MCANgun3	21
DPNFang13	MEAMumfu3	40
DPNFang13	MNJBuu4	54
DPNFang13	MRYKoshin2	46
DPNFang13	NACAbar2	19
DPNFang13	NCCMumfu4	40
DPNFang13	NCMMashi5	32
DPNFang13	NDNMissong5	21
DPNFang13	NEAMunken1	23
DPNFang13	NEMAjumbu9	49
DPNFang13	NFKBiya7	20
DPNFang13	NGTMunken3	19
DPNFang13	NINMundabli4	43
DPNFang13	NJNBiya6	19
DPNFang13	NJSKung4	28
DPNFang13	NMAAbar1	19
DPNFang13	NMNMundabli3	45
DPNFang13	NMSMissong4	20
DPNFang13	NNBBuu3	52
DPNFang13	NSFBiya5	18
DPNFang13	NUNMunken4	20
DPNFang13	NVBAbar7	20
DPNFang13	NVIAjumbu1	43
DPNFang13	TELKoshin4	54
DPNFang13	TNTMunken2	19
DPNFang13	WCANgun1	21
DPNFang13	ZKGKung1	26
ECLAbar8	ENBBiya1	78
ECLAbar8	FBCBiya8	93
ECLAbar8	ICNBiya2	70
ECLAbar8	JGYKoshin3	30
ECLAbar8	KBMNgun4	104
ECLAbar8	KCSKung3	34
ECLAbar8	KCYBuu2	44
ECLAbar8	KDCAjumbu10	31
ECLAbar8	KDVFang1	15
ECLAbar8	KEMBuu1	40
ECLAbar8	KFKMashi1	25
ECLAbar8	KHKFang12	22
ECLAbar8	KJSFang2	17
ECLAbar8	KMNAjumbu2	33
ECLAbar8	LFNMundabli1	14
ECLAbar8	MCANgun3	96
ECLAbar8	MEAMumfu3	14
ECLAbar8	MNJBuu4	41
ECLAbar8	MRYKoshin2	20
ECLAbar8	NACAbar2	104
ECLAbar8	NCCMumfu4	14
ECLAbar8	NCMMashi5	27
ECLAbar8	NDNMissong5	92
ECLAbar8	NEAMunken1	95
ECLAbar8	NEMAjumbu9	26
ECLAbar8	NFKBiya7	91
ECLAbar8	NGTMunken3	95
ECLAbar8	NINMundabli4	16
ECLAbar8	NJNBiya6	96
ECLAbar8	NJSKung4	32
ECLAbar8	NMAAbar1	96
ECLAbar8	NMNMundabli3	14
ECLAbar8	NMSMissong4	90
ECLAbar8	NNBBuu3	47
ECLAbar8	NSFBiya5	96
ECLAbar8	NUNMunken4	95
ECLAbar8	NVBAbar7	119
ECLAbar8	NVIAjumbu1	31
ECLAbar8	TELKoshin4	28
ECLAbar8	TNTMunken2	93
ECLAbar8	WCANgun1	101
ECLAbar8	ZKGKung1	25
ENBBiya1	FBCBiya8	97
ENBBiya1	ICNBiya2	84
ENBBiya1	JGYKoshin3	19
ENBBiya1	KBMNgun4	87
ENBBiya1	KCSKung3	28
ENBBiya1	KCYBuu2	35
ENBBiya1	KDCAjumbu10	27
ENBBiya1	KDVFang1	16
ENBBiya1	KEMBuu1	34
ENBBiya1	KFKMashi1	22
ENBBiya1	KHKFang12	18
ENBBiya1	KJSFang2	17
ENBBiya1	KMNAjumbu2	31
ENBBiya1	LFNMundabli1	14
ENBBiya1	MCANgun3	79
ENBBiya1	MEAMumfu3	13
ENBBiya1	MNJBuu4	36
ENBBiya1	MRYKoshin2	15
ENBBiya1	NACAbar2	72
ENBBiya1	NCCMumfu4	15
ENBBiya1	NCMMashi5	23
ENBBiya1	NDNMissong5	70
ENBBiya1	NEAMunken1	79
ENBBiya1	NEMAjumbu9	27
ENBBiya1	NFKBiya7	90
ENBBiya1	NGTMunken3	82
ENBBiya1	NINMundabli4	17
ENBBiya1	NJNBiya6	95
ENBBiya1	NJSKung4	25
ENBBiya1	NMAAbar1	67
ENBBiya1	NMNMundabli3	15
ENBBiya1	NMSMissong4	64
ENBBiya1	NNBBuu3	36
ENBBiya1	NSFBiya5	87
ENBBiya1	NUNMunken4	81
ENBBiya1	NVBAbar7	75
ENBBiya1	NVIAjumbu1	32
ENBBiya1	TELKoshin4	20
ENBBiya1	TNTMunken2	78
ENBBiya1	WCANgun1	81
ENBBiya1	ZKGKung1	20
FBCBiya8	ICNBiya2	79
FBCBiya8	JGYKoshin3	21
FBCBiya8	KBMNgun4	103
FBCBiya8	KCSKung3	30
FBCBiya8	KCYBuu2	40
FBCBiya8	KDCAjumbu10	27
FBCBiya8	KDVFang1	15
FBCBiya8	KEMBuu1	36
FBCBiya8	KFKMashi1	25
FBCBiya8	KHKFang12	18
FBCBiya8	KJSFang2	15
FBCBiya8	KMNAjumbu2	29
FBCBiya8	LFNMundabli1	16
FBCBiya8	MCANgun3	97
FBCBiya8	MEAMumfu3	13
FBCBiya8	MNJBuu4	40
FBCBiya8	MRYKoshin2	15
FBCBiya8	NACAbar2	80
FBCBiya8	NCCMumfu4	15
FBCBiya8	NCMMashi5	26
FBCBiya8	NDNMissong5	81
FBCBiya8	NEAMunken1	89
FBCBiya8	NEMAjumbu9	26
FBCBiya8	NFKBiya7	117
FBCBiya8	NGTMunken3	94
FBCBiya8	NINMundabli4	18
FBCBiya8	NJNBiya6	117
FBCBiya8	NJSKung4	28
FBCBiya8	NMAAbar1	76
FBCBiya8	NMNMundabli3	17
FBCBiya8	NMSMissong4	76
FBCBiya8	NNBBuu3	40
FBCBiya8	NSFBiya5	107
FBCBiya8	NUNMunken4	93
FBCBiya8	NVBAbar7	90
FBCBiya8	NVIAjumbu1	30
FBCBiya8	TELKoshin4	22
FBCBiya8	TNTMunken2	92
FBCBiya8	WCANgun1	100
FBCBiya8	ZKGKung1	22
ICNBiya2	JGYKoshin3	23
ICNBiya2	KBMNgun4	73
ICNBiya2	KCSKung3	23
ICNBiya2	KCYBuu2	33
ICNBiya2	KDCAjumbu10	27
ICNBiya2	KDVFang1	12
ICNBiya2	KEMBuu1	29
ICNBiya2	KFKMashi1	20
ICNBiya2	KHKFang12	17
ICNBiya2	KJSFang2	15
ICNBiya2	KMNAjumbu2	30
ICNBiya2	LFNMundabli1	13
ICNBiya2	MCANgun3	68
ICNBiya2	MEAMumfu3	13
ICNBiya2	MNJBuu4	32
ICNBiya2	MRYKoshin2	17
ICNBiya2	NACAbar2	65
ICNBiya2	NCCMumfu4	13
ICNBiya2	NCMMashi5	19
ICNBiya2	NDNMissong5	58
ICNBiya2	NEAMunken1	72
ICNBiya2	NEMAjumbu9	24
ICNBiya2	NFKBiya7	74
ICNBiya2	NGTMunken3	69
ICNBiya2	NINMundabli4	16
ICNBiya2	NJNBiya6	81
ICNBiya2	NJSKung4	20
ICNBiya2	NMAAbar1	60
ICNBiya2	NMNMundabli3	15
ICNBiya2	NMSMissong4	55
ICNBiya2	NNBBuu3	31
ICNBiya2	NSFBiya5	75
ICNBiya2	NUNMunken4	71
ICNBiya2	NVBAbar7	62
ICNBiya2	NVIAjumbu1	26
ICNBiya2	TELKoshin4	22
ICNBiya2	TNTMunken2	65
ICNBiya2	WCANgun1	69
ICNBiya2	ZKGKung1	18
JGYKoshin3	KBMNgun4	25
JGYKoshin3	KCSKung3	34
JGYKoshin3	KCYBuu2	52
JGYKoshin3	KDCAjumbu10	40
JGYKoshin3	KDVFang1	44
JGYKoshin3	KEMBuu1	55
JGYKoshin3	KFKMashi1	43
JGYKoshin3	KHKFang12	55
JGYKoshin3	KJSFang2	43
JGYKoshin3	KMNAjumbu2	38
JGYKoshin3	LFNMundabli1	46
JGYKoshin3	MCANgun3	24
JGYKoshin3	MEAMumfu3	45
JGYKoshin3	MNJBuu4	62
JGYKoshin3	MRYKoshin2	80
JGYKoshin3	NACAbar2	25
JGYKoshin3	NCCMumfu4	41
JGYKoshin3	NCMMashi5	45
JGYKoshin3	NDNMissong5	26
JGYKoshin3	NEAMunken1	27
JGYKoshin3	NEMAjumbu9	43
JGYKoshin3	NFKBiya7	23
JGYKoshin3	NGTMunken3	25
JGYKoshin3	NINMundabli4	43
JGYKoshin3	NJNBiya6	25
JGYKoshin3	NJSKung4	35
JGYKoshin3	NMAAbar1	24
JGYKoshin3	NMNMundabli3	44
JGYKoshin3	NMSMissong4	27
JGYKoshin3	NNBBuu3	63
JGYKoshin3	NSFBiya5	21
JGYKoshin3	NUNMunken4	23
JGYKoshin3	NVBAbar7	28
JGYKoshin3	NVIAjumbu1	28
JGYKoshin3	TELKoshin4	118
JGYKoshin3	TNTMunken2	26
JGYKoshin3	WCANgun1	26
JGYKoshin3	ZKGKung1	28
KBMNgun4	KCSKung3	31
KBMNgun4	KCYBuu2	40
KBMNgun4	KDCAjumbu10	28
KBMNgun4	KDVFang1	15
KBMNgun4	KEMBuu1	37
KBMNgun4	KFKMashi1	22
