ID	Concept	Doculect	Value	Tokens
238	wife	NACAbar2	tʃə̂m /  bə́tʃə́m	tʃ ə.⁵¹/ə m
239	wife	NVIAjumbu1	kpɔ̂ŋ / ə̀kə́kpɔ̂ŋ~àtsɔ̀ŋ	kp ɔ.⁵¹/ɔ ŋ
240	wife	KMNAjumbu2	kpà~ɲívwò / átsɔ̂ŋ	kp a.¹/a
241	wife	KEMBuu1	pyə́sə́ / tyə́sə́	p j ə.⁵/ə s ə.⁵/ə
242	wife	KCYBuu2	pyésə́ / tyésə̀nə́	p j e.⁵/e s ə.⁵/ə
243	wife	KDVFang1	kpə́ŋ / bə̀kɪ́ŋ	kp ə.⁵/ə ŋ
244	wife	MRYKoshin2	kpɪ̌ː / ø	kp ɪː.¹⁵/ɪː
245	wife	ZKGKung1	zǿɪ́ / ə̀zǿɪ́	z ø.⁵/ø ɪ.⁵/ɪ
246	wife	BNMKung2	zɪ́ʲ / ə́zɪ́ʲ	z ɪ.⁵/ɪ j
247	wife	LFNMundabli1	kpé / tʃébó	kp e.⁵/e
248	wife	NINMundabli4	kpé / tʃébɛ́n	kp e.⁵/e
249	wife	NEAMunken1	tʃùmə̀/ bə̀tʃólə̀mə́~	tʃ u.³/u m ə.¹/ə
250	wife	TNTMunken2	tʃʊ̀mə̀ / bə́tʃœ́lə̀mə́	tʃ ʊ.³/ʊ m ə.¹/ə
251	wife	WCANgun1	ʊ̀tʃʊ̀lʊ́ / bə̀tʃʊ̀lʊ́	ʊ.¹/ʊ tʃ ʊ.¹/ʊ l ʊ.⁵/ʊ
