ID	Concept	Doculect	Value
210	man	APB-Mumfu-1	mà / mbɛ̂ː~nʊ̂ːbə́
211	man	DNM-Mumfu-2	mà / mbɛ̂ː
212	man	BKB-Mashi-2	mwɪ́ / bʊ́nɪ́
213	man	KFK-Mashi-1	mwɪ̀ɲómnɪ́ / bʊ́nôbó
214	man	ABS-Missong-1	ǹnò / bànɛ̂bʊ̄~ʊ́ɲʊ́ŋhʊ̃̄/bàɲʊ́ŋhʊ̃̄
215	man	AGA-Missong-2	n̄nō / bánɛ᷇ːbʊ̄ ~ǹnò/bànɛ᷇ː
216	woman	NVB-Abar-7	nan
217	woman	ECL-Abar-8	nan
218	woman	NMA-Abar-1	ʊ̀tʃɛ̂ló / bwɪ́tʃɛ̂ló
219	woman	NAC-Abar-2	ʊ̀tʃɛ̀lló /  bə̀tʃɛ̀lló
220	woman	NEM-Ajumbu-9	nan
221	woman	NVI-Ajumbu-1	ŋʊ̀tsɔ̀ŋ / átsɔ̂ŋ
222	woman	KMN-Ajumbu-2	ŋʊ̀tsɔ̀ŋ / átsɔ̂ŋ
223	woman	KDC-Ajumbu-10	nan
224	woman	ENB-Biya-1	nan
225	woman	ICN-Biya-2	nan
226	woman	NNB-Buu-3	nan
227	woman	MNJ-Buu-4	nan
228	woman	KEM-Buu-1	pyə́sə́ / tyə́sə́
229	woman	KCY-Buu-2	pyésə́ / tyésə́
230	woman	KHK-Fang-12	nan
231	woman	DPN-Fang-13	nan
232	woman	KDV-Fang-1	ŋmə̀kpɛ̌ŋ / bə̀kɪ̌ŋ
233	woman	KJS-Fang-2	ŋmə̀kpɛ̌ŋ / bə̀kɪ̌ŋ
234	woman	JGY-Koshin-3	nan
235	woman	TEL-Koshin-4	nan
236	woman	MRY-Koshin-2	nan
237	woman	KCS-Kung-3	nan
238	woman	NJS-Kung-4	nan
239	woman	ZKG-Kung-1	wə́zə̂ŋ / ə́ɣyə̂zə́ŋ
240	woman	BNM-Kung-2	wə̀zə̂ŋ / ɣɨ́ːzə́ŋə̀
241	woman	NMN-Mundabli-3	nan
242	woman	CEN-Mundabli-2	nan
243	woman	LFN-Mundabli-1	kpé / tʃé
244	woman	NIN-Mundabli-4	kpé / tʃébɛ́n
