id,concept_id,concept,speaker_name,citation,noun_class,concept_speaker_name
120,104,ankle,KMN,fwǎ / àfwá,5 / 6.,ankle_KMN
121,105,intestine,KMN,kə̀zòː / bə̀zòː,7 / 8.,intestine_KMN
122,105,intestine,NVI,kə̀tám / bə̀tám,7 / 8.,intestine_NVI
123,106,liver,KMN,ø / ø,øø,liver_KMN
124,106,liver,NVI,ʃìn~ʃyé /  kə̀ʃìn~kəʃyə́lə̄~kə̀ʃyé,5 / 6.,liver_NVI
125,107,heart,KMN,ʃìn / kə̀ʃìn~ʃyə̀/kə̀ʃyə̂lə̀,5 / 7a,heart_KMN
126,107,heart,NVI,ʃyə̂ / bə́ʃyə̂~àʃyə̀,5 / 6.,heart_NVI
127,108,sole (underfoot),KMN,kpɛ́ːtâɲ / ákɛ́ːtâɲ,3 / 6.,sole (underfoot)_KMN
128,108,sole (underfoot),NVI,kpɛ́táɲ / kə́kpɛ́lə́tâɲ~àkɛ̀tâɲ,3 / 6.,sole (underfoot)_NVI
129,109,gall bladder,KMN,mbáɲfə́nùə̀lə̀ / bwə́nbə́núə̀lə̀ ,19 / 8.,gall bladder_KMN
130,109,gall bladder,NVI,fə̀mbʊ́ʔ /  kə̀mbʊ́ʔlə́ ,19 / 6a,gall bladder_NVI
131,110,lungs,KMN,ø / ø,øø,lungs_KMN
132,110,lungs,NVI,ʃyə́bʊ̀ːnə́ / kə́ʃyə́lə̀kə̀bʊ̀nə́~,7 / 8.,lungs_NVI
133,784,k. o cricket,KMN,ø / ø,øø,k. o cricket_KMN
134,784,k. o cricket,NVI,fə̀ʃíszāŋ / bə̀ʃídzáŋ~ʃídzāŋ,19 / 6a,k. o cricket_NVI
135,167,spleen (side belly pain),NVI,mbáɲkə́nāʃîn /  bə̀mbáɲkə́nāʃîn,7 / 8.,spleen (side belly pain)_NVI
136,167,spleen (side belly pain),KMN,kə̀mbáɲkə́nāːʃîn / bwɪ́ɲbə́náːʃîn,7 / 8.,spleen (side belly pain)_KMN
137,785,cockroach (house),KMN,kə̀fífí / bə̀fífí,7 / 8. ~ 5 / 7a,cockroach (house)_KMN
138,785,cockroach (house),NVI,fə̀ʃídzāŋ / bə̀ʃídzāŋ ~ kə̀fífí / bə̀fífí,7 / 8.,cockroach (house)_NVI
139,877,dirts,NVI,kùà / kə́kúálə̀~kɥâ / kə̀kɥàlə̀,7 / 8.,dirts_NVI
140,877,dirts,KMN,kɥà / kə́kɥâːlə̀~kɥá ,5 / 6.,dirts_KMN
141,112,shin,KMN,ø / ø,øø,shin_KMN
142,112,shin,NVI,fə̀ʃə̄fə́kpɛ̄ / kə̀ʃə̄fə́kpɛ̄~m̀ʃə̄ḿkpɛ̄,19 / 6a,shin_NVI
143,129,calf (leg),NVI,dzámkpɛ́ / kə̀dzámkpɛ́~kə̀dzámlə̀kpɛ́,5 / 7a,calf (leg)_NVI
144,129,calf (leg),KMN,ø / ø,øø,calf (leg)_KMN
145,113,heel (backfoot),NVI,kpɛ́táɲ /  kə́kpɛ́tâɲ~ kə́kpɛ́ːlə́tâɲ,3 / 7a,heel (backfoot)_NVI
146,113,heel (backfoot),KMN,tsàsə̀ / kə́tsâsə̀,5 / 7a,heel (backfoot)_KMN
147,114,bone,KMN,kə́kwáfə́ / bə́kwáːfə́,7 / 8.,bone_KMN
148,114,bone,NVI,kə́kwáfə́ / bə́kwáfə́,7 / 8.,bone_NVI
149,115,skull,NVI,kwáfə́kə́kʊ́ː / bə́kwáfə́bə́kʊ́~,7 / 8.,skull_NVI
150,115,skull,KMN,kwàfə́kə́kú / kwàfə̀bə́kú,7 / 8.,skull_KMN
151,116,spine (backbone),KMN,gbǒːdzàm / gbóːlə̄kə́dzàm,3 / 7a,spine (backbone)_KMN
152,116,spine (backbone),NVI,gbóːdzàm / bə́gbóːdzàm,7 / 8.,spine (backbone)_NVI
153,203,root,KMN,gɔ̂ŋ / kə́gɔ̂ŋ~ágɔ̂ŋ,5 / 6.,root_KMN
154,203,root,NVI,ágɔ̂ŋ / kə́gɔ̂ŋ~ gɔ̂ŋ/ ágɔ̂ŋ,5 / 6.,root_NVI
155,1010,breath,NVI,ŋwàːfə̀ / bə̀ŋwàːfə̀~àŋwáːfə̀,5 / 6.,breath_NVI
156,1010,breath,KMN,ŋwáːfə̀ / ø,5 / ø,breath_KMN
157,118,spit,KMN,fə̀tsɪ́ŋ / m̀tsɪ́ŋ ,19 / 6a,spit_KMN
158,118,spit,NVI,mtsɪ́n / bə̀mtsɪ́n~ə̀mtsɪ́n,12 / 6a,spit_NVI
159,141,catarrh,NVI,kə̀ŋwə́lə̀ / bə́ŋwə́lə̀,7 / 8.,catarrh_NVI
160,141,catarrh,KMN,kə́ŋwə́lə̀ / bə̀ŋwə́lə̀,7 / 8.,catarrh_KMN
161,143,cough (n),NVI,kpá / kə̀kpá~kə̀kpálə́,3 / 7a,cough (n)_NVI
162,143,cough (n),KMN,kpá~kpǎ / kə̀kpáːlə́,3 / 7a,cough (n)_KMN
163,119,tears,KMN,fə̀dɪ̌ɲ / m̀dɪ̌ɲ  ,19 / 6a,tears_KMN
164,119,tears,NVI,mdɪ̌n / ə̀mdɪ̌n,12 / 6a,tears_NVI
165,120,blood,NVI,mfwɪ́n / ə̀mfwɪ́n,12 / 6a,blood_NVI
166,120,blood,KMN,fə̀fwɪ́ɲ / m̀fwɪ́ɲ,19 / 6a,blood_KMN
167,121,water,NVI,mŋgyə̌ŋ / ə̀mŋgyə̌ŋ,12 / 6a,water_NVI
168,121,water,KMN,fə̀gyə̌ŋ / m̀gyə̌ŋ,19 / 6a,water_KMN
169,122,urine,KMN,fə́dʒyâsə̀ / ḿdʒyâsə̀,19 / 6a,urine_KMN
170,122,urine,NVI,mdʒyâsə̀ / ə̀mdʒyâsə̀,12 / 6a,urine_NVI
171,897,faeces,NVI,kə̀bɪ́ːn / bə̀bɪ́ːn,7 / 8.,faeces_NVI
172,897,faeces,KMN,kə̀béɲ / bə̀béɲ,7 / 8.,faeces_KMN
173,123,marrow,KMN,ø / ø,øø,marrow_KMN
174,123,marrow,NVI,kə̀fwɛ́nə́ / bə̀fwɛ́nə́,7 / 8.,marrow_NVI
175,126,brain,NVI,kə̀fwɛ́nə́ / bə̀fwɛ́nə́,7 / 8.,brain_NVI
176,126,brain,KMN,kɥàːfə́ / bə̀kɥàːfə́,7 / 8.,brain_KMN
177,149,sweat,KMN,fə́zʊ̂ːsə̀ / ḿzʊ̂ːsə̀,19 / 6a,sweat_KMN
178,149,sweat,NVI,mzʊ́ʔsə̀ / ə́mzʊ́sə̀,12 / 6a,sweat_NVI
179,150,snore,NVI,kə̀kwòə̀ / bə̀kwòə̀~kwôː / bə̀kwôː,7 / 8.,snore_NVI
180,150,snore,KMN,kwò / bə̀ŋkwòː,5 / 7a,snore_KMN
181,151,belch,KMN,dʒʊ̀ / kə́dʒʊ̂lə̀~àdʒʊ̀,5 / 6.,belch_KMN
182,151,belch,NVI,dʒʊ̂ / bə̀dʒʊ̂~bə́dʒʊ́ːlə̀~ə̀bə̀dʒʊ̀,5 / 6.,belch_NVI
183,194,food,NVI,bwɪ́nzān / bə̀bwɪ́nzánə̄~bə̀bwɪ́nzáɲ~,8a / 8,food_NVI
184,194,food,KMN,kə̀fwɪ́ɲzánnə́ / bə̀bwɪ̂ɲzánnə́~fə̀fwɪ́ɲ,7 / 8.,food_KMN
185,144,boil (abscess),NVI,bàsə̀ / kə́bâsə̀~kə̀bàsə̀,5 / 7a,boil (abscess)_NVI
186,144,boil (abscess),KMN,ø / ø,øø,boil (abscess)_KMN
187,152,pimple,NVI,kə̀fwósə́ / bə́fwósə́,7 / 8.,pimple_NVI
188,152,pimple,KMN,ø / ø,øø,pimple_KMN
189,153,wicklow,KMN,fə̀lúŋ / ḿlu᷇ːŋ,19 / 6a,wicklow_KMN
190,153,wicklow,NVI,ákánákɥǒ / bə́kánákɥǒ~ə́bə̀àkáɲyakɥó,5 / 6.,wicklow_NVI
191,154,swell (n),KMN,kə́tú / bə́tú,7 / 8.,swell (n)_KMN
192,154,swell (n),NVI,kə́tʊ᷇ː / bə́tʊ̄ː,7 / 8.,swell (n)_NVI
193,155,hienia (swellings around groin),NVI,sàsə́~sas / kə́sásə̀~bə̀sásə́,5 / 6.,hienia (swellings around groin)_NVI
194,155,hienia (swellings around groin),KMN,ø / ø,øø,hienia (swellings around groin)_KMN
195,878,place,KMN,kə́də̂ːlə̀ / bə́də̂ːlə̀,7 / 8.,place_KMN
196,878,place,NVI,kə́də́lə̄ / bə́də́lə̄,7 / 8.,place_NVI
197,157,wound,KMN,kə́də̂ːlə̀ / bə́də̂ːlə̀,7 / 8.,wound_KMN
198,157,wound,NVI,zàsə̀ / kə́zásə̀~àzàsə̀,5 / 6.,wound_NVI
199,158,fungi pimple,NVI,ø / ø,ø ø ,fungi pimple_NVI
200,158,fungi pimple,KMN,(cut/salt) fə̀ntsɪ́ːlə́ / m̀tsɪ́ːlə́ ,19 / 6a,fungi pimple_KMN
201,159,pus,KMN,fə̀nʊ́nʊ̀ / m̀nʊ́nʊ̀,19 / 6a,pus_KMN
202,159,pus,NVI,m̀nʊ́nʊ̀ / ə̀mnʊ̀nʊ̀,12 / 6a,pus_NVI
203,160,scar,NVI,ntʃùə́zàsə̀ / àntʃùə́zàsə̀,1 / 2.,scar_NVI
204,160,scar,KMN,ø / ø,ø/ø,scar_KMN
205,164,sickness,KMN,ɲáːfə́ / kə̀ɲáːfə́~bə̀ɲáːfə́ ,5 / 7a,sickness_KMN
206,164,sickness,NVI,ɲáːfə́ / bə̀ɲáːfə́~ə̀ɲáːfə́,5 / 6. ,sickness_NVI
207,161,ringworm,KMN,ndzɔ̀ŋ / àndɔ̀ŋ ,1 / 2.,ringworm_KMN
208,161,ringworm,NVI,mfwǿsə́ / ə̀mfwǿsə́~,12 / 6a,ringworm_NVI
209,162,eczema,KMN,fə̀fɥâsə̀ / m̀fɥâsə̀ ,19 / 6a,eczema_KMN
