ID	Concept	Doculect	Value
242	ear	ECL-Abar-8	kə̀tɔ́ŋɔ́ / bìtɔ́ŋɔ́
243	ear	NEM-Ajumbu-9	kə̀tʊ́ŋ / bə̀tʊ́ŋ
244	ear	KDC-Ajumbu-10	kə́tʊ́ŋ / bə́tʊ́ŋ
245	ear	ENB-BIYA-1	kə̀tɔ́ŋə́~kə̀tɔ́ŋá / bìtɔ́ŋə́~bìtɔ́ŋá
246	ear	ICN-BIYA-2	kə̀tɔ́ŋ / bìtɔ́ŋ
247	ear	NNB-Buu-3	kə̀túŋə́ / bə́túŋə́
248	ear	MNJ-Buu-4	kə̀tʊ́ŋə́ / bə́tʊ́ŋmgbə́
249	ear	KHK-FANG-12	túə́~túə́ŋ / bə̀túə́~bə̀túə́ŋ
250	ear	DPN-FANG-13	tʷə́ŋ / bə̀tʷə́ŋ
251	ear	JGY-Koshin-3	kə̀túŋ / bə̀túŋ
252	ear	TEL-Koshin-4	kə̀túŋ / bə̀tṹ ~ bə̀túŋ
253	ear	KCS-Kung-3	kə̀tʊ᷇ːŋə́ / ʊ́tʊ᷇ːŋə́
254	ear	NJS-Kung-4	kə̀tʊ̂ŋə́ / ʊ̀tʊ̂ŋə́
255	ear	NMN-Mundabli-3	tʃʊ́ŋ / tʃʊ́ŋ~tʃɔ́m
256	ear	CEN-Mundabli-2	tʃʊ́ŋ / tʃɔ́m
257	ear	NGT-Munken-3	àtɔ́ŋ / bìtɔ́ŋ
258	ear	NUN-Munken-4	átɔ́ŋ / bítɔ́ŋ
259	ear	MCA-Ngun-3	kə̀tɔ́ŋə́~àtɔ́ŋə́ / bìtɔ́ŋə́~ɪ̀tɔ́ŋə́
260	ear	KBM-Ngun-4	kə̀tɔ́ŋə́ / bìtɔ́ŋə́
261	jaw	NVB-Abar-7	kə̀ⁿbàŋó / m̀bàŋə́bî~ɪ̀mbàŋə́
262	jaw	ECL-Abar-8	kə̀ⁿbàŋó~ⁿbàŋó / bìⁿbàŋó~ⁿbàŋó
263	jaw	NEM-Ajumbu-9	kə̀ⁿbàŋ / bə̀ⁿbàŋ
264	jaw	KDC-Ajumbu-10	kə̀ⁿbàŋ / bə̀ⁿbàŋ
265	jaw	ENB-BIYA-1	kə̀jó / bìjó
266	jaw	ICN-BIYA-2	kə̀jɔ́hɔ̄ / bìjɔ́hɔ̄
267	jaw	NNB-Buu-3	kə̀mbàŋ / bə̀mbàŋ
268	jaw	MNJ-Buu-4	kə̀mbàŋ / bə̀mbàŋ
269	jaw	KHK-FANG-12	kə̀ⁿbàŋ / bə̀ⁿbàŋ
270	jaw	DPN-FANG-13	kə̀ⁿbàŋ / bə̀ⁿbàŋ
271	jaw	JGY-Koshin-3	kə̀mbàŋ / bə̀mbàŋ
272	jaw	TEL-Koshin-4	kə̀mbàŋ / bə̀mbàŋ
273	jaw	KCS-Kung-3	bɔ́ŋɪ̀ / bɔ̂ŋsə̀ ~ bɔ̂ŋ
274	jaw	NJS-Kung-4	kə̀bɔ̂ŋ / ʊ̀bɔ̂ŋ
275	jaw	NMN-Mundabli-3	mgbàŋ / mgbàŋ bɪ́
276	jaw	CEN-Mundabli-2	mgbǎŋ / mgbǎːŋ
277	jaw	NGT-Munken-3	àyòhó / bíyòːsə́
278	jaw	NUN-Munken-4	àyòhò / bìyòhò
279	jaw	MCA-Ngun-3	ɪ̀jó / àjó
280	jaw	KBM-Ngun-4	àjúó / ɪ́júó~ájúó
281	tooth	NVB-Abar-7	ɪ́zán / ānzán
282	tooth	ECL-Abar-8	ɪ̀zán / ǹzán~mʷɪ̀nzán
283	tooth	NEM-Ajumbu-9	zán / ázáɲ
284	tooth	KDC-Ajumbu-10	záɲ / kə̀záːnə́~àzáːnə́~àzáɲ
285	tooth	ENB-BIYA-1	ɪ̀zə́n / kə̀zə́n
286	tooth	ICN-BIYA-2	ɪ̀zə́n~ìdzə́n / āzə́n~àdzə́n
287	tooth	NNB-Buu-3	yɛ́n / kə̀yɛ́ntə́nə̄
288	tooth	MNJ-Buu-4	yɛ́n / kə̀yɛ́ntə́
289	tooth	KHK-FANG-12	wə᷇n / jɛ́n
290	tooth	DPN-FANG-13	wə᷇ːn / jə́n
291	tooth	JGY-Koshin-3	wɪ́ɲ / dʒéɲ
292	tooth	TEL-Koshin-4	ɥɪ́ɲ / dʒɪ́ɲ
293	tooth	KCS-Kung-3	ìsɔ᷇ːŋ / sɔ̃́ə̃́ ~ sɔ́ŋə́
294	tooth	NJS-Kung-4	ɪ̀sɔ᷇ːŋ / ə̄sɔ᷇ːŋ
295	tooth	NMN-Mundabli-3	yɛ́n / yɛ̄n kɪ́
296	tooth	CEN-Mundabli-2	yɛ́n / yɛ́n kó
297	tooth	NGT-Munken-3	ɪ́zə́n / ádzə́nə̀sə́
298	tooth	NUN-Munken-4	ɪ́zə́n / ázə́n
299	tooth	MCA-Ngun-3	ɪ̀zɛ́n / āzɛ́n
300	tooth	KBM-Ngun-4	ɪ́zɛ́n / ázɛ́n
301	tongue	NVB-Abar-7	ɪ̀lám / ánlámmʷɪ̂
302	tongue	ECL-Abar-8	ɪ̀lám / kìlám~ǹlám
303	tongue	NEM-Ajumbu-9	lámə́ / kə̀lámə́
304	tongue	KDC-Ajumbu-10	lámə́ / kə̀láːmə́
305	tongue	ENB-BIYA-1	ɪ̀lám / kə̀lám
306	tongue	ICN-BIYA-2	ɪ̀lám / ālám
307	tongue	NNB-Buu-3	lɪ́m / kə̀lɪ́mtə́
308	tongue	MNJ-Buu-4	lɪ́m / kə̀lɪ́mtə́
309	tongue	KHK-FANG-12	lɪ᷇ːm / tə̀lɪ᷇ːm
310	tongue	DPN-FANG-13	lɪ᷇ːm / tə̀lɪ́ːm~tə̀líːmkpə̄
311	tongue	JGY-Koshin-3	lə́m / tə̀lə́m
312	tongue	TEL-Koshin-4	lə́m / tə̀lə́m
313	tongue	KCS-Kung-3	kə̀nám / ʊ́nʷám
314	tongue	NJS-Kung-4	kə̀nə́m / ʊ̀nə́m
315	tongue	NMN-Mundabli-3	lʲə́m / lʲə̄m kɪ́
316	tongue	CEN-Mundabli-2	lʲə́m / lʲə̀ːm ká
317	tongue	NGT-Munken-3	ɪ́lám / álámə̀sə́
318	tongue	NUN-Munken-4	lám / àlàm
319	tongue	MCA-Ngun-3	ɪ̀lám / kə̀lám
320	tongue	KBM-Ngun-4	ɪ̀lám / àlám
321	belly	NVB-Abar-7	àmbɪ́n~ɪ̀bɪ́n/àmbɪ́nmʷɪ̂~àmbɪ́n
322	belly	ECL-Abar-8	m̀bɪ́ ~ ɪ́bɪ́ / mʷɪ̀mbɪ́~m̀bɪ́ː
323	belly	NEM-Ajumbu-9	kʷə́ / àkʷə́
324	belly	KDC-Ajumbu-10	kʷə́~àkʷə́ / ákʷə́~kə̀kʷə́lə́
325	belly	ENB-BIYA-1	kə̀jʲá / bìjʲá NGUN ~ kə̀jʲɛ́ / bìjʲɛ́ BIYA
326	belly	ICN-BIYA-2	kə̀jʲá / bìjʲá
327	belly	NNB-Buu-3	kʷú / kə́kʷútə́
328	belly	MNJ-Buu-4	kʷú / kə̀kʷúːtə́
329	belly	KHK-FANG-12	kʊ̂m / kʊ̂m
330	belly	DPN-FANG-13	kʊ̂m / tə̀ŋkʊ̂m
331	belly	JGY-Koshin-3	kʷə́ / bə́kʷə́
332	belly	TEL-Koshin-4	kʷə́ / tə̀kʷə́
333	belly	KCS-Kung-3	ʊ̀nɛ̂ː / m̀nɛ̂ː
334	belly	NJS-Kung-4	ʊ̀nɛ̂ː / sə̀nɛ̂ ~ ḿnɛ̂
335	belly	NMN-Mundabli-3	kʷú / kʷú
336	belly	CEN-Mundabli-2	kʷú / kʷű
337	belly	NGT-Munken-3	ábɪ́ / ábɪ́lə́
338	belly	NUN-Munken-4	ábé / ábé
