ID	Concept	Doculect	Value
246	male	KFK-Mashi-1	mwɪ̀ɲǒmnɪ̄ / bʊ́nôːbó
247	male	ABS-Missong-1	ʊ̀tʃʊ̀lə́ / bàtʃʊ̀lə́
248	male	AGA-Missong-2	nòːɲúŋhʊ̄ / bánɛ᷇báɲúŋhʊ̄
249	wife	NMA-Abar-1	tʃû / bwɪ́tʃú
250	wife	NAC-Abar-2	tʃə̂m /  bə́tʃə́m
251	wife	NVI-Ajumbu-1	kpɔ̂ŋ / ə̀kə́kpɔ̂ŋ~àtsɔ̀ŋ
252	wife	KMN-Ajumbu-2	kpà~ɲívwò / átsɔ̂ŋ
253	wife	KEM-Buu-1	pyə́sə́ / tyə́sə́
254	wife	KCY-Buu-2	pyésə́ / tyésə̀nə́
255	wife	KDV-Fang-1	kpə́ŋ / bə̀kɪ́ŋ 
256	wife	KJS-Fang-2	ø / ø
257	wife	MRY-Koshin-2	kpɪ̌ː / ø
258	wife	ZKG-Kung-1	zǿɪ́ / ə̀zǿɪ́
259	wife	BNM-Kung-2	zɪ́ʲ / ə́zɪ́ʲ
260	wife	LFN-Mundabli-1	kpé / tʃébó
261	wife	NIN-Mundabli-4	kpé / tʃébɛ́n
262	wife	NEA-Munken-1	tʃùmə̀/ bə̀tʃólə̀mə́~
263	wife	TNT-Munken-2	tʃʊ̀mə̀ / bə́tʃœ́lə̀mə́
264	wife	WCA-Ngun-1	ʊ̀tʃʊ̀lʊ́ / bə̀tʃʊ̀lʊ́
265	wife	AOM-Ngun-2	tʃʊ̂ / bɛ́tʃʊ̂
266	wife	APB-Mumfu-1	kpɛ̂~kpá / tʃɛ̂~kpé
267	wife	DNM-Mumfu-2	kpá~kpɛ̂ / tʃɛ̄bɛ̄n~tʃɛ̂
268	wife	BKB-Mashi-2	kpāːn / bʊ́kâː
269	wife	KFK-Mashi-1	kpāːn / bʊ́kâːbó
270	wife	ABS-Missong-1	tʃə̄ / bátʃâː
271	wife	AGA-Missong-2	tʃə́wú / bátʃâwú
272	co-wife	LFN-Mundabli-1	tʃɔ̄m / tʃɔ̄myə́
273	co-wife	NIN-Mundabli-4	tʃɔ̄m / tʃɔ̄myó
274	co-wife	NEA-Munken-1	ø / ø 
275	co-wife	TNT-Munken-2	ɪ̀kwʊ̀m / kìkwʊ̀mə̀
276	co-wife	WCA-Ngun-1	ɪ̀kʊ́m / kə̀kʊ̀m
277	co-wife	AOM-Ngun-2	ɪ̀kwu᷇m / kə̀kwùmò
278	co-wife	APB-Mumfu-1	tʃɔ̄ːm / tʃɔ̄myə́
279	co-wife	DNM-Mumfu-2	tʃɔ́m / tʃɔ́m
280	co-wife	BKB-Mashi-2	kpǎːlə́ / bʊ̀kpǎːlə́ (your co-wife)
281	co-wife	KFK-Mashi-1	kpə̀ʃi᷇ː/ø  (his co-wife)*
282	co-wife	ABS-Missong-1	ìkwún / kìkwumnə̀
283	co-wife	AGA-Missong-2	ɪ̀kwʊ̌m / kɪ́kwʊ́mnə́
284	white man	NMA-Abar-1	ʊ̀nʊ̀gbwɪ̀tʃí / bwɪ́nâgbwɪ́tʃí
285	white man	NAC-Abar-2	ʊ̀nʊ̀gbwɪ̀ːtʃí / bə̀nâːgbwɪ́ːtʃí ~ ʊ̀nʊ̀gbwɪ̀hɪ̀tʃí / bə̀nâːgbwɪ́hítʃí
286	white man	NVI-Ajumbu-1	ŋʊ̀byə̌ŋ / ànɪ́ábyə̂ŋ
287	white man	KMN-Ajumbu-2	ŋʊ̀byə̌ŋ / ádúábyə̂ŋ~áníábyə̂ŋ
288	white man	KEM-Buu-1	mgbɪ̀byə̀sə́ / mbɪ́ːlə́bə́byə́sə̄
289	white man	KCY-Buu-2	mgbɪ̀byèsə́ / mbɪ̀ːlə̀bə́byésə̄
290	white man	KDV-Fang-1	ŋmə̀kə̀gàːsâŋ / ŋmɪ̂mbə́gàsâŋ
291	white man	KJS-Fang-2	ŋmə̀kə́gàːsâŋ / ŋmɪ́mbə́gàːsâŋ
292	white man	MRY-Koshin-2	ø / ø
293	white man	ZKG-Kung-1	wùbáŋáò / ɣyə̂báŋáɣə́
294	white man	BNM-Kung-2	wʊ́ə́báŋʊ̀ / ɣɨ᷇ːbáŋə̄
295	white man	LFN-Mundabli-1	mòbə̀nɛ̀sɛ́ / mbɛ̂bə̀nɛ̀sɛ̌
296	white man	NIN-Mundabli-4	mónàsɛ́ː / mbɛ́nàsɛ́ː
297	white man	NEA-Munken-1	ʊ̀nɛ̀bwɪ̀nsə́~ / bə́nɛ̂ːbwɪ̃́hə̃́~ 
298	white man	TNT-Munken-2	ʊ̀nʊ̀bwɪ̀nsə́ / bə̀nɛ̂bə̀bwɪ́nsə́~
299	white man	WCA-Ngun-1	ɪ̀nòbwɪ̀hɪ̀tə́ / bə́no᷇ːbə́bwɪ́hɪ́tə́
300	white man	AOM-Ngun-2	ʊ̀nobwèhètʊ́ / bɛ́no᷇bɛ̀bwɛ́hɪ́tʊ́
301	white man	APB-Mumfu-1	mànàsɛ́~nàsɛ́ː / mbɛ̂nàsɛ̄~nàsɛ̀bə́
302	white man	DNM-Mumfu-2	nɛ̀sɛ́~màwɛ́ / mbɛ̂nɛ̀sɛ́~mbɛ̄bə̀wɛ̄bɛ́
303	white man	BKB-Mashi-2	mʊ̀wʊ́nàsá / bʊ́níbʊ́nàsá
304	white man	KFK-Mashi-1	nɪ̀sāː~nàsá / bʊ̀nɪ̀sá~bʊ̀nìsā~nàsárà
305	white man	ABS-Missong-1	nàsálə̄ / bànàsálə̄
306	white man	AGA-Missong-2	ø / ø
307	black man	NMA-Abar-1	ʊ̀nʊ̀dʊ̀ŋó / bwɪ́nâdʊ́ŋó
308	black man	NAC-Abar-2	ʊ̀nòdʊ́ŋó / bə́nâːdʊ́ŋó
309	black man	NVI-Ajumbu-1	ø / ø
310	black man	KMN-Ajumbu-2	ŋʊ̀ʒìlə́ / ànɪ́āʒìlə́
311	black man	KEM-Buu-1	mgbɪ̀yə̀nnə́nə́ / mbɪ́ːlə́bə́yə́nnə́nə́
312	black man	KCY-Buu-2	mgbɪ̀ːyə́nnə́nə́ / mbɪ̀ːlə̀bə̀yə̀nnə̀nə̀
