ID	Concept	Doculect	Value
247	wife	NVI-Ajumbu-1	kpɔ̂ŋ / ə̀kə́kpɔ̂ŋ~àtsɔ̀ŋ
248	wife	KMN-Ajumbu-2	kpà~ɲívwò / átsɔ̂ŋ
249	wife	KEM-Buu-1	pyə́sə́ / tyə́sə́
250	wife	KCY-Buu-2	pyésə́ / tyésə̀nə́
251	wife	KDV-Fang-1	kpə́ŋ / bə̀kɪ́ŋ 
252	wife	KJS-Fang-2	ø / ø
253	wife	DPJ-Koshin-1	ø / ø
254	wife	MRY-Koshin-2	kpɪ̌ː / ø
255	wife	ZKG-Kung-1	zǿɪ́ / ə̀zǿɪ́
256	wife	BNM-Kung-2	zɪ́ʲ / ə́zɪ́ʲ
257	wife	LFN-Mundabli-1	kpé / tʃébó
258	wife	NIN-Mundabli-4	kpé / tʃébɛ́n
259	wife	NEA-Munken-1	tʃùmə̀/ bə̀tʃólə̀mə́~
260	wife	TNT-Munken-2	tʃʊ̀mə̀ / bə́tʃœ́lə̀mə́
261	wife	WCA-Ngun-1	ʊ̀tʃʊ̀lʊ́ / bə̀tʃʊ̀lʊ́
262	wife	AOM-Ngun-2	tʃʊ̂ / bɛ́tʃʊ̂
263	wife	APB-Mumfu-1	kpɛ̂~kpá / tʃɛ̂~kpé
264	wife	DNM-Mumfu-2	kpá~kpɛ̂ / tʃɛ̄bɛ̄n~tʃɛ̂
265	wife	BKB-Mashi-2	kpāːn / bʊ́kâː
266	wife	KFK-Mashi-1	kpāːn / bʊ́kâːbó
267	wife	ABS-Missong-1	tʃə̄ / bátʃâː
268	wife	AGA-Missong-2	tʃə́wú / bátʃâwú
269	co-wife	LFN-Mundabli-1	tʃɔ̄m / tʃɔ̄myə́
270	co-wife	NIN-Mundabli-4	tʃɔ̄m / tʃɔ̄myó
271	co-wife	NEA-Munken-1	ø / ø 
272	co-wife	TNT-Munken-2	ɪ̀kwʊ̀m / kìkwʊ̀mə̀
273	co-wife	WCA-Ngun-1	ɪ̀kʊ́m / kə̀kʊ̀m
274	co-wife	AOM-Ngun-2	ɪ̀kwu᷇m / kə̀kwùmò
275	co-wife	APB-Mumfu-1	tʃɔ̄ːm / tʃɔ̄myə́
276	co-wife	DNM-Mumfu-2	tʃɔ́m / tʃɔ́m
277	co-wife	BKB-Mashi-2	kpǎːlə́ / bʊ̀kpǎːlə́ (your co-wife)
278	co-wife	KFK-Mashi-1	kpə̀ʃi᷇ː/ø  (his co-wife)*
279	co-wife	ABS-Missong-1	ìkwún / kìkwumnə̀
280	co-wife	AGA-Missong-2	ɪ̀kwʊ̌m / kɪ́kwʊ́mnə́
281	white man	NMA-Abar-1	ʊ̀nʊ̀gbwɪ̀tʃí / bwɪ́nâgbwɪ́tʃí
282	white man	NAC-Abar-2	ʊ̀nʊ̀gbwɪ̀ːtʃí / bə̀nâːgbwɪ́ːtʃí ~ ʊ̀nʊ̀gbwɪ̀hɪ̀tʃí / bə̀nâːgbwɪ́hítʃí
283	white man	NVI-Ajumbu-1	ŋʊ̀byə̌ŋ / ànɪ́ábyə̂ŋ
284	white man	KMN-Ajumbu-2	ŋʊ̀byə̌ŋ / ádúábyə̂ŋ~áníábyə̂ŋ
285	white man	KEM-Buu-1	mgbɪ̀byə̀sə́ / mbɪ́ːlə́bə́byə́sə̄
286	white man	KCY-Buu-2	mgbɪ̀byèsə́ / mbɪ̀ːlə̀bə́byésə̄
287	white man	KDV-Fang-1	ŋmə̀kə̀gàːsâŋ / ŋmɪ̂mbə́gàsâŋ
288	white man	KJS-Fang-2	ŋmə̀kə́gàːsâŋ / ŋmɪ́mbə́gàːsâŋ
289	white man	DPJ-Koshin-1	múò / ø
290	white man	MRY-Koshin-2	ø / ø
291	white man	ZKG-Kung-1	wùbáŋáò / ɣyə̂báŋáɣə́
292	white man	BNM-Kung-2	wʊ́ə́báŋʊ̀ / ɣɨ᷇ːbáŋə̄
293	white man	LFN-Mundabli-1	mòbə̀nɛ̀sɛ́ / mbɛ̂bə̀nɛ̀sɛ̌
294	white man	NIN-Mundabli-4	mónàsɛ́ː / mbɛ́nàsɛ́ː
295	white man	NEA-Munken-1	ʊ̀nɛ̀bwɪ̀nsə́~ / bə́nɛ̂ːbwɪ̃́hə̃́~ 
296	white man	TNT-Munken-2	ʊ̀nʊ̀bwɪ̀nsə́ / bə̀nɛ̂bə̀bwɪ́nsə́~
297	white man	WCA-Ngun-1	ɪ̀nòbwɪ̀hɪ̀tə́ / bə́no᷇ːbə́bwɪ́hɪ́tə́
298	white man	AOM-Ngun-2	ʊ̀nobwèhètʊ́ / bɛ́no᷇bɛ̀bwɛ́hɪ́tʊ́
299	white man	APB-Mumfu-1	mànàsɛ́~nàsɛ́ː / mbɛ̂nàsɛ̄~nàsɛ̀bə́
300	white man	DNM-Mumfu-2	nɛ̀sɛ́~màwɛ́ / mbɛ̂nɛ̀sɛ́~mbɛ̄bə̀wɛ̄bɛ́
301	white man	BKB-Mashi-2	mʊ̀wʊ́nàsá / bʊ́níbʊ́nàsá
302	white man	KFK-Mashi-1	nɪ̀sāː~nàsá / bʊ̀nɪ̀sá~bʊ̀nìsā~nàsárà
303	white man	ABS-Missong-1	nàsálə̄ / bànàsálə̄
304	white man	AGA-Missong-2	ø / ø
305	black man	NMA-Abar-1	ʊ̀nʊ̀dʊ̀ŋó / bwɪ́nâdʊ́ŋó
306	black man	NAC-Abar-2	ʊ̀nòdʊ́ŋó / bə́nâːdʊ́ŋó
307	black man	NVI-Ajumbu-1	ø / ø
308	black man	KMN-Ajumbu-2	ŋʊ̀ʒìlə́ / ànɪ́āʒìlə́
309	black man	KEM-Buu-1	mgbɪ̀yə̀nnə́nə́ / mbɪ́ːlə́bə́yə́nnə́nə́
310	black man	KCY-Buu-2	mgbɪ̀ːyə́nnə́nə́ / mbɪ̀ːlə̀bə̀yə̀nnə̀nə̀
311	black man	KDV-Fang-1	ŋmə̀kə̀yə́lə́ / ŋmɪ̂mbə́yə́lə́
312	black man	KJS-Fang-2	ŋmə̀kə́yə́nnə́ / ŋmɪ̂mbīyə́nnə́
313	black man	DPJ-Koshin-1	mbī / ø
314	black man	MRY-Koshin-2	ø / ø
315	black man	ZKG-Kung-1	wùlə̀ŋə́wə̀ / ɣyə̂lə́ŋə́ɣə́
316	black man	BNM-Kung-2	wʊ̀ə̀lə́ŋə̀ / ɣɨ᷇ːlə́ŋə́
317	black man	LFN-Mundabli-1	mòyə̌l / mbɛ̂bə́yə́l
318	black man	NIN-Mundabli-4	mōyə́lə̄ / mbɛ̀ːbə̀yə́lə̄bó
319	black man	NEA-Munken-1	ø / ø 
320	black man	TNT-Munken-2	ʊ̀nɛ̀ʊ̀dàŋə́ / bə̀nɛ̂bə̀dàŋə́
321	black man	WCA-Ngun-1	ɪ̀nǒɪ̀dʊ̀ŋʊ́ / bə̄nôbə̀dʊ̀ŋʊ́
322	black man	AOM-Ngun-2	ʊ̀nòdʊ́ŋʊ́ / bɛ̀no᷇bɛ̀dʊ̀ŋʊ́
323	black man	APB-Mumfu-1	màyəl / mbɛ̀yə̄l~mbɛ̀bə̄yəl
324	black man	DNM-Mumfu-2	yə́l~màyə́l~màyɪ́l / mbɛ̂yə́l~mbɛ́yɪ́l
325	black man	BKB-Mashi-2	mwɪ̀dzɪ̀twə̄ / bʊ́nìbʊ́dzɪ́tbó
326	black man	KFK-Mashi-1	mwɪ̀dzɪ̀twə̄ / bʊ́nìbʊ́dzɪ́tbó
327	black man	ABS-Missong-1	nóːtsə́nsə́ / bànɛ̂bàtsə̀nsə́
328	black man	AGA-Missong-2	nòːtsə̀nsə́ / bánɛ̂bàtsə̀nsə́
329	twin	NMA-Abar-1	byâŋmáŋhṍ / byâŋmáŋátʃí
330	twin	NAC-Abar-2	mə́ŋhṍ / bə̀mə́ŋhṍ
331	twin	NVI-Ajumbu-1	àmáŋkə́ / ə́bə̀máŋkə́~bə̀máŋkə́
332	twin	KMN-Ajumbu-2	máŋkə́ / ámáŋkə́
333	twin	KEM-Buu-1	máŋsə́ / ɲyóbə̀máŋsə́ 
334	twin	KCY-Buu-2	ø / ø
335	twin	KDV-Fang-1	sáŋfə́ ~ sáŋfə̀
336	twin	KJS-Fang-2	sáŋfə́ ~ sáŋfə̀
337	twin	DPJ-Koshin-1	tsáː / ø
338	twin	MRY-Koshin-2	ø / ø
339	twin	ZKG-Kung-1	tsáʔ / ḿtsáʔ
340	twin	BNM-Kung-2	tsáʔ / sə́tsáʔ
341	twin	LFN-Mundabli-1	ǹtàmàmbɛ́ː / ɲɔ́mmbòmbɛ́ː
342	twin	NIN-Mundabli-4	bə́fyè ~bə̀mbɛ́ / bəmbɛ́ ~bə̀mbɛ́ː
343	twin	NEA-Munken-1	ø / bə̀mə́ŋhə́
