OrderingID,Concept,GroupID,Concept Group
471,Calabash-rattle,,Wooden Tools
472,long neck calabash,,Wooden Tools
473,k.o calabash,,Wooden Tools
474,k.o calabash (ball like),,Wooden Tools
475,calabash (not yet perforated),,Wooden Tools
476,"calabash (long-neck), child, twin calabash",,Wooden Tools
477,calabash (for twin),,Wooden Tools
478,"fence (sealed, - palace)",,Wooden Tools
479,"fence (open, farm)",,Wooden Tools
480,chair (carved),,Wooden Tools
481,box (container),,Wooden Tools
482,"Wooden-dish (yellow soup, feast)",,Wooden Tools
483,"Canoe, trough",,Wooden Tools
484,Wooden-dish (leg+lid),,Wooden Tools
485,"wooden-dish (yellow soup, feast bitter-leaf)",,Wooden Tools
486,native cup,,Wooden Tools
487,walking-staff,,Wooden Tools
488,carved chair (used by chief),,Wooden Tools
489,trumpet,,Wooden Tools
490,pestle (for fufu),,Wooden Tools
491,"handle(knife), arm",,Wooden Tools
492,stirring spoon (vegetables),,Wooden Tools
493,pestle,,Wooden Tools
494,tobacco pipe,,Wooden Tools
495,rope (palm climbing),,Wooden Tools
496,fax-stick,,Wooden Tools
497,cane,,Wooden Tools
498,meat slate,,Wooden Tools
499,faxed pillar,,Wooden Tools
500,stick1,,Wooden Tools
501,stick2,,Wooden Tools
502,Soup pestle(vegetable),,Wooden Tools
503,vegetable spoon,,Wooden Tools
504,amulets (for compound),,Wooden Tools
505,amulets (inclined roof),,Wooden Tools
506,amulets (for compound)a,,Wooden Tools
507,amulets (for compound)b,,Wooden Tools
508,amulets (for compound)c,,Wooden Tools
509,hand-piano,,Wooden Tools
510,handle ,,Wooden Tools
511,wooden-dish (yellow soup; feast bitter-leaf),,Wooden Tools
512,Wooden-dish (yellow soup; feast),,Wooden Tools
513,coffin ,,Wooden Tools
514,woven dish,,Woven Tools
515,small woven dish,,Woven Tools
516,big woven dish,,Woven Tools
517,bag,,Woven Tools
518,cup sieve,,Woven Tools
519,basket,,Woven Tools
520,basket (visit),,Woven Tools
521,headpad,,Woven Tools
522,woven dish (tray),,Woven Tools
523,oil chaff sieve,,Woven Tools
524,pestle (pepper),,Woven Tools
525,sieve,,Woven Tools
526,twine,,Woven Tools
527,Basket (male),,Woven Tools
528,big basket (carriage),,Woven Tools
529,"basket (very big, feast)",,Woven Tools
530,planting basket (waist),,Woven Tools
531,groundnut basket,,Woven Tools
532,"basket (visit, feast)",,Woven Tools
533,Basket (small),,Woven Tools
534,k.o rope,,Woven Tools
535,rope,,Woven Tools
536,rope (goat),,Woven Tools
537,planting basket,,Woven Tools
538,mat (soft plant  tissue),,Woven Tools
539,mat (bamboo splint),,Woven Tools
540,net,,Woven Tools
541,rope (k.o),,Woven Tools
542,twine (weaved-rope)(lap),,Woven Tools
543,twine weaved (hand),,Woven Tools
544,woven-dish (flat for sieving corn flour),,Woven Tools
545,woven-dish (for corn-fufu),,Woven Tools
546,mat (rhizom plant),,Woven Tools
547,woven dish (with a lid),,Woven Tools
548,woven-tray,,Woven Tools
549,meat-gauze,,Woven Tools
550,gauze,,Woven Tools
551,gauze (drying meat),,Woven Tools
552,meat mat,,Woven Tools
553,k.o trap(rope),,Woven Tools
554,twine (woven fibre) ,,Woven Tools
555,weaved rope,,Woven Tools
556,twine (weaved rope) ,,Woven Tools
557,handle(knife); arm,,Woven Tools
558,umbrella  (non-native)  ,,Woven Tools
559,woven bowl,,Woven Tools
560,basket (feast),,Woven Tools
561,tray,,Woven Tools
562,injunction order,,Bamboo Tools
563,upper wall shelf,,Bamboo Tools
564,door lid (cover),,Bamboo Tools
565,wall shelf,,Bamboo Tools
566,hanged ceiling,,Bamboo Tools
567,chair (bamboo),,Bamboo Tools
568,ladder,,Bamboo Tools
569,ceiling,,Bamboo Tools
570,box,,Bamboo Tools
571,coffin,,Bamboo Tools
572,handle,,Bamboo Tools
573,bed,,Bamboo Tools
574,chair,,Bamboo Tools
575,fence,,Bamboo Tools
576,fence; restrict,,Bamboo Tools
577,fence (open; farm),,Bamboo Tools
578,fence (sealed; - palace) ,,Bamboo Tools
579,tapping pipe (raffia/palm wine),,Bamboo Tools
580,tapping -pipe,,Bamboo Tools
581,Pipe (wine tapping),,Bamboo Tools
582,umbrella (non-native),,Bamboo Tools
583,sheath,,Bamboo Tools
584,indian bamboo,,Bamboo Tools
585,upper-wall-shelf (inside the house),,Bamboo Tools
586,waist beads,,Attire
587,cap,,Attire
588,staff (walk support),,Attire
589,tunic,,Attire
590,robe,,Attire
591,shoe,,Attire
592,k.o cap,,Attire
593,bangle,,Attire
594,k.o rope (bangle),,Attire
595,cloth,,Attire
596,belt,,Attire
597,women cloth (leaves),,Attire
598,neck beads,,Attire
599,little hand bag,,Attire
600,k.o bag (hanged),,Attire
601,Cap (native black),,Attire
602,neck-bead,,Attire
603,native pant (women),,Attire
604,native pant (men),,Attire
605,waist-bead,,Attire
606,tatoo,,Attire
607,"patches, dotted",,Attire
608,staff (stick walk support),,Attire
609,small hand bag for male (dance),,Attire
610,small hand bag for female (dance),,Attire
611,necklace (women),,Attire
612,clay pot (fufu),,Soil Tools
613,fireside,,Soil Tools
614,fireside stone,,Soil Tools
615,fireside stone support,,Soil Tools
616,lower grinding stone,,Soil Tools
617,pepper stone,,Soil Tools
618,soap,,Soil Tools
619,letter,,Soil Tools
620,bottle,,Soil Tools
621,clay-pot (legs),,Soil Tools
622,clay-pot (big),,Soil Tools
623,stone trap,,Soil Tools
624,"Clay pot (soup, amulet)",,Soil Tools
625,Clay pot (palace-wine),,Soil Tools
626,Clay pot (father soup),,Soil Tools
627,Clay pot (palace-wine; 60l),,Soil Tools
628,clay pot (soup) ,,Soil Tools
629,small grinding stone,,Soil Tools
630,grinding stone,,Soil Tools
631,clay pot,,Soil Tools
632,lower-pepper-stone,,Soil Tools
633,upper-pepper-stone,,Soil Tools
634,dish/pot (clay),,Soil Tools
635,clay pot (cooking fufu),,Soil Tools
636,pot-sizing stone,,Soil Tools
637,fireside stone (pot support stones),,Soil Tools
638,flat-long-stones,,Soil Tools
639,clay pot (for cooking fufu),,Soil Tools
640,slimy soup dish (clay pot),,Soil Tools
641,clay pot (country pot),,Soil Tools
642,lower-grinding-stone(pepper),,Soil Tools
643,upper-grinding-stone(pepper),,Soil Tools
644,upper grinding stone,,Soil Tools
645,flat-long-stones (redulates the size of fireside),,Soil Tools
646,clay-pot (with legs; soup for elders),,Soil Tools
647,soup-pot (clay-made),,Soil Tools
648,juju house,,Habitat
649,house,,Habitat
650,wall (house),,Habitat
651,farm house (corn storage),,Habitat
652,door (space),,Habitat
653,door (lid),,Habitat
654,door (lid/space),,Habitat
655,door (frame),,Habitat
656,hut,,Habitat
657,grass-house,,Habitat
658,zinc-house,,Habitat
659,attached-house (3 walls),,Habitat
660,pillar (in-house support ceiling),,Habitat
661,door,,Habitat
662,palm broom,,Habitat
663,roof (ceiling),,Habitat
664,hut (k. o (a)),,Habitat
665,hut (k. o (b)),,Habitat
666,front-door,,Habitat
667,"cow, cattle",,Animals and Products
668,goat,,Animals and Products
669,he-goat,,Animals and Products
670,pig,,Animals and Products
671,cane rat,,Animals and Products
672,sheep,,Animals and Products
673,cat,,Animals and Products
674,animal,,Animals and Products
675,meat,,Animals and Products
676,monkey,,Animals and Products
677,elephant,,Animals and Products
678,bat,678.000,Animals and Products
679,k.o bat,678.000,Animals and Products
680,bat (smallest),678.000,Animals and Products
681,bat (largest),678.000,Animals and Products
682,"bat (small, enter's house)",678.000,Animals and Products
683,buffalo (bush cow),,Animals and Products
684,dog,,Animals and Products
685,ram,,Animals and Products
686,baboon,,Animals and Products
687,horse,,Animals and Products
688,chimpanzee,,Animals and Products
689,tiger,,Animals and Products
690,group (cow),,Animals and Products
691,lion,,Animals and Products
692,leopard,,Animals and Products
693,flutabo (k.o hare),,Animals and Products
694,fish,,Fish
695,k.o fish (white),,Fish
696,k.o fish,,Fish
697,fish (nose rashes),,Fish
698,mbanga soup fish,,Fish
699,tadpole,,Fish
700,tad-pole (frog/fish),,Fish
701,electric fish,,Fish
702,mudfish,,Fish
703,crab,,Fish
704,crab (cast lots),,Fish
705,rat,,Rodents
706,k.o rat,,Rodents
707,rat (bush),,Rodents
708,rat (smallest),,Rodents
709,rat (yellow abdomen),,Rodents
710,rat (size next to rat mole),,Rodents
711,stripped rat,,Rodents
712,rat mole,,Rodents
713,long mouth rat,,Rodents
714,snake,,Reptiles
715,green snake,,Reptiles
716,k.o snake (mboma),,Reptiles
717,two head snake (human),,Reptiles
718,snake (dotted mboma),,Reptiles
719,"snake (white, smallest)",,Reptiles
720,viper,,Reptiles
721,k. o snake,,Reptiles
722,snake (black),,Reptiles
723,cobra,,Reptiles
724,male lizard (red head),,Reptiles
725,female lizard (brown),,Reptiles
726,earthworm,,Reptiles
727,ascaris (stomach worm),,Reptiles
728,lizard,,Reptiles
729,lizard (smooth skin),,Reptiles
730,Lizard (smallest),,Reptiles
731,chameleon,,Reptiles
732,gecko,,Reptiles
733,toad (rough back),,Amphibians
734,frog (smooth back),,Amphibians
735,frog (variegated),,Amphibians
736,frog (edible),,Amphibians
737,December-frogs (many in water makes a lot of noise),,Amphibians
738,snail,,Amphibians
739,shell (snail),,Amphibians
740,bird,,Birds
741,owl,,Birds
742,screech owl,,Birds
743,swallow bird,,Birds
744,hawk,,Birds
745,weaver bird,,Birds
746,wood pecker,,Birds
747,fowl,,Birds
748,clock bird,,Birds
749,duck,,Birds
750,water duck,,Birds
751,egg,,Birds
752,feather,,Birds
753,white neck hawk,,Birds
754,kingfisher,,Birds
755,Senegalese kucal (time bird),,Birds
756,kite,,Birds
757,partridge (red legs),,Birds
758,partridge (non red legs),,Birds
759,cock,,Birds
760,young cock,,Birds
761,young hen,,Birds
762,song bird (early morning,,Birds
763,song bird (after rain),,Birds
764,red feather bird (feather on caps),,Birds
765,big hawk (catches monkeys),,Birds
766,butterfly,,Insects
767,maggot,,Insects
768,house fly,,Insects
769,fruit fly,,Insects
770,"k.o fly (smart, bite, sucks)",,Insects
771,"k.o fly (sucks, compound)",,Insects
772,fly (larger than normal fly),,Insects
773,"k.o fly (slow, painful bite)",,Insects
774,ant,,Insects
775,soldier ant,,Insects
776,"ant (black, builds a mount on a tree)",,Insects
777,k.o ant,,Insects
778,wine red ant,,Insects
779,k. o ant (yellow),,Insects
780,"ants (black, open thongs)",,Insects
781,carpenter bee,,Insects
782,lice,,Insects
783,grasshopper,,Insects
784,grasshopper (mongwin),,Insects
785,grasshopper (fattest),,Insects
786,small noise making grasshopper,,Insects
787,cricket,,Insects
788,k. o cricket,,Insects
789,cockroach (house),789.000,Insects
790,cockroach (toilet),789.000,Insects
791,spider,,Insects
792,scorpion,,Insects
793,tarantula,,Insects
794,locust,,Insects
795,"wasp (house, black)",,Insects
796,wasp (bush),,Insects
797,wasp (brown),,Insects
798,praying mantis,,Insects
799,centipede,,Insects
800,dragonfly,,Insects
801,k.o dragonfly,,Insects
802,mosquito,,Insects
803,honey juice,,Insects
804,honey bee,,Insects
805,k.o bee,,Insects
806,jigger,,Insects
807,termite,,Insects
808,wingless termite,,Insects
809,big termite mount,,Insects
810,termite mount,,Insects
811,cobweb,,Insects
812,millipede,,Insects
813,soil beetle (edible),,Insects
814,palm grub,,Insects
815,bedbug,,Insects
816,beetle,,Insects
817,palm beetle (from dead palm),,Insects
818,caterpillar,,Insects
819,caterpillar (for crabs),,Insects
820,caterpillar (edible),,Insects
821,caterpillar (variegated),,Insects
822,"caterpillar (red, yellow lines)",,Insects
823,k.o caterpillar,,Insects
824,"caterpillar (black, stings)",,Insects
825,caterpillar (cylinder sticks),,Insects
826,caterpillar (stings),,Insects
827,k.o fly (slow; painful bite),,Insects
828,k.o fly (smart; bite; sucks),,Insects
829,k.o fly (sucks; compound),,Insects
830,world,,Lands
831,earth,,Lands
832,heaven,,Lands
833,sky,,Lands
834,"sky, heaven",,Lands
835,mud,,Lands
836,swamp,,Lands
837,brick,,Lands
838,river,,Lands
839,stream,,Lands
840,spring,,Lands
841,farm,,Lands
842,bush (farm),,Lands
843,bush (owner),,Lands
844,bush (inside),,Lands
845,village,,Lands
846,quarter,,Lands
847,country,,Lands
848,compound,,Lands
849,toilet,,Lands
850,hill,,Lands
851,hole,,Lands
852,rock,,Lands
853,stone,,Lands
854,salt,,Lands
855,lake,,Lands
856,mountain,,Lands
857,dust,,Lands
858,hailstone,,Lands
859,valley,,Lands
860,cliff,,Lands
861,smoke,,Lands
862,soot,,Lands
863,ground (soil),,Lands
864,brick ( building house),,Lands
865,clay,,Lands
866,land,,Lands
867,sun,,Lands
868,moon,,Lands
869,star,,Lands
870,"mist, fog",,Lands
871,wind,,Lands
872,air,,Lands
873,storm (wind),,Lands
874,rain,,Lands
875,rainy season,,Lands
876,dry season,,Lands
877,sand,,Lands
878,grave,,Lands
879,branch (of the road),,Lands
880,road junction,,Lands
881,dirts,,Lands
882,place,,Lands
883,light,,Lands
884,warm,,Lands
885,cold,,Lands
886,hot,,Lands
887,cold (air),,Lands
888,cold (solid),,Lands
889,"hot, heat (air)",,Lands
890,"hot, heat (solid)",,Lands
891,cloud,,Lands
892,ridge (farm),,Lands
893,market,,Lands
894,road,,Lands
895,eath,,Lands
896,garbage pit,,Lands
897,grave yard,,Lands
898,palace,,Lands
899,Furrow (between ridges),,Lands
900,hail,,Lands
