ID	Concept	Doculect	Value
308	black man	DNM-Mumfu-2	yə́l~màyə́l~màyɪ́l / mbɛ̂yə́l~mbɛ́yɪ́l
309	black man	BKB-Mashi-2	mwɪ̀dzɪ̀twə̄ / bʊ́nìbʊ́dzɪ́tbó
310	black man	KFK-Mashi-1	mwɪ̀dzɪ̀twə̄ / bʊ́nìbʊ́dzɪ́tbó
311	black man	ABS-Missong-1	nóːtsə́nsə́ / bànɛ̂bàtsə̀nsə́
312	black man	AGA-Missong-2	nòːtsə̀nsə́ / bánɛ̂bàtsə̀nsə́
313	twin	NVB-Abar-7	nan
314	twin	ECL-Abar-8	nan
315	twin	NEM-Ajumbu-9	nan
316	twin	KDC-Ajumbu-10	nan
317	twin	ENB-Biya-1	nan
318	twin	ICN-Biya-2	nan
319	twin	NNB-Buu-3	nan
320	twin	MNJ-Buu-4	nan
321	twin	KHK-Fang-12	nan
322	twin	DPN-Fang-13	nan
323	twin	JGY-Koshin-3	nan
324	twin	TEL-Koshin-4	nan
325	twin	KCS-Kung-3	nan
326	twin	NJS-Kung-4	nan
327	twin	NMN-Mundabli-3	nan
328	twin	CEN-Mundabli-2	nan
329	twin	NGT-Munken-3	nan
330	twin	NUN-Munken-4	nan
331	twin	MCA-Ngun-3	nan
332	twin	KBM-Ngun-4	nan
333	twin	APB-Mumfu-1	ǹtə̀mbə̀ntā / ǹtə̀mbə̀ntàbə́
334	twin	DNM-Mumfu-2	mbá / ɲɔ̀ʔbə̀mbá
335	twin	BKB-Mashi-2	mbāmtʊ́ / mbámtʊ́
336	twin	KFK-Mashi-1	ŋwə́wɪ́mbámtʊ́~mbámtʊ́/ bìnbʊ́mbámtʊ́
337	twin	ABS-Missong-1	fìmáŋ / ámáŋhə̃́ ~
338	twin	AGA-Missong-2	ámáŋhə̃́ / ámáŋhə̃́mú
339	uncle	NVB-Abar-7	nan
340	uncle	ECL-Abar-8	nan
341	uncle	NEM-Ajumbu-9	nan
342	uncle	KDC-Ajumbu-10	nan
343	uncle	ENB-Biya-1	nan
344	uncle	ICN-Biya-2	nan
