ID	Concept	Doculect	Value
191	devil	KHK-Fang-12	ŋmə̀tʃʲə̂ / ŋmɪ̂mbə́tʃʲə̂
192	devil	DPN-Fang-13	ŋmə̀tʃʲə̂ / ŋmɪ̀mbə́tʃʲə̂ ~ŋmə̀bə́tsɨ́ɣ / ŋmɪ̀mbə̀bə́tsɨ́ɣ
193	devil	JGY-Koshin-3	ŋ̀kə̀nə́ / bə̀ŋkə̀nə́
194	devil	TEL-Koshin-4	ø / bə̀tsə́
195	devil	KCS-Kung-3	wùə̀tí / ɣʲə̂tʲə́
196	devil	NJS-Kung-4	wùə̀tí / ɣʲə̂tʲí
197	devil	NMN-Mundabli-3	kɛ̄ / kɛ̄
198	devil	CEN-Mundabli-2	kɛ́ / kɛ́ː
199	devil	NGT-Munken-3	ʊ̀tə̌ːn / bə̀tə̌ːn
200	devil	NUN-Munken-4	ʊ̀tə̌n / bə́tə̌n
201	devil	MCA-Ngun-3	ʊ̄tə̄n / bìʊ̀tə̄n~bùtə̀n~bɛ̀tə̀n
202	devil	KBM-Ngun-4	ʊ̀tɛ̌ːn / bə́tɛ̌ːn
203	devil	APB-Mumfu-1	kɛ̄ː / kɛ̄ːbə́
204	devil	DNM-Mumfu-2	kɛ́ː / kɛ́ːbə́
205	devil	BKB-Mashi-2	tsěē / bʊ̀tsěē
206	devil	KFK-Mashi-1	tse᷇ː / bʊ́tse᷇ː
207	devil	ABS-Missong-1	ʊ̀tǎn / bátǎn
208	devil	AGA-Missong-2	ʊ̀tǎːn / bátǎnbū
209	head	NVB-Abar-7	ɪ́fê~ɪ̀fɛ̀mó / ḿfê~m̀fɛ̀mó
210	head	ECL-Abar-8	ɪ̀fèː / mʷɪ̀ŋfèː
211	head	NEM-Ajumbu-9	kʷú / kʷúlə́kə̄~kə̀kúːlə́
212	head	KDC-Ajumbu-10	kʷú / kə̀kʊ́ːlə́
213	head	ENB-Biya-1	ɪ̀fɛ̀ / kə̀fɛ̀
214	head	ICN-Biya-2	ɪ́fɛ́ / áfɛ́
215	head	NNB-Buu-3	fá / kə̄fátə́
216	head	MNJ-Buu-4	fā / kə̀fátə́
217	head	KHK-Fang-12	kú / tə̀kú
218	head	DPN-Fang-13	kʷú / tə̀kʷú
219	head	JGY-Koshin-3	kə́ / tə̀kə́
220	head	TEL-Koshin-4	kˣə́ / tə̀kˣə́
221	head	KCS-Kung-3	kə̀tú / tū
222	head	NJS-Kung-4	kə̀tᵗú / ʊ́tᵗú
223	head	NMN-Mundabli-3	fó / fɑ́ɦ
224	head	CEN-Mundabli-2	fó / fáː
225	head	NGT-Munken-3	ɪ́fāː / áfàsə́
226	head	NUN-Munken-4	ɪ́fɛ̂ / áfɛ̂
227	head	MCA-Ngun-3	ɪ̀fɛ̀ / àfɛ̀ː
228	head	KBM-Ngun-4	ɪ̀fɛ̀ / àfɛ̀
229	head	APB-Mumfu-1	fá / fɛ́ʔ ~ fɛʔɛ
230	head	DNM-Mumfu-2	fá / fɛʔɛ
231	head	BKB-Mashi-2	fʊ̄ / fʊ́ŋ
232	head	KFK-Mashi-1	fʊ̄ / fʊ́ŋ
233	head	ABS-Missong-1	ìfì / áfíwʊ̄
234	head	AGA-Missong-2	ìfì / àfìwú
235	eye	NVB-Abar-7	ɪ́zɪ́hɪ́ / ànzɪ́hɪ́~ńzɪ́hɪ́
236	eye	ECL-Abar-8	ɪ̀zɪ́hɪ́ / ǹzɪ́hɪ́~mʷɪ̀nzɪ́hɪ́
237	eye	NEM-Ajumbu-9	zə́sə́ / àzə́sə́~zə́sə́kə̄
238	eye	KDC-Ajumbu-10	zə́sə́ / kə̀zə́sə́~ázə́sə́
239	eye	ENB-Biya-1	ɪ́dzɪ́hɪ́ / kə̀dʒɪ́hɪ́
240	eye	ICN-Biya-2	ɪ̄dʒísə́~ɪ́dzɪ́hɪ́ / àdʒísə́~kə̀dʒɪ́hɪ́
241	eye	NNB-Buu-3	yɛ́sə́ / kə̀yɛ́sə́~kə̀yɛ́sə́nə̄
