"OrderingID","Concept","NVB-Abar-7","ECL-Abar-8","NEM-Ajumbu-9","KDC-Ajumbu-10","ENB-BIYA-1","ICN-BIYA-2","NNB-Buu-3","MNJ-Buu-4","KHK-FANG-12","DPN-FANG-13","JGY-Koshin-3","TEL-Koshin-4","KCS-Kung-3","NJS-Kung-4","KFK-Mashi-1","BKB-Mashi-2","ABS-Missong-1","AGA-Missong-2","APB-Mumfu-1","DNM-Mumfu-2","NMN-Mundabli-3","CEN-Mundabli-2","NGT-Munken-3","NUN-Munken-4","MCA-Ngun-3","KBM-Ngun-4"
"31","jealous man",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"ø / ø","ø / ø","ø / ø","øø","māŋwɨ̄n / mbɛ̂ŋwɨ̄n","ø",NULL,NULL,NULL,NULL,NULL,NULL
"32","lazy man",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"nòːgèːlə́~nʊ̀gèlə́/ bànêbàgèːlə́","øø","màdɛ́ː / mbɛ̄ːdɛ̀ːbə́","màdɛ́ː / mbɛ̂bə́dɛ́",NULL,NULL,NULL,NULL,NULL,NULL
"33","deity, god, God","kə̀jì / ìjìbì","kə̀jì / bìjì","kə̀zə̀ / bə̀zə̀","kə̀zə̀ / bə̀zə̀","kə̀jì / bìjì","kə̀jì / bìjì","kə̀yìː / bə̀yìː","fə̀yìː / bə̀yìː","fə̀ʒʲə̀ / mə̀nʒʲə̀","fə̀ʒʲə̀ː / fə̀ʒʲə̀ː~mə̀ʒʲə̀ː","kə̀ʒìː / bə̀ʒìː","kə̀ʒì / bə̀ʒì","fə̀ʒʲə̀ / m̀ʒʲə̀","fə́ʒʲə̀ / ḿʒʲə̀","gbə̀m / gbə̂m","gbə̀m / bʊ̀gbə̀m~gbə᷇m","kìgbə̀m / bìgbə̀m","kìgbə̀m / bìgbə̌mbí","gbə̀m / ø","gbə̀m / ø","gbàm / gbàm","gbɑ̀m / gbɑ̀m","àyì / bìyì","àyì / bìyì","kə̀jì / bìjì","kə̀jìː / bìjì"
"34","devil","bántán~ʊ́tán/àbántánbʷɪ̂~bántán","bántán / bʷɪ̀bántán","nǎːtàɲ / ànǎːtàɲ","nǎːtàɲ / ànǎːtàɲ","ʊ̀tə̌n / bə́tə̀n","ʊ̀tə̌ːn / bə́tə̌ːn","ǹti᷇ːn / bə̀nti᷇ːn","ǹtsɪ᷇ːn / bə̀ntsɪ᷇ːn","ŋmə̀tʃʲə̂ / ŋmɪ̂mbə́tʃʲə̂","ŋmə̀tʃʲə̂ / ŋmɪ̀mbə́tʃʲə̂ ~ŋmə̀bə́tsɨ́ɣ / ŋmɪ̀mbə̀bə́tsɨ́ɣ","ŋ̀kə̀nə́ / bə̀ŋkə̀nə́","ø / bə̀tsə́","wùə̀tí / ɣʲə̂tʲə́","wùə̀tí / ɣʲə̂tʲí","tse᷇ː / bʊ́tse᷇ː","tsěē / bʊ̀tsěē","ʊ̀tǎn / bátǎn","ʊ̀tǎːn / bátǎnbū","kɛ̄ː / kɛ̄ːbə́","kɛ́ː / kɛ́ːbə́","kɛ̄ / kɛ̄","kɛ́ / kɛ́ː","ʊ̀tə̌ːn / bə̀tə̌ːn","ʊ̀tə̌n / bə́tə̌n","ʊ̄tə̄n / bìʊ̀tə̄n~bùtə̀n~bɛ̀tə̀n","ʊ̀tɛ̌ːn / bə́tɛ̌ːn"
"35","witch",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"wʊ́tsáp~ʊ́tsáp / bʊ́tsáp","wʊ́tsáp / bʊ́tsáp","bùtsúó ~kítsúó / ø ~bùtsúó","bʊ́tsǿː / bʊ́tsǿːbū","tsɔ́ː / tsɔ́ːbə́","tsɔ́ / tsɔ́bə́",NULL,NULL,NULL,NULL,NULL,NULL
"36","witch man",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"mʊ̌tsáp / bʊ́nìbʊ́tsáp","mʊ̀wútsáp / bʊ́nɪ̀bʊ́tsáp","nòːbútsúó / bánɛ́ːbútsúó","nòbʊ́tsǿː / bánɛ́ːbʊ́tsǿː","màtsɔ́ / mbɛ̀ːtsɔ́","màtsɔ́ː / mbɛ̀tsɔ́ː",NULL,NULL,NULL,NULL,NULL,NULL
"37","spirit",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"dzʊ̄ŋtɪ̄ / ø","dzʊ́ŋtɪ́ / ø","ǹndʊ̀ndʊ̂ː / bàndʊ̀ndʊ̂ː","ø / ø","bìkú / bìkúbə́","ø",NULL,NULL,NULL,NULL,NULL,NULL
"38","father-in-law",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"sɪ́nôː ~ sɪ̀nóm / ø ~bʊ̀sɪ́nòm","sɪ̌nnóm / bʊ̀sɪ̀nno᷇m","tʃyɛ̌nʊ́à / bàtʃyɛ̌nʊ́à","tʃə̀wàɲí / bàtʃə̀wàɲí","mgbàːn / mgbâːnbə̌","mgbânwɛ̂n~mgbàn / mbân~mgbânbə̌",NULL,NULL,NULL,NULL,NULL,NULL
"39","mother-in-law",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"mə̀nô / bʊ́mə́nôm","mə́nôm / bʊ̀məno᷇","ɲínʊ́à / bàɲínʊ́à","ɲîtʃə̀wù / bàtʃə̀wàɲí","mgbâːn / mgbâːnbə́","ø",NULL,NULL,NULL,NULL,NULL,NULL
"40","corpse",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
