"ID","name","GroupID","category"
"503","vegetable spoon",NULL,"Wooden Tools"
"504","amulets (for compound)",NULL,"Wooden Tools"
"505","amulets (inclined roof)",NULL,"Wooden Tools"
"506","amulets (for compound)a",NULL,"Wooden Tools"
"507","amulets (for compound)b",NULL,"Wooden Tools"
"508","amulets (for compound)c",NULL,"Wooden Tools"
"509","hand-piano",NULL,"Wooden Tools"
"510","handle ",NULL,"Wooden Tools"
"511","wooden-dish (yellow soup; feast bitter-leaf)",NULL,"Wooden Tools"
"512","Wooden-dish (yellow soup; feast)",NULL,"Wooden Tools"
"513","coffin ",NULL,"Wooden Tools"
"514","woven dish",NULL,"Woven Tools"
"515","small woven dish",NULL,"Woven Tools"
"516","big woven dish",NULL,"Woven Tools"
"517","bag",NULL,"Woven Tools"
"518","cup sieve",NULL,"Woven Tools"
"519","basket",NULL,"Woven Tools"
"520","basket (visit)",NULL,"Woven Tools"
"521","headpad",NULL,"Woven Tools"
"522","woven dish (tray)",NULL,"Woven Tools"
"523","oil chaff sieve",NULL,"Woven Tools"
"524","pestle (pepper)",NULL,"Woven Tools"
"525","sieve",NULL,"Woven Tools"
"526","twine",NULL,"Woven Tools"
"527","Basket (male)",NULL,"Woven Tools"
"528","big basket (carriage)",NULL,"Woven Tools"
"529","basket (very big, feast)",NULL,"Woven Tools"
"530","planting basket (waist)",NULL,"Woven Tools"
"531","groundnut basket",NULL,"Woven Tools"
"532","basket (visit, feast)",NULL,"Woven Tools"
"533","Basket (small)",NULL,"Woven Tools"
"534","k.o rope",NULL,"Woven Tools"
"535","rope",NULL,"Woven Tools"
"536","rope (goat)",NULL,"Woven Tools"
"537","planting basket",NULL,"Woven Tools"
"538","mat (soft plant  tissue)",NULL,"Woven Tools"
"539","mat (bamboo splint)",NULL,"Woven Tools"
"540","net",NULL,"Woven Tools"
"541","rope (k.o)",NULL,"Woven Tools"
"542","twine (weaved-rope)(lap)",NULL,"Woven Tools"
"543","twine weaved (hand)",NULL,"Woven Tools"
"544","woven-dish (flat for sieving corn flour)",NULL,"Woven Tools"
"545","woven-dish (for corn-fufu)",NULL,"Woven Tools"
"546","mat (rhizom plant)",NULL,"Woven Tools"
"547","woven dish (with a lid)",NULL,"Woven Tools"
"548","woven-tray",NULL,"Woven Tools"
"549","meat-gauze",NULL,"Woven Tools"
"550","gauze",NULL,"Woven Tools"
"551","gauze (drying meat)",NULL,"Woven Tools"
"552","meat mat",NULL,"Woven Tools"
"553","k.o trap (rope)",NULL,"Woven Tools"
"554","twine (woven fibre) ",NULL,"Woven Tools"
"555","weaved rope",NULL,"Woven Tools"
"556","twine (weaved rope) ",NULL,"Woven Tools"
"557","handle(knife); arm",NULL,"Woven Tools"
"558","umbrella  (non-native)  ",NULL,"Woven Tools"
"559","woven bowl",NULL,"Woven Tools"
"560","basket (feast)",NULL,"Woven Tools"
"561","tray",NULL,"Woven Tools"
"562","injunction order",NULL,"Bamboo Tools"
"563","upper wall shelf",NULL,"Bamboo Tools"
"564","door lid (cover)",NULL,"Bamboo Tools"
"565","wall shelf",NULL,"Bamboo Tools"
"566","hanged ceiling",NULL,"Bamboo Tools"
"567","chair (bamboo)",NULL,"Bamboo Tools"
"568","ladder",NULL,"Bamboo Tools"
"569","ceiling",NULL,"Bamboo Tools"
"570","box",NULL,"Bamboo Tools"
"571","coffin",NULL,"Bamboo Tools"
"572","handle",NULL,"Bamboo Tools"
"573","bed",NULL,"Bamboo Tools"
"574","chair",NULL,"Bamboo Tools"
"575","fence",NULL,"Bamboo Tools"
"576","fence; restrict",NULL,"Bamboo Tools"
"577","fence (open; farm)",NULL,"Bamboo Tools"
"578","fence (sealed; - palace) ",NULL,"Bamboo Tools"
