Doculect	Segment	Zscore	Normedcount	SalienceScore
APBMumfu1	ɳ	-0.14	0	0
APBMumfu1	ʃ	1.8	37	67
APBMumfu1	ʃʲ	-0.59	0	0
APBMumfu1	ʃʷ	-0.4	0	0
APBMumfu1	ʉ	-0.26	0	0
APBMumfu1	ʉʱ	-0.14	0	0
APBMumfu1	ʉː	-0.14	0	0
APBMumfu1	ʊ	-0.21	60	-13
APBMumfu1	ʊʱ	0.19	1	0
APBMumfu1	ʊʱː	-0.14	0	0
APBMumfu1	ʊː	-0.22	5	-1
APBMumfu1	ʊ̃	-0.38	0	0
APBMumfu1	ʊ̃ː	-0.33	0	0
APBMumfu1	ʊ̤	-0.14	0	0
APBMumfu1	ʒ	-0.6	0	0
APBMumfu1	ʒʷ	-0.2	0	0
APBMumfu1	ʔ	2.83	65	184
APBMumfu1	β	-0.35	0	0
APBMumfu1	βʷ	-0.14	0	0
APBMumfu1	ẽ	-0.23	0	0
APBMumfu1	ẽː	-0.14	0	0
APBMumfu1	⁴⁵	-0.14	0	0
APBMumfu1	⁵	-1.32	231	-306
APBMumfu1	⁵³	0.22	17	4
APBMumfu1	⁵¹	0.24	56	14
APBMumfu1	ⁿb	-0.37	0	0
APBMumfu1	ⁿbʷ	-0.37	0	0
APBMumfu1	ⁿd	-0.45	0	0
APBMumfu1	ⁿdʷ	-0.14	0	0
APBMumfu1	ⁿt	-0.4	0	0
BAAMashi4	a	0.41	145	60
BAAMashi4	aː	0.94	32	30
