Doculect	Segment	Zscore	Normedcount	SalienceScore
Ajumbu	ʒʷ	-0.29	0	0
Ajumbu	ʔ	0.37	74	27
Ajumbu	β	-0.5	0	0
Ajumbu	βʷ	-0.29	0	0
Ajumbu	ẽ	-0.39	0	0
Ajumbu	ẽː	-0.29	0	0
Ajumbu	⁴⁵	-0.29	0	0
Ajumbu	⁵	-0.45	1145	-518
Ajumbu	⁵³	-1.21	19	-23
Ajumbu	⁵¹	1.13	267	303
Ajumbu	ⁿb	-0.12	6	-1
Ajumbu	ⁿbʷ	-0.65	0	0
Ajumbu	ⁿd	2.48	23	57
Ajumbu	ⁿdʷ	-0.29	0	0
Ajumbu	ⁿt	1.74	5	9
Biya	a	-0.12	500	-58
Biya	aː	0.61	108	66
Biya	b	-0.19	267	-51
Biya	bʷ	2.58	27	70
Biya	d	-0.1	111	-11
Biya	dzʷ	-0.43	0	0
Biya	dʒ	-0.36	53	-19
Biya	dʒʷ	-0.43	0	0
Biya	dʷ	-0.37	0	0
Biya	e	-0.82	45	-37
Biya	eː	-0.41	16	-7
Biya	f	0.35	234	81
Biya	fʲ	2.12	13	28
Biya	fʷ	2.53	24	61
Biya	g	-0.75	39	-29
Biya	gb	-0.66	35	-23
Biya	gʷ	-0.47	0	0
Biya	h	0.22	73	16
Biya	i	0.35	261	90
Biya	iː	-0.99	15	-15
Biya	j	-0.76	118	-89
Biya	k	0.7	535	373
Biya	kp	-0.05	60	-3
Biya	kpʳʷ	-0.29	0	0
Biya	kpʷ	3.46	1	3
Biya	kx	-0.24	6	-1
Biya	kʰ	-0.29	0	0
Biya	kʲ	-0.67	0	0
Biya	kʷ	1.48	39	58
Biya	l	-0.48	103	-49
Biya	m	-0.16	368	-58
Biya	mʷ	-0.79	1	-1
Biya	n	-0.03	425	-11
Biya	nʷ	-0.43	0	0
Biya	o	-1.07	79	-85
Biya	oː	-0.35	26	-9
Biya	p	-0.47	6	-3
Biya	q	-0.29	0	0
Biya	r	-0.34	3	-1
Biya	s	0.15	128	19
Biya	sʷ	-0.29	0	0
Biya	t	0.21	196	42
Biya	ts	-1.26	22	-28
Biya	tsʷ	-0.4	0	0
Biya	tsː	-0.29	0	0
Biya	tʃ	-0.23	51	-12
Biya	tʃʷ	-0.76	0	0
Biya	tʰ	-0.51	0	0
Biya	tʲ	0.37	7	3
Biya	tʷ	-0.29	1	0
Biya	tˢ	-0.29	0	0
Biya	u	-0.75	72	-54
Biya	uʱ	-0.17	3	-1
Biya	uː	-0.41	9	-4
Biya	uːʱ	-0.29	0	0
Biya	v	-0.47	0	0
Biya	vʷ	-0.29	0	0
Biya	w	-1.76	90	-159
Biya	z	-0.76	56	-43
Biya	zː	-0.29	0	0
Biya	²¹	-0.29	0	0
Biya	³	-0.46	227	-104
Biya	³¹	-0.43	0	0
Biya	³⁵	-0.29	0	0
Biya	¹	0.73	1323	965
Biya	¹³	-0.42	3	-1
Biya	¹⁵	-0.46	106	-48
Biya	ã	0.37	7	3
Biya	ãː	0.16	1	0
Biya	æ	1.51	12	18
Biya	æː	2.35	1	2
Biya	æ̃	1.34	1	1
Biya	õ	-0.51	0	0
Biya	õː	-0.06	1	0
Biya	ø	-0.62	1	-1
Biya	øː	-0.73	0	0
Biya	ĩ	-0.19	1	0
Biya	ĩː	-0.29	0	0
Biya	ŋ	-0.68	294	-199
Biya	ŋm	0.15	11	2
Biya	ŋmʷ	3.46	1	3
Biya	ŋʷ	-0.54	0	0
Biya	ŋˤ	-0.29	0	0
Biya	œ	-0.45	0	0
Biya	œː	-0.38	0	0
Biya	œ̃	3.46	1	3
Biya	ũ	-0.03	2	0
Biya	ũʱ	-0.29	0	0
Biya	ũː	0.84	1	1
Biya	ɑ	-0.3	3	-1
Biya	ɑː	-0.1	1	0
Biya	ɑ̃	-0.29	0	0
Biya	ɑ̃ː	-0.29	0	0
Biya	ɒ	-0.41	0	0
Biya	ɒː	-0.47	0	0
Biya	ɒ̃	-0.29	0	0
Biya	ɒ̃ː	-0.29	0	0
Biya	ɔ	-0.26	112	-29
Biya	ɔː	-0.33	13	-4
Biya	ɔ̃	-0.32	0	0
Biya	ɔ̃ː	-0.37	0	0
Biya	ɘ	-0.69	0	0
Biya	ɘː	-0.45	0	0
Biya	ə	0.16	858	133
Biya	əː	-0.24	18	-4
Biya	əˠ	3.46	1	3
Biya	ə̃	0.41	3	1
Biya	ə̃ː	-0.42	0	0
Biya	ɛ	-0.36	70	-25
Biya	ɛː	-0.69	14	-10
Biya	ɛ̃	2.97	10	30
Biya	ɛ̃ː	2.35	5	12
Biya	ɠ	-0.29	0	0
Biya	ɣ	-0.5	3	-1
Biya	ɥ	0.08	26	2
Biya	ɦ	-0.29	0	0
Biya	ɦː	-0.29	0	0
Biya	ɨ	-0.6	4	-2
Biya	ɨː	-0.59	0	0
Biya	ɨ̃	0.38	2	1
Biya	ɪ	1.23	438	540
Biya	ɪː	-1.04	5	-5
Biya	ɪ̃	-0.4	0	0
Biya	ɪ̃ː	-0.29	0	0
Biya	ɯ	-0.29	0	0
Biya	ɱ	-0.14	1	0
Biya	ɲ	-0.43	62	-27
Biya	ɲʲ	1.34	11	15
Biya	ɲʷ	-0.54	0	0
Biya	ɳ	-0.29	0	0
Biya	ʃ	-0.72	46	-33
Biya	ʃʲ	-0.11	5	-1
Biya	ʃʷ	-0.57	0	0
Biya	ʉ	-0.42	0	0
Biya	ʉʱ	-0.29	0	0
