Variety	Concept	Stability
mufu1234	1027_plantain	1.0
mufu1234	1044_pot	1.0
mufu1234	1046_potato	1.0
mufu1234	1079_rain	1.0
mufu1234	1123_road	1.0
mufu1234	1136_rope	1.0
mufu1234	1148_salt	1.0
mufu1234	1150_sand	1.0
mufu1234	1167_seed	1.0
mufu1234	1189_sheep	1.0
mufu1234	1206_sieve	1.0
mufu1234	1238_smoke	1.0
mufu1234	1240_snake	1.0
mufu1234	1252_song	1.0
mufu1234	1290_star	1.0
mufu1234	1306_stomach	1.0
mufu1234	1307_stone	1.0
mufu1234	1312_story	1.0
mufu1234	1367_termite	1.0
mufu1234	139_bed	1.0
mufu1234	1403_toilet	1.0
mufu1234	1404_tongue	1.0
mufu1234	1405_tooth	1.0
mufu1234	1416_tree	1.0
mufu1234	1484_war	1.0
mufu1234	148_belly	1.0
mufu1234	1490_water	1.0
mufu1234	1499_week	1.0
mufu1234	1513_winglesstermite	1.0
mufu1234	1526_workn	1.0
mufu1234	1541_xylophone	1.0
mufu1234	1542_yam	1.0
mufu1234	1545_year	1.0
mufu1234	1552_zinc	1.0
mufu1234	157_bird	1.0
mufu1234	159_bitterleaf	1.0
mufu1234	163_blood	1.0
mufu1234	170_book	1.0
mufu1234	184_breast	1.0
mufu1234	192_bridge	1.0
mufu1234	194_broom	1.0
mufu1234	237_cap	1.0
mufu1234	247_casecourtn	1.0
mufu1234	264_chair	1.0
mufu1234	276_chief	1.0
mufu1234	277_child	1.0
mufu1234	304_cloth	1.0
mufu1234	334_compound	1.0
mufu1234	340_corn	1.0
mufu1234	348_cowcattle	1.0
mufu1234	351_crab	1.0
mufu1234	359_cricket	1.0
mufu1234	365_cup	1.0
mufu1234	374_dance	1.0
mufu1234	381_day	1.0
mufu1234	385_deitygodgod	1.0
mufu1234	391_devil	1.0
mufu1234	40_air	1.0
mufu1234	412_dog	1.0
mufu1234	428_drum	1.0
mufu1234	430_dryseason	1.0
mufu1234	433_dust	1.0
mufu1234	435_ear	1.0
mufu1234	443_egg	1.0
mufu1234	474_eye	1.0
mufu1234	477_faeces	1.0
mufu1234	484_farm	1.0
mufu1234	487_father	1.0
mufu1234	500_fence	1.0
mufu1234	519_fire	1.0
mufu1234	527_fish	1.0
mufu1234	550_forest	1.0
mufu1234	556_fowl	1.0
mufu1234	557_friend	1.0
mufu1234	574_gardenegg	1.0
mufu1234	590_goat	1.0
mufu1234	592_gong	1.0
mufu1234	599_grave	1.0
mufu1234	618_gun	1.0
mufu1234	621_hair	1.0
mufu1234	623_hand	1.0
mufu1234	648_head	1.0
mufu1234	650_headpad	1.0
mufu1234	654_heart	1.0
mufu1234	667_hoe	1.0
mufu1234	672_hornhead	1.0
mufu1234	676_horse	1.0
mufu1234	681_house	1.0
mufu1234	713_intestine	1.0
mufu1234	719_jaw	1.0
mufu1234	72_axe	1.0
mufu1234	76_bag	1.0
mufu1234	803_knife	1.0
mufu1234	813_ladder	1.0
mufu1234	81_banana	1.0
mufu1234	889_medicine	1.0
mufu1234	90_basket	1.0
mufu1234	918_mushroom	1.0
mufu1234	921_name	1.0
mufu1234	939_nose	1.0
mufu1234	944_oil	1.0
mufu1234	958_owl	1.0
mufu1234	975_palmnut	1.0
mufu1234	978_palmtree	1.0
mufu1234	980_pap	1.0
mund1340	1000_pepper	1.0
mund1340	1003_person	1.0
mund1340	1017_pig	1.0
mund1340	1022_pineapple	1.0
mund1340	1027_plantain	1.0
mund1340	1044_pot	1.0
mund1340	1046_potato	1.0
mund1340	1076_raffiabamboo	1.0
mund1340	1079_rain	1.0
mund1340	1080_rainbow	1.0
mund1340	1123_road	1.0
mund1340	1136_rope	1.0
mund1340	1148_salt	1.0
mund1340	1150_sand	1.0
mund1340	1167_seed	1.0
mund1340	1189_sheep	1.0
mund1340	1206_sieve	1.0
mund1340	1219_sky	1.0
mund1340	1238_smoke	1.0
mund1340	1240_snake	1.0
mund1340	1252_song	1.0
mund1340	1266_spider	1.0
mund1340	1290_star	1.0
mund1340	1306_stomach	1.0
mund1340	1307_stone	1.0
mund1340	1311_stormwind	1.0
mund1340	1312_story	1.0
mund1340	1325_sun	1.0
mund1340	1367_termite	1.0
mund1340	139_bed	1.0
mund1340	1403_toilet	1.0
mund1340	1404_tongue	1.0
mund1340	1405_tooth	1.0
mund1340	1416_tree	1.0
mund1340	1484_war	1.0
mund1340	148_belly	1.0
mund1340	1490_water	1.0
mund1340	1499_week	1.0
mund1340	1513_winglesstermite	1.0
mund1340	1526_workn	1.0
mund1340	1541_xylophone	1.0
mund1340	1542_yam	1.0
mund1340	1545_year	1.0
mund1340	1552_zinc	1.0
mund1340	157_bird	1.0
mund1340	159_bitterleaf	1.0
mund1340	163_blood	1.0
mund1340	170_book	1.0
mund1340	184_breast	1.0
mund1340	194_broom	1.0
mund1340	233_camwood	1.0
mund1340	237_cap	1.0
mund1340	247_casecourtn	1.0
mund1340	250_cat	1.0
mund1340	253_caterpillar	1.0
mund1340	276_chief	1.0
mund1340	277_child	1.0
mund1340	304_cloth	1.0
mund1340	340_corn	1.0
mund1340	348_cowcattle	1.0
mund1340	351_crab	1.0
mund1340	359_cricket	1.0
mund1340	365_cup	1.0
mund1340	371_cutlass	1.0
mund1340	374_dance	1.0
mund1340	385_deitygodgod	1.0
mund1340	391_devil	1.0
mund1340	40_air	1.0
mund1340	412_dog	1.0
mund1340	430_dryseason	1.0
mund1340	435_ear	1.0
mund1340	443_egg	1.0
mund1340	458_elephantstalk	1.0
mund1340	474_eye	1.0
mund1340	477_faeces	1.0
mund1340	484_farm	1.0
mund1340	487_father	1.0
mund1340	500_fence	1.0
mund1340	519_fire	1.0
mund1340	522_fireside	1.0
mund1340	527_fish	1.0
mund1340	550_forest	1.0
mund1340	556_fowl	1.0
mund1340	557_friend	1.0
mund1340	574_gardenegg	1.0
mund1340	584_gizzardfowl	1.0
mund1340	590_goat	1.0
mund1340	592_gong	1.0
mund1340	599_grave	1.0
mund1340	618_gun	1.0
mund1340	620_hailstone	1.0
mund1340	621_hair	1.0
mund1340	648_head	1.0
mund1340	650_headpad	1.0
mund1340	654_heart	1.0
mund1340	661_hill	1.0
mund1340	667_hoe	1.0
mund1340	672_hornhead	1.0
mund1340	676_horse	1.0
mund1340	681_house	1.0
mund1340	713_intestine	1.0
mund1340	719_jaw	1.0
mund1340	72_axe	1.0
mund1340	76_bag	1.0
mund1340	803_knife	1.0
mund1340	813_ladder	1.0
mund1340	81_banana	1.0
mund1340	889_medicine	1.0
mund1340	905_moon	1.0
mund1340	909_mother	1.0
mund1340	90_basket	1.0
mund1340	918_mushroom	1.0
mund1340	921_name	1.0
mund1340	939_nose	1.0
mund1340	944_oil	1.0
mund1340	958_owl	1.0
mund1340	95_bat	1.0
mund1340	975_palmnut	1.0
mund1340	978_palmtree	1.0
mund1340	980_pap	1.0
munk1244	1000_pepper	1.0
