ID	Concept	Doculect	Value	Tokens
154	1003_person	NEAMunken1	ʊ̀nɛ̀ / bə́nɛ᷇ː	ʊ ¹ n ɛ ¹
155	1003_person	TNTMunken2	ʊ̀nɛ̀ló / bə̀nɛ̂bə̀ló	ʊ ¹ n ɛ ¹ l o ⁵
156	1003_person	MCANgun3	ʊ̀nò / bɛ̀no᷇ː~áno᷇ː	ʊ ¹ n o ¹
157	1003_person	KBMNgun4	ʊ̀nò / bə́nô	ʊ ¹ n o ¹
158	1003_person	WCANgun1	ɪ̀nò / bə̀nô	ɪ ¹ n o ¹
159	1003_person	AOMNgun2	ʊ̀nòː / bɛ́no᷇ː	ʊ ¹ n oː ¹
160	1003_person	DNMMumfu2	màwɛ̌n / mbɛ̂ː	m a ¹ w ɛ ¹ ⁵ n
161	1003_person	BKBMashi2	mwɪ̀ / bʊ́ní	m w ɪ ¹
162	1003_person	KFKMashi1	mwɪ̀ / bʊ́ní	m w ɪ ¹
163	1003_person	ABSMissong1	ǹnò / bànɛ̂bʊ̄	n ¹ n o ¹
164	1003_person	AGAMissong2	n̄nōwʊ́ / bànɛ᷇bʊ́~ǹnò / bànɛ᷇ː	n ³ n o ³ w ʊ ⁵
165	557_friend	NVBAbar7	bî~bîmô / bʷɪ̀bî~àbìmóbʷɪ̀	b i ⁵ ¹
166	557_friend	ECLAbar8	ʊ̀kʷèː / bʷɪ̀kʷè	ʊ ¹ kʷ eː ¹
167	557_friend	NMAAbar1	bî / bwɪ̀bî	b i ⁵ ¹
168	557_friend	NACAbar2	ʊ̀kwè / bə̀kwè	ʊ ¹ k w e ¹
169	557_friend	NEMAjumbu9	ǹ̩sànə́ / ásěː~ǹ̩sànə́	n ¹ s a ¹ n ə ⁵
170	557_friend	NVIAjumbu1	ǹsánə́ / ànsànə́~àsè	n ¹ s a ⁵ n ə ⁵
171	557_friend	KMNAjumbu2	ǹsáːnə́ / ànsánə́	n ¹ s aː ⁵ n ə ⁵
172	557_friend	KDCAjumbu10	ǹ̩sânə́ / ásé	n ¹ s a ⁵ ¹ n ə ⁵
173	557_friend	ENBBiya1	bí / bàbí~bə̀bí	b i ⁵
174	557_friend	ICNBiya2	bʲê / bə̀bʲê	b j e ⁵ ¹
175	557_friend	NNBBuu3	ǹsʊ́n / bə̀nsʊ́n	n ¹ s ʊ ⁵ n
176	557_friend	MNJBuu4	ǹsʊ́ːn / bə̀nsʊ́ːn	n ¹ s ʊː ⁵ n
177	557_friend	KEMBuu1	ǹsʊ́ːn / bə̀nsʊ́ːn	n ¹ s ʊː ⁵ n
178	557_friend	KCYBuu2	ǹsʊ́n / bə́nsʊ́ːn	n ¹ s ʊ ⁵ n
179	557_friend	KHKFang12	sʊ̄n / bə̀nsʊ́n	s ʊ ³ n
180	557_friend	DPNFang13	sʊ̄n / bə̀nsʊ́n	s ʊ ³ n
181	557_friend	KDVFang1	sʊ̄n / bə̀nsʊ̄n	s ʊ ³ n
182	557_friend	KJSFang2	sʊ̄n / sʊ́n ~	s ʊ ³ n
183	557_friend	JGYKoshin3	ńséɲ / ǹséɲ ~ ńséɲ	n ⁵ s e ⁵ ɲ
184	557_friend	TELKoshin4	ǹsɪ̄ɲ / ńsɪ́ɲ	n ¹ s ɪ ³ ɲ
185	557_friend	DPJKoshin1	kə́fúm / ø	k ə ⁵ f u ¹ m
186	557_friend	MRYKoshin2	nsɪ́ɲ / ø	n s ɪ ⁵ ɲ
187	557_friend	KCSKung3	sø̄ʲ ~ wʊ̀òsòɲ / sóʲ	s ø ³ j
188	557_friend	NJSKung4	sóʲ / ə̄sóʲ	s o ⁵ j
189	557_friend	ZKGKung1	sǿɪ́ / sə̀sǿɪ́	s ø ⁵ ɪ ⁵
190	557_friend	BNMKung2	sóɪ́ / ə́sóɪ́	s o ⁵ ɪ ⁵
191	557_friend	NMNMundabli3	n̄sʊ̄ŋ / ǹsʊ̄ɪ̄ɲ	n ³ s ʊ ³ ŋ
192	557_friend	CENMundabli2	ńsʊ́ːŋ / ńsǿé	n ⁵ s ʊː ⁵ ŋ
193	557_friend	LFNMundabli1	n̄sʊ̄ŋ / n̄swén	n ³ s ʊ ³ ŋ
194	557_friend	NINMundabli4	n̄sʊ̄ŋ / n̄sòènyɛ́n	n ³ s ʊ ³ ŋ
