	Doculect1	Doculect2	cosDistance
22881	b11ampongwe	b11borungu	0.977727337
78925	g64pangwa	p23simakonde	0.977715343
423	a121mbonge	a122bakundu	0.977686547
75109	g31zigua	n21tumbukamalawi	0.977676540
78354	g61sangu	g65kinga	0.977591907
68567	e622akimochi	e64kahe	0.977590841
89060	n11manda	p22mwera	0.977573025
78598	g62hehe	m22namwanga	0.977544169
78146	g51pogoro	m21ndali	0.977531622
80640	h16cizobe	h16kimbeko	0.977531317
78494	g61sangu	s41xhosa	0.977518499
47776	c21ngare	c25eeboyi	0.977491076
78595	g62hehe	m15mambwe	0.977470267
88775	m54lamba	m64tonga	0.977419206
75313	g32kwere	g35luguru	0.977405149
89355	p12rufiji	p22mwera	0.977393845
78165	g51pogoro	n12ngoni	0.977374018
85398	je402ikizu	je403suba	0.977370989
58230	d14enya	l221lwalwa	0.977343944
83464	je11runyoro	je16lusoga	0.977327718
69375	e623akiseri	e623dkeni	0.977325076
71354	e74atuveta	g22anorthpare	0.977321836
78911	g64pangwa	n13matengo	0.977253133
84176	je17gwere	m64tonga	0.977243703
76310	g39saghala	g401mwani	0.977229317
78775	g63bena	p15mbunga	0.977211347
76367	g39saghala	je17gwere	0.977205692
88033	m12lungwa	m31nyakyusa	0.977198691
78451	g61sangu	m24malila	0.977178970
83791	je14rukiga	je16lusoga	0.977157702
87978	m11pimbwe	m42bemba	0.977110413
87791	l52lunda	m15mambwe	0.977105783
88597	m31nyakyusa	m52lala	0.977027707
65840	e53meruimenti	f32nyaturucha	0.977016655
88972	mbulajarawan	zaambojarawan	0.977009636
66057	e53merutig	f32nyaturucha	0.977006760
78652	g63bena	g66wanji	0.976998186
79048	g65kinga	m54lamba	0.976945827
82800	jd53shi	je41maragoli	0.976882849
71366	e74atuveta	g37kutu	0.976827290
75447	g32kwere	n14mpoto	0.976825688
76111	g36kami	n12ngoni	0.976817724
71679	f12bende	m61lenje	0.976813037
74456	g22bsouthpare	g33zaramo	0.976805478
34398	b501wanzie	b501wanzimo	0.976781433
78607	g62hehe	m54lamba	0.976763013
88278	m21ndali	p23simakonde	0.976741691
75649	g34nguungulu	g36kami	0.976727245
80496	h16cimbala	h16cizobe	0.976699685
79899	h13kikunyi1989	m31nyakyusa	0.976696936
87794	l52lunda	m22namwanga	0.976688416
74802	g24bondei	g34nguungulu	0.976664337
88089	m13fipa	m31nyakyusa	0.976659041
72608	f24kimbu	m28lambya	0.976630091
83413	jd67kivinza	m31nyakyusa	0.976615811
88353	m22namwanga	m28lambya	0.976602033
88086	m13fipa	m24malila	0.976545113
75146	g32doe	g37kutu	0.976540274
78480	g61sangu	p22mwera	0.976535532
72302	f23sumbwa	g33zaramo	0.976499312
47774	c21ngare	c25bolee	0.976421276
79313	h111hangala	l33lubashaba	0.976391769
70761	e72agiryama	e73digo	0.976388279
48922	c25bolee	c25eeboyi	0.976327568
74627	g23sambaa	g32doe	0.976300045
68591	e622akimochi	g22bsouthpare	0.976261262
69800	e623mkuu	g22bsouthpare	0.976259990
78154	g51pogoro	m41taabwa	0.976237266
80231	h16bkindibu2013	h16gntandu	0.976216872
83176	jd65hangaza	m11pimbwe	0.976188192
76126	g36kami	p23simakonde	0.976157416
83582	je12rutooro	je25mkwaya	0.976149026
81293	h16gkimpangu2012	h16kikongo	0.976131421
79954	h16akisikongo2013	h16flaadi	0.976114724
78453	g61sangu	m28lambya	0.976093243
71947	f21sukuma	g61sangu	0.976055768
89127	n13matengo	p22mwera	0.975974133
87063	l12bholu	m13fipa	0.975960227
79254	h111hangala	h16kimbatangidinga	0.975946277
69399	e623akiseri	g22anorthpare	0.975945315
68975	e622cmamba	e65gweno	0.975913939
59746	d24songola	m64tonga	0.975902253
88201	m15mambwe	m52lala	0.975873635
78592	g62hehe	m12lungwa	0.975848884
34737	b501wanzimo	b602kaningisud	0.975755539
84700	je25jita	p12rufiji	0.975721566
78599	g62hehe	m23nyiha	0.975708719
80504	h16cimbala	h16kikongo	0.975675717
14598	a62bmmala	a62clibie	0.975551967
88265	m21ndali	n14mpoto	0.975510605
89093	n12ngoni	p21yao	0.975364934
82496	h32suku	m64tonga	0.975362057
73758	g11gogo	g37kutu	0.975361638
68563	e622akimochi	e622cvunjo	0.975344941
72077	f21sukuma	p22mwera	0.975344498
89141	n13matengo	s41xhosa	0.975281848
48351	c24koyo	c25eeboyi	0.975270141
81548	h16hkinkanu2012	h16kikongo	0.975256264
88200	m15mambwe	m42bemba	0.975250971
88252	m21ndali	m41taabwa	0.975216043
79037	g65kinga	m21ndali	0.975185401
74976	g31zigua	g37kutu	0.975179068
69175	e622cvunjo	e623mkuu	0.975167020
74466	g22bsouthpare	g42dunguja	0.975166201
87979	m11pimbwe	m52lala	0.975152654
72504	f24kimbu	g52ndamba	0.975152393
66915	e54tharaka	f32nyaturucha	0.975146035
88277	m21ndali	p22mwera	0.975145999
83793	je14rukiga	je21runyambo	0.975096725
79253	h111hangala	h16kikongo	0.975044592
82363	h321soonde	m21wanda	0.975022712
73476	f33langi	je41maragoli	0.975005860
83401	jd67kivinza	m11pimbwe	0.974999340
78297	g52ndamba	m21ndali	0.974976306
76639	g412mwiini	g43kae	0.974964333
79906	h13kikunyi1989	m64tonga	0.974888888
79760	h131kisundicongokimongo1988	m41taabwa	0.974876775
85406	je402ikizu	je45nata	0.974872499
87072	l12bholu	m28lambya	0.974840478
75145	g32doe	g36kami	0.974835682
88091	m13fipa	m42bemba	0.974791042
82295	h321soonde	h32suku	0.974787749
87789	l52lunda	m13fipa	0.974785089
76113	g36kami	n14mpoto	0.974777536
88834	m61lenje	p21yao	0.974770768
72078	f21sukuma	p23simakonde	0.974755433
88666	m41taabwa	p23simakonde	0.974747690
74810	g24bondei	g42aamu	0.974730081
78778	g63bena	p23simakonde	0.974693753
87969	m11pimbwe	m21ndali	0.974647795
83416	jd67kivinza	m52lala	0.974634086
82358	h321soonde	m12lungwa	0.974632988
83162	jd65hangaza	l12bholu	0.974603277
78177	g51pogoro	p15mbunga	0.974602518
75981	g36kami	g37kutu	0.974589628
74798	g24bondei	g31zigua	0.974582818
66058	e53merutig	f32nyaturuwil	0.974579852
89092	n12ngoni	p15mbunga	0.974567720
72605	f24kimbu	m23nyiha	0.974559569
80637	h16cizobe	h16hkinkanu2012	0.974539079
75954	g35luguru	p11ndengeleko	0.974525442
87796	l52lunda	m24malila	0.974523245
79950	h16akisikongo2013	h16cizobe	0.974495521
87839	l52lunda	s41xhosa	0.974472552
79040	g65kinga	m23nyiha	0.974463772
88816	m61lenje	m64tonga	0.974446640
87787	l52lunda	m11pimbwe	0.974440196
74628	g23sambaa	g32kwere	0.974427251
75460	g32kwere	p23simakonde	0.974421490
71911	f21sukuma	f23sumbwa	0.974397565
79200	g66wanji	n11manda	0.974390332
72690	f25bungu	g62hehe	0.974386109
82345	h321soonde	l221lwalwa	0.974382178
78596	g62hehe	m21ndali	0.974377034
89057	n11manda	p14ngindo	0.974372980
76291	g37kutu	p25mabia	0.974352188
30683	b302himba	b32kande	0.974348105
72725	f25bungu	jd65hangaza	0.974334400
74468	g22bsouthpare	g43kae	0.974284795
74799	g24bondei	g32doe	0.974207531
64255	e52embu	e53imenti	0.974193914
81272	h16flaadi	p25mabia	0.974131457
75962	g35luguru	p25mabia	0.974104931
61992	d32birabunia	f21sukuma	0.974077886
79953	h16akisikongo2013	h16dciwoyodrc2012	0.974050912
75144	g32doe	g35luguru	0.974037308
88263	m21ndali	n12ngoni	0.974035751
70604	e71aupperpokomo	g43kae	0.974031525
72787	f25bungu	m21wanda	0.974020568
76636	g412mwiini	g42aamu	0.974019952
87788	l52lunda	m12lungwa	0.973994604
81270	h16flaadi	p22mwera	0.973990028
72797	f25bungu	m54lamba	0.973968086
88875	m62soli	p22mwera	0.973956209
68574	e622akimochi	e74atuveta	0.973947858
78744	g63bena	m21ndali	0.973903470
20298	a85bbekwilmakokou	a85bbekwilmv	0.973895441
70993	e73digo	g44bndzwani	0.973867205
88773	m54lamba	m61lenje	0.973857189
76478	g401mwani	g43kae	0.973856391
87973	m11pimbwe	m24malila	0.973841005
82364	h321soonde	m22namwanga	0.973816322
69798	e623mkuu	g22anorthpare	0.973788605
58255	d14enya	m41taabwa	0.973736139
71199	e74adawida	h13kikunyi1989	0.973711006
72320	f23sumbwa	g61sangu	0.973656226
75616	g33zaramo	n21tumbukamalawi	0.973655006
78969	g65kinga	h321soonde	0.973653262
76122	g36kami	p14ngindo	0.973638217
89404	p14ngindo	p25mabia	0.973629439
43923	b86dinga	b86dzing	0.973616048
83417	jd67kivinza	m54lamba	0.973604344
80506	h16cimbala	h16kimbeko	0.973577734
66916	e54tharaka	f32nyaturuwil	0.973541984
88257	m21ndali	m62soli	0.973473838
73089	f32nyaturucha	jd64shubi	0.973451926
74656	g23sambaa	h131kisundicongokimongo1988	0.973451534
72693	f25bungu	g65kinga	0.973424228
82817	jd53shi	l12bholu	0.973422899
75615	g33zaramo	n14mpoto	0.973408394
82774	jd53shi	jd64shubi	0.973377127
59759	d24songola	p11ndengeleko	0.973354596
