Doculect	Gloss	Form	Segments	SalienceScore
e71aupperpokomo	water	madʒi	m a dʒ i	31
e72agiryama	come	dza	dz a	46
e73digo	animal	ɲama	ɲ a m a	52
e74adawida	woman	muka	m u k a	52
e74atuveta	mouth	momo	m o m o	46
f12bende	root	musisi	m u s i s i	42
f21ntuzu	war	bʊlʊgʊ	b ʊ l ʊ g ʊ	187
f21sukuma	egg	igi	i g i	70
f22nyamwezi	face	βʊʃʊ	β ʊ ʃ ʊ	96
f23sumbwa	egg	igi	i g i	59
f24kimbu	egg	igi	i g i	93
f25bungu	fish	iʃʷi	i ʃʷ i	92
f31nyiramba	leg	mʊgʊlʊ	m ʊ g ʊ l ʊ	108
f32nyaturucha	salt	muɲu	m u ɲ u	80
f32nyaturuwil	salt	muɲu	m u ɲ u	84
f33langi	sky	kurumu	k u r u m u	64
fefegrassfields	elephant	sʉʉ	s ʉ ʉ	106
g11gogo	know	maɲa	m a ɲ a	52
g12kagulu	give	iŋʰa	i ŋʰ a	69
g22anorthpare	tree	mti	m t i	53
g22asu	heart	oo	o o	48
g22bsouthpare	liver	itima	i t i m a	53
g23sambaa	burn	kuaka	k u a k a	47
g24bondei	big	kuu	k u u	57
g31zigua	skin	makanka	m a k a n k a	46
g32doe	animal	ɲama	ɲ a m a	48
g32kwere	man	mulume	m u l u m e	33
g33zaramo	root	mzizi	m z i z i	31
g34nguungulu	kill	kukoma	k u k o m a	42
g35luguru	fly	kuguluka	k u g u l u k a	32
g36kami	goat	mhenhe	m h e n h e	25
g37kutu	tree	mti	m t i	32
g39saghala	two	ili	i l i	50
g401mwani	louse	sawa	s a w a	33
g412mwiini	fingernail	iɲal̪a	i ɲ a l̪ a	85
g41bajuni	bird	n̪on̪i	n̪ o n̪ i	118
g42aamu	bite	uma	u m a	52
