ConceptA	ConceptB	ChisqPvalue
blood	head	0.0014992503748125937
blood	heart	0.025987006496751622
blood	horn	0.0004997501249375312
blood	knee	0.0014992503748125937
blood	leg	0.031984007996002
blood	man	0.0029985007496251873
blood	moon	0.0029985007496251873
blood	mouth	0.0014992503748125937
blood	name	0.030484757621189407
blood	neck	0.0009995002498750624
blood	nose	0.0009995002498750624
blood	one	0.005497251374312844
blood	rain	0.037481259370314844
blood	skin	0.02348825587206397
blood	smoke	0.011494252873563218
blood	snake	0.011494252873563218
blood	tail	0.004497751124437781
blood	tongue	0.0009995002498750624
blood	tooth	0.004497751124437781
blood	two	0.03798100949525238
blood	water	0.001999000499750125
blood	woman	0.03698150924537731
bone	breast	0.005997001499250375
bone	come	0.0009995002498750624
bone	dog	0.0009995002498750624
bone	drink	0.005497251374312844
bone	ear	0.0004997501249375312
bone	eat	0.0024987506246876563
bone	egg	0.0004997501249375312
bone	eye	0.0009995002498750624
bone	fat, oil	0.0034982508745627187
bone	feather	0.0004997501249375312
bone	fingernail	0.0029985007496251873
bone	fire	0.0009995002498750624
bone	fish	0.0009995002498750624
bone	give	0.0009995002498750624
bone	ground, soil	0.022488755622188907
bone	hair	0.0004997501249375312
bone	head	0.001999000499750125
bone	hear	0.0014992503748125937
bone	horn	0.0004997501249375312
bone	kill	0.0004997501249375312
bone	knee	0.0014992503748125937
bone	know	0.0004997501249375312
bone	leaf	0.0014992503748125937
bone	leg	0.009995002498750625
bone	liver	0.021989005497251374
bone	louse	0.0004997501249375312
bone	moon	0.0004997501249375312
bone	mouth	0.0014992503748125937
bone	name	0.0004997501249375312
bone	neck	0.0004997501249375312
bone	night	0.0004997501249375312
bone	nose	0.0024987506246876563
bone	one	0.0004997501249375312
bone	person	0.010994502748625687
bone	root	0.0009995002498750624
bone	see	0.010494752623688156
bone	skin	0.0009995002498750624
bone	smoke	0.0014992503748125937
bone	stone	0.0004997501249375312
bone	sun	0.0004997501249375312
bone	tail	0.0074962518740629685
bone	tongue	0.0004997501249375312
bone	tooth	0.004497751124437781
bone	tree	0.0029985007496251873
bone	two	0.005497251374312844
bone	water	0.0004997501249375312
bone	woman	0.001999000499750125
breast	eat	0.0009995002498750624
