a11londo
c	3.24	8
dz	2.63	9

c25mboshi
dz	2.63	9
ɸ	9.22	11

c302bolondo
e	2.03	45
l	2.05	47
o	2.28	67
ɓ	8.15	25
ɱ	4.38	2

c322zamba
aː	2.47	5
eː	4.11	4
mː	20.57	1
z	3.63	20

c323mpama
e	2.2	47

c32bobangi
l	2.13	48
ɔ	2.35	36
ʊ	2.16	15

c34sakata
ɛ	2.97	36

c36dlingala

c36gmonyongo
b	3.08	36
o	2.04	63
ɱ	6.63	3

c36gmosange
b	2.8	34
ɱ	11.13	5

c37ebudza
o	2.45	70

c401babati1919
e	2.11	46
g	2.33	23
ɯ	9.42	58

c401pakabete
e	3.44	62
j	2.58	29
ɓ	2.74	9
ɛ	2.15	28

c412libobi
b	2.23	30
ɱ	4.38	2

c41ngombe

c42ebwela
h	2.16	18
o	2.93	78
ɗ	9.08	23

c43abaati
ɓ	3.08	10
ɪ	7.62	39
ʊ	4.25	28

c44bwa
ɓ	2.74	9
ɪ	8.83	45
ʊ	4.25	28

c52soko
e	2.03	45
h	2.16	18
l	2.36	51
o	2.1	64

c52soko1919
e	2.28	48
h	2.81	22
l	2.36	51
ɯ	8.1	50

c54turumba1919
b	4.5	46
e	2.36	49
ɯ	11.72	72

c55lokele
b	2.65	33
m	-2.1	15
o	2.22	66
s	2.3	21

c61ekonda
b	3.36	38
lᶣ	20.57	2
m	-2.23	14
o	2.45	70

c61mongo
f	2.24	10

c71tetela
c	2.3	6
d	2.62	27
eː	3.02	3
o	2.16	65
ɕ	20.57	1

c76ombo

c81dengese
eː	5.19	5
oː	2.76	4
p	2.59	14
ɔ	2.09	33
ɔː	2.92	2
ɛː	8.24	5
ʔ	2.29	5

c83bushong
j	3.73	37
ʃ	6.2	18

c85wongo
r̃	20.57	8

d11mbole
l	2.59	54
o	2.81	76

d12lengola
l	2.36	51
ɓ	2.06	7
ɗ	2.19	6
ʂ	14.72	15

d13metoko

d14enya
s	2.1	20

d201liko
k	3.14	53
kp	20.57	1
ɓ	3.08	10
ɪ	2.58	14
ʊ	5.38	35

d20bvamba1919
ɯ	4.32	27

d211kango
a	2.51	92

d21baali
s	2.49	22
ɗ	4.22	11

d23kibirakumu1919
ɯ	8.43	52

d24songola
k	2.51	47
tʃ	3.91	11

d25lega
z	2.95	17
ɪ	2.58	14
ʊ	4.57	30

d28holoholo
s	2.88	24
ɪ	4.4	23
ɲ	2.25	13
ʊ	4.74	31

d304homa1919
ɯ	4.32	27

d305nyangali
c	3.24	8
m	2.37	51
r	2.1	28
ɛ	3.07	37
ɪ	3.19	17
ʊ	3.45	23

d308bodo2
p	2.59	14

d308ebodo
ɪ	3.39	18
ʊ	2.81	19

d311bila
i	-2.02	16
k	2.51	47
p	2.05	12
w	-2.08	0
ɓ	4.43	14
ɛ	2.66	33
ɲ	3.01	16

d313mbuttu1919
d	2.48	26
ɯ	4.15	26

d32bira
k	2.82	50
s	2.1	20

d32birabunia
ø	4.53	1
ɓ	3.08	10
ɗ	2.19	6

d331bvanuma
m	2.5	52
ɗ	2.6	7
ɪ	5.2	27
ɽ	20.56	55
ʊ	6.34	41
β	3.73	10

d333ndaaka
p	2.32	13
ɪ	3.39	18

d334mbo
ɸ	4.97	6

d33nyali
d̪	10.88	5
l̪	18.27	31
ã	11.74	7
ĩ	9.72	3
ɓ	2.06	7
ɔː	4.46	3
ɔ̃	8.77	4
ɪ	2.99	16
ɪ̃	20.57	1
ɱ	2.13	1
ʊ	4.09	27
ʊː	20.57	1
ʊ̃	18.6	3

d43nyanga
c	2.3	6
r	2.2	29

d55buyu
b̪	20.57	2
c	7.45	17
h	4.11	30
s̪	20.57	2
ts	2.0	6

dugurijarawan
l	2.05	47
ɓ	3.42	11
ʌ	4.66	2

e46sonjo
g	2.33	23

e51kikuyu
r	2.68	34
ɣ	2.8	17
ɲ	2.25	13
θ	20.25	8

e52embu
eː	3.02	3
oː	4.24	6
r	2.59	33
ð	6.01	10
ɔː	2.92	2
ɣ	2.8	17

e52mbeere
eː	5.19	5
oː	4.98	7
r	2.59	33
ð	6.63	11
ɔː	2.92	2
ɣ	3.17	19
ɲ	2.5	14

e531muthambi
eː	4.11	4
oː	4.98	7
r	2.49	32
ð	5.39	9
ɔː	2.92	2
ɣ	2.8	17
ɲ	3.27	17

e531mwimbi
eː	4.11	4
oː	3.5	5
r	2.68	34
ð	4.77	8
ɔː	2.92	2
ɣ	2.8	17
ɲ	3.01	16

e53igoji
eː	4.11	4
iː	2.44	3
oː	4.24	6
r	2.78	35
uː	2.37	3
ð	6.01	10
ɔː	2.92	2
ɣ	2.61	16
ɲ	3.52	18

e53imenti
eː	3.02	3
iː	2.44	3
oː	2.03	3
