ConceptA	ConceptB	ChisqResidual	NumForms
air_1	ladder_1911	2.1343135003197307	21
air_5	ladder_1905	3.2906581974658233	1
air_6	ladder_1905	5.699587188353825	3
air_1	leaf_1912	3.015113445777636	21
air_10	leaf_1919	2.7213442056664356	4
air_18	leaf_1929	6.505382386916238	4
air_4	leaf_1912	-2.1999999999999997	0
air_4	leaf_1927	2.3517884877065565	2
air_4	leaf_1936	2.3517884877065565	2
air_5	leaf_1916	3.252691193458119	1
air_6	leaf_1916	5.633826408401309	3
air_7	leaf_1918	4.8	1
air_1	medicine_1940	-2.166535841157586	0
air_10	medicine_1959	3.2142857142857144	1
air_4	medicine_1940	3.5471556105096473	8
air_4	medicine_1943	-2.1924695594483503	2
air_4	medicine_1950	2.1578838210232756	2
air_6	medicine_1942	5.3655489603822	2
air_1	moon_1994	3.0892603340872236	18
air_10	moon_1997	2.0559762118503535	4
air_18	moon_1997	2.0559762118503535	4
air_4	moon_1994	-2.057983021710106	0
air_4	moon_2008	2.2294816068526147	2
air_4	moon_2010	2.2294816068526147	2
air_5	moon_1998	3.8805700005813275	1
air_6	moon_1999	4.340868260486831	2
air_7	moon_2000	6.861372411737249	2
air_1	mouth_2049	3.1423376193982904	21
air_1	mouth_2052	-2.258769757263128	0
air_10	mouth_2052	2.4916186034997656	2
air_18	mouth_2052	3.5236808213304798	4
air_4	mouth_2049	-2.2677868380553634	0
air_4	mouth_2057	2.642857142857143	3
air_4	mouth_2065	2.1578838210232756	2
air_6	mouth_2053	3.051597106100211	3
air_7	mouth_2055	6.714285714285714	2
air_1	name_2122	3.3367825291826887	21
air_10	name_2131	5.144957554275265	4
air_18	name_2140	6.581316394931647	4
air_4	name_2122	-2.2228757209048453	0
air_4	name_2125	4.458963213705229	8
air_5	name_2126	2.12881721739985	1
air_6	name_2126	3.68721958056394	3
air_7	name_2128	4.653693451990369	2
air_1	nose_2143	3.3367825291826887	21
air_1	nose_2144	-2.166481072777738	4
air_4	nose_2143	-2.2228757209048453	0
air_5	nose_2145	3.2906581974658233	1
air_6	nose_2145	5.699587188353825	3
air_7	nose_2147	3.2906581974658233	1
air_1	oil_2169	2.393915899386053	13
air_10	oil_2166	5.303300858899106	2
air_18	oil_2175	6.3508529610858835	4
air_4	oil_2162	3.227486121839514	10
air_4	oil_2173	2.1213203435596424	2
air_6	oil_2163	6.49519052838329	3
air_7	oil_2206	6.783865662978103	1
air_1	owl_2219	3.1777018607236047	19
air_10	owl_2225	3.2991443953692907	3
air_18	owl_2225	3.8095238095238093	4
air_4	owl_2210	4.315767642046551	8
air_4	owl_2219	-2.1570955529345	0
air_5	owl_2211	2.267786838055364	1
air_6	owl_2211	3.9279220242478634	3
air_7	owl_2223	3.2142857142857144	1
air_1	palm nut_2254	2.5017712085711694	19
air_1	palm nut_2257	-2.100420126042015	0
air_10	palm nut_2257	3.9207842352784272	4
air_18	palm nut_2257	3.9207842352784272	4
air_4	palm nut_2255	3.86157541760903	6
air_5	palm nut_2256	7.001400420140049	1
air_6	palm nut_2273	3.8805700005813275	1
air_6	palm nut_2284	2.5724787771376323	1
air_7	palm nut_2284	3.2906581974658233	1
air_1	palm tree_2292	2.302598702404248	10
air_1	palm tree_2293	2.0595068893914825	8
air_10	palm tree_2297	2.769380397690943	4
air_18	palm tree_2291	3.0106021806602214	2
air_18	palm tree_2326	3.2906581974658233	1
air_18	palm tree_2339	3.2906581974658233	1
air_4	palm tree_2294	4.458963213705229	8
air_5	palm tree_2295	3.2906581974658233	1
air_6	palm tree_2295	5.699587188353825	3
air_1	pepper_2380	2.0595068893914825	8
air_18	pepper_2396	4.2576344347997	4
air_5	pepper_2382	3.8805700005813275	1
air_6	pepper_2382	4.340868260486831	2
air_6	pepper_2410	3.8805700005813275	1
air_7	pepper_2384	4.653693451990369	2
air_1	person_2427	2.8941032001871205	19
air_10	person_2423	3.5	2
air_18	person_2423	4.949747468305833	4
air_4	person_2422	2.7889799373443136	3
air_4	person_2427	-2.086664004258153	0
air_6	person_2431	2.271720556255607	3
air_7	person_2420	4.490731195102493	2
air_1	pig_2443	3.0022213997860536	17
air_10	pig_2432	2.769380397690943	4
air_18	pig_2450	6.581316394931647	4
air_4	pig_2435	3.1529631254723287	4
air_4	pig_2439	3.1529631254723287	4
air_4	pig_2443	-2.0	0
air_5	pig_2436	3.2906581974658233	1
air_6	pig_2436	5.699587188353825	3
air_7	pig_2438	4.653693451990369	2
air_1	pineapple_2453	3.391164991562634	23
air_1	pineapple_2460	-2.37346441585572	1
air_10	pineapple_2460	2.556038601690775	4
air_18	pineapple_2460	2.556038601690775	4
air_4	pineapple_2453	-2.3494680248941457	0
air_4	pineapple_2464	2.193931022920578	2
air_5	pineapple_2455	4.8	1
air_6	pineapple_2455	2.5403411844343533	1
air_6	pineapple_2456	5.427092530382482	2
air_7	pineapple_2457	2.8460498941515415	1
air_1	place_2491	2.498099669905969	21
air_10	place_2500	2.769380397690943	4
air_18	place_2500	2.769380397690943	4
air_4	place_2491	-2.42535625036333	0
air_4	place_2494	3.5251199395531625	5
air_4	place_2498	2.2294816068526147	2
air_4	place_2507	2.2294816068526147	2
