Doculect1	Doculect2	SharedCognateCount
DNMMumfu2	FBCBiya8	26
DNMMumfu2	ICNBiya2	23
DNMMumfu2	JGYKoshin3	48
DNMMumfu2	KBMNgun4	23
DNMMumfu2	KCSKung3	15
DNMMumfu2	KCYBuu2	47
DNMMumfu2	KDCAjumbu10	29
DNMMumfu2	KDVFang1	33
DNMMumfu2	KEMBuu1	51
DNMMumfu2	KFKMashi1	38
DNMMumfu2	KHKFang12	44
DNMMumfu2	KJSFang2	32
DNMMumfu2	KMNAjumbu2	30
DNMMumfu2	LFNMundabli1	101
DNMMumfu2	MCANgun3	22
DNMMumfu2	MEAMumfu3	113
DNMMumfu2	MNJBuu4	55
DNMMumfu2	MRYKoshin2	31
DNMMumfu2	NACAbar2	22
DNMMumfu2	NCCMumfu4	114
DNMMumfu2	NCMMashi5	39
DNMMumfu2	NDNMissong5	37
DNMMumfu2	NEAMunken1	24
DNMMumfu2	NEMAjumbu9	31
DNMMumfu2	NFKBiya7	25
DNMMumfu2	NGTMunken3	22
DNMMumfu2	NINMundabli4	101
DNMMumfu2	NJNBiya6	27
DNMMumfu2	NJSKung4	16
DNMMumfu2	NMAAbar1	21
DNMMumfu2	NMNMundabli3	101
DNMMumfu2	NMSMissong4	37
DNMMumfu2	NNBBuu3	57
DNMMumfu2	NSFBiya5	25
DNMMumfu2	NUNMunken4	25
DNMMumfu2	NVBAbar7	24
DNMMumfu2	NVIAjumbu1	27
DNMMumfu2	TELKoshin4	47
DNMMumfu2	TNTMunken2	24
DNMMumfu2	WCANgun1	23
DNMMumfu2	ZKGKung1	10
DPNFang13	ECLAbar8	32
DPNFang13	ENBBiya1	25
DPNFang13	FBCBiya8	30
DPNFang13	ICNBiya2	26
DPNFang13	JGYKoshin3	67
DPNFang13	KBMNgun4	28
DPNFang13	KCSKung3	25
DPNFang13	KCYBuu2	56
DPNFang13	KDCAjumbu10	51
DPNFang13	KDVFang1	89
DPNFang13	KEMBuu1	59
DPNFang13	KFKMashi1	31
DPNFang13	KHKFang12	131
DPNFang13	KJSFang2	86
DPNFang13	KMNAjumbu2	48
DPNFang13	LFNMundabli1	53
DPNFang13	MCANgun3	26
DPNFang13	MEAMumfu3	48
DPNFang13	MNJBuu4	62
DPNFang13	MRYKoshin2	48
DPNFang13	NACAbar2	26
DPNFang13	NCCMumfu4	47
DPNFang13	NCMMashi5	33
DPNFang13	NDNMissong5	35
DPNFang13	NEAMunken1	31
DPNFang13	NEMAjumbu9	50
DPNFang13	NFKBiya7	31
DPNFang13	NGTMunken3	30
DPNFang13	NINMundabli4	52
DPNFang13	NJNBiya6	28
DPNFang13	NJSKung4	26
DPNFang13	NMAAbar1	25
DPNFang13	NMNMundabli3	54
DPNFang13	NMSMissong4	36
DPNFang13	NNBBuu3	62
DPNFang13	NSFBiya5	30
DPNFang13	NUNMunken4	32
DPNFang13	NVBAbar7	30
DPNFang13	NVIAjumbu1	46
DPNFang13	TELKoshin4	65
DPNFang13	TNTMunken2	30
DPNFang13	WCANgun1	28
DPNFang13	ZKGKung1	18
ECLAbar8	ENBBiya1	81
ECLAbar8	FBCBiya8	94
ECLAbar8	ICNBiya2	75
ECLAbar8	JGYKoshin3	32
ECLAbar8	KBMNgun4	105
ECLAbar8	KCSKung3	27
ECLAbar8	KCYBuu2	53
ECLAbar8	KDCAjumbu10	44
ECLAbar8	KDVFang1	21
ECLAbar8	KEMBuu1	52
ECLAbar8	KFKMashi1	24
ECLAbar8	KHKFang12	30
ECLAbar8	KJSFang2	22
ECLAbar8	KMNAjumbu2	44
ECLAbar8	LFNMundabli1	32
ECLAbar8	MCANgun3	96
ECLAbar8	MEAMumfu3	29
ECLAbar8	MNJBuu4	57
ECLAbar8	MRYKoshin2	27
ECLAbar8	NACAbar2	107
ECLAbar8	NCCMumfu4	30
ECLAbar8	NCMMashi5	27
ECLAbar8	NDNMissong5	87
ECLAbar8	NEAMunken1	89
ECLAbar8	NEMAjumbu9	42
ECLAbar8	NFKBiya7	95
ECLAbar8	NGTMunken3	100
ECLAbar8	NINMundabli4	30
ECLAbar8	NJNBiya6	94
ECLAbar8	NJSKung4	25
ECLAbar8	NMAAbar1	100
ECLAbar8	NMNMundabli3	33
ECLAbar8	NMSMissong4	89
ECLAbar8	NNBBuu3	59
ECLAbar8	NSFBiya5	95
ECLAbar8	NUNMunken4	100
ECLAbar8	NVBAbar7	128
ECLAbar8	NVIAjumbu1	40
ECLAbar8	TELKoshin4	34
ECLAbar8	TNTMunken2	93
ECLAbar8	WCANgun1	101
ECLAbar8	ZKGKung1	18
ENBBiya1	FBCBiya8	104
ENBBiya1	ICNBiya2	91
ENBBiya1	JGYKoshin3	22
ENBBiya1	KBMNgun4	94
ENBBiya1	KCSKung3	24
ENBBiya1	KCYBuu2	41
ENBBiya1	KDCAjumbu10	35
ENBBiya1	KDVFang1	20
ENBBiya1	KEMBuu1	42
ENBBiya1	KFKMashi1	21
ENBBiya1	KHKFang12	26
ENBBiya1	KJSFang2	21
ENBBiya1	KMNAjumbu2	37
ENBBiya1	LFNMundabli1	25
ENBBiya1	MCANgun3	86
ENBBiya1	MEAMumfu3	21
ENBBiya1	MNJBuu4	44
ENBBiya1	MRYKoshin2	20
ENBBiya1	NACAbar2	74
ENBBiya1	NCCMumfu4	23
ENBBiya1	NCMMashi5	21
ENBBiya1	NDNMissong5	68
ENBBiya1	NEAMunken1	80
ENBBiya1	NEMAjumbu9	37
ENBBiya1	NFKBiya7	101
ENBBiya1	NGTMunken3	85
ENBBiya1	NINMundabli4	23
ENBBiya1	NJNBiya6	105
ENBBiya1	NJSKung4	22
ENBBiya1	NMAAbar1	72
ENBBiya1	NMNMundabli3	26
ENBBiya1	NMSMissong4	68
ENBBiya1	NNBBuu3	45
ENBBiya1	NSFBiya5	96
ENBBiya1	NUNMunken4	85
ENBBiya1	NVBAbar7	83
ENBBiya1	NVIAjumbu1	38
ENBBiya1	TELKoshin4	25
ENBBiya1	TNTMunken2	83
ENBBiya1	WCANgun1	88
ENBBiya1	ZKGKung1	16
FBCBiya8	ICNBiya2	91
FBCBiya8	JGYKoshin3	26
FBCBiya8	KBMNgun4	107
FBCBiya8	KCSKung3	25
FBCBiya8	KCYBuu2	47
FBCBiya8	KDCAjumbu10	37
FBCBiya8	KDVFang1	21
FBCBiya8	KEMBuu1	46
FBCBiya8	KFKMashi1	22
FBCBiya8	KHKFang12	30
FBCBiya8	KJSFang2	22
FBCBiya8	KMNAjumbu2	40
FBCBiya8	LFNMundabli1	30
FBCBiya8	MCANgun3	100
FBCBiya8	MEAMumfu3	26
FBCBiya8	MNJBuu4	50
FBCBiya8	MRYKoshin2	21
FBCBiya8	NACAbar2	82
FBCBiya8	NCCMumfu4	28
FBCBiya8	NCMMashi5	22
FBCBiya8	NDNMissong5	78
FBCBiya8	NEAMunken1	92
FBCBiya8	NEMAjumbu9	38
FBCBiya8	NFKBiya7	126
FBCBiya8	NGTMunken3	99
FBCBiya8	NINMundabli4	28
FBCBiya8	NJNBiya6	127
FBCBiya8	NJSKung4	23
FBCBiya8	NMAAbar1	78
FBCBiya8	NMNMundabli3	31
FBCBiya8	NMSMissong4	78
FBCBiya8	NNBBuu3	52
FBCBiya8	NSFBiya5	109
FBCBiya8	NUNMunken4	98
FBCBiya8	NVBAbar7	97
FBCBiya8	NVIAjumbu1	36
FBCBiya8	TELKoshin4	29
FBCBiya8	TNTMunken2	99
FBCBiya8	WCANgun1	105
FBCBiya8	ZKGKung1	17
ICNBiya2	JGYKoshin3	24
ICNBiya2	KBMNgun4	83
ICNBiya2	KCSKung3	21
ICNBiya2	KCYBuu2	40
ICNBiya2	KDCAjumbu10	32
ICNBiya2	KDVFang1	19
ICNBiya2	KEMBuu1	39
ICNBiya2	KFKMashi1	21
ICNBiya2	KHKFang12	27
ICNBiya2	KJSFang2	20
ICNBiya2	KMNAjumbu2	34
ICNBiya2	LFNMundabli1	27
ICNBiya2	MCANgun3	76
ICNBiya2	MEAMumfu3	23
ICNBiya2	MNJBuu4	40
ICNBiya2	MRYKoshin2	21
ICNBiya2	NACAbar2	69
ICNBiya2	NCCMumfu4	22
ICNBiya2	NCMMashi5	21
ICNBiya2	NDNMissong5	62
ICNBiya2	NEAMunken1	78
ICNBiya2	NEMAjumbu9	33
ICNBiya2	NFKBiya7	90
ICNBiya2	NGTMunken3	81
ICNBiya2	NINMundabli4	26
ICNBiya2	NJNBiya6	92
ICNBiya2	NJSKung4	19
ICNBiya2	NMAAbar1	67
ICNBiya2	NMNMundabli3	28
ICNBiya2	NMSMissong4	63
ICNBiya2	NNBBuu3	41
ICNBiya2	NSFBiya5	92
ICNBiya2	NUNMunken4	80
ICNBiya2	NVBAbar7	72
ICNBiya2	NVIAjumbu1	33
ICNBiya2	TELKoshin4	25
ICNBiya2	TNTMunken2	75
ICNBiya2	WCANgun1	79
ICNBiya2	ZKGKung1	17
JGYKoshin3	KBMNgun4	26
JGYKoshin3	KCSKung3	28
JGYKoshin3	KCYBuu2	56
JGYKoshin3	KDCAjumbu10	41
JGYKoshin3	KDVFang1	50
JGYKoshin3	KEMBuu1	58
JGYKoshin3	KFKMashi1	40
JGYKoshin3	KHKFang12	66
JGYKoshin3	KJSFang2	46
JGYKoshin3	KMNAjumbu2	40
JGYKoshin3	LFNMundabli1	58
JGYKoshin3	MCANgun3	25
JGYKoshin3	MEAMumfu3	52
JGYKoshin3	MNJBuu4	61
JGYKoshin3	MRYKoshin2	85
JGYKoshin3	NACAbar2	26
JGYKoshin3	NCCMumfu4	52
JGYKoshin3	NCMMashi5	40
