Doculect1	Doculect2	weight	color
ECLAbar8	KBMNgun4	.01	grey90
ECLAbar8	KCSKung3	.01	grey90
ECLAbar8	KCYBuu2	42	blue
ECLAbar8	KDCAjumbu10	.01	grey90
ECLAbar8	KDVFang1	.01	grey90
ECLAbar8	KEMBuu1	38	blue
ECLAbar8	KFKMashi1	.01	grey90
ECLAbar8	KHKFang12	.01	grey90
ECLAbar8	KJSFang2	.01	grey90
ECLAbar8	KMNAjumbu2	.01	grey90
ECLAbar8	LFNMundabli1	15	purple
ECLAbar8	MCANgun3	.01	grey90
ECLAbar8	MEAMumfu3	15	purple
ECLAbar8	MNJBuu4	41	blue
ECLAbar8	MRYKoshin2	.01	grey90
ECLAbar8	NACAbar2	34.333333333333336	grey30
ECLAbar8	NCCMumfu4	14	purple
ECLAbar8	NCMMashi5	.01	grey90
ECLAbar8	NDNMissong5	.01	grey90
ECLAbar8	NEAMunken1	.01	grey90
ECLAbar8	NEMAjumbu9	.01	grey90
ECLAbar8	NFKBiya7	.01	grey90
ECLAbar8	NGTMunken3	.01	grey90
ECLAbar8	NINMundabli4	15	purple
ECLAbar8	NJNBiya6	.01	grey90
ECLAbar8	NJSKung4	.01	grey90
ECLAbar8	NMAAbar1	31.666666666666668	grey30
ECLAbar8	NMNMundabli3	14	purple
ECLAbar8	NMSMissong4	.01	grey90
ECLAbar8	NNBBuu3	47	blue
ECLAbar8	NSFBiya5	.01	grey90
ECLAbar8	NUNMunken4	.01	grey90
ECLAbar8	NVBAbar7	41.0	grey30
ECLAbar8	NVIAjumbu1	.01	grey90
ECLAbar8	TELKoshin4	.01	grey90
ECLAbar8	TNTMunken2	.01	grey90
ECLAbar8	WCANgun1	.01	grey90
ECLAbar8	ZKGKung1	.01	grey90
ENBBiya1	FBCBiya8	.01	grey90
ENBBiya1	ICNBiya2	.01	grey90
ENBBiya1	JGYKoshin3	.01	grey90
ENBBiya1	KBMNgun4	.01	grey90
ENBBiya1	KCSKung3	.01	grey90
ENBBiya1	KCYBuu2	.01	grey90
ENBBiya1	KDCAjumbu10	.01	grey90
ENBBiya1	KDVFang1	.01	grey90
ENBBiya1	KEMBuu1	.01	grey90
ENBBiya1	KFKMashi1	.01	grey90
ENBBiya1	KHKFang12	.01	grey90
ENBBiya1	KJSFang2	.01	grey90
ENBBiya1	KMNAjumbu2	.01	grey90
ENBBiya1	LFNMundabli1	.01	grey90
ENBBiya1	MCANgun3	.01	grey90
ENBBiya1	MEAMumfu3	.01	grey90
ENBBiya1	MNJBuu4	.01	grey90
ENBBiya1	MRYKoshin2	.01	grey90
ENBBiya1	NACAbar2	.01	grey90
ENBBiya1	NCCMumfu4	.01	grey90
ENBBiya1	NCMMashi5	.01	grey90
ENBBiya1	NDNMissong5	.01	grey90
ENBBiya1	NEAMunken1	.01	grey90
ENBBiya1	NEMAjumbu9	.01	grey90
ENBBiya1	NFKBiya7	.01	grey90
ENBBiya1	NGTMunken3	.01	grey90
ENBBiya1	NINMundabli4	.01	grey90
ENBBiya1	NJNBiya6	.01	grey90
ENBBiya1	NJSKung4	.01	grey90
ENBBiya1	NMAAbar1	.01	grey90
ENBBiya1	NMNMundabli3	.01	grey90
ENBBiya1	NMSMissong4	.01	grey90
ENBBiya1	NNBBuu3	.01	grey90
ENBBiya1	NSFBiya5	.01	grey90
ENBBiya1	NUNMunken4	.01	grey90
ENBBiya1	NVBAbar7	.01	grey90
ENBBiya1	NVIAjumbu1	.01	grey90
ENBBiya1	TELKoshin4	.01	grey90
ENBBiya1	TNTMunken2	.01	grey90
ENBBiya1	WCANgun1	.01	grey90
ENBBiya1	ZKGKung1	.01	grey90
FBCBiya8	ICNBiya2	.01	grey90
FBCBiya8	JGYKoshin3	.01	grey90
FBCBiya8	KBMNgun4	.01	grey90
FBCBiya8	KCSKung3	.01	grey90
FBCBiya8	KCYBuu2	.01	grey90
FBCBiya8	KDCAjumbu10	.01	grey90
FBCBiya8	KDVFang1	.01	grey90
FBCBiya8	KEMBuu1	.01	grey90
FBCBiya8	KFKMashi1	.01	grey90
FBCBiya8	KHKFang12	.01	grey90
FBCBiya8	KJSFang2	.01	grey90
FBCBiya8	KMNAjumbu2	.01	grey90
FBCBiya8	LFNMundabli1	.01	grey90
FBCBiya8	MCANgun3	.01	grey90
FBCBiya8	MEAMumfu3	.01	grey90
FBCBiya8	MNJBuu4	.01	grey90
FBCBiya8	MRYKoshin2	.01	grey90
FBCBiya8	NACAbar2	.01	grey90
FBCBiya8	NCCMumfu4	.01	grey90
FBCBiya8	NCMMashi5	.01	grey90
FBCBiya8	NDNMissong5	.01	grey90
FBCBiya8	NEAMunken1	.01	grey90
FBCBiya8	NEMAjumbu9	.01	grey90
FBCBiya8	NFKBiya7	.01	grey90
FBCBiya8	NGTMunken3	.01	grey90
FBCBiya8	NINMundabli4	.01	grey90
FBCBiya8	NJNBiya6	.01	grey90
FBCBiya8	NJSKung4	.01	grey90
FBCBiya8	NMAAbar1	.01	grey90
FBCBiya8	NMNMundabli3	.01	grey90
FBCBiya8	NMSMissong4	.01	grey90
FBCBiya8	NNBBuu3	.01	grey90
FBCBiya8	NSFBiya5	.01	grey90
FBCBiya8	NUNMunken4	.01	grey90
FBCBiya8	NVBAbar7	.01	grey90
FBCBiya8	NVIAjumbu1	.01	grey90
FBCBiya8	TELKoshin4	.01	grey90
FBCBiya8	TNTMunken2	.01	grey90
FBCBiya8	WCANgun1	.01	grey90
FBCBiya8	ZKGKung1	.01	grey90
ICNBiya2	JGYKoshin3	.01	grey90
ICNBiya2	KBMNgun4	.01	grey90
ICNBiya2	KCSKung3	.01	grey90
ICNBiya2	KCYBuu2	.01	grey90
ICNBiya2	KDCAjumbu10	.01	grey90
