ID	Concept	Doculect	Value	Tokens
457	chief	NNBBuu3	ŋ̀kə́ŋ / bə̀ŋkə́ŋ	ŋ ¹ k ə ⁵ ŋ
458	chief	MNJBuu4	ŋ̀kə́ŋ / bə̀ŋkə́ŋ	ŋ ¹ k ə ⁵ ŋ
459	chief	KEMBuu1	ŋ̀kə́ŋ / bə̀ŋkə́ŋ	ŋ ¹ k ə ⁵ ŋ
460	chief	KCYBuu2	ŋkə́ŋə̀ / bə̀ŋkə́ŋ	ŋ k ə ⁵ ŋ ə ¹
461	chief	KHKFang12	ŋkʊ́ŋ / bə̀ŋkʊ́ŋ	ŋ k ʊ ⁵ ŋ
462	chief	DPNFang13	ŋkʊ́ŋ / bə̀ŋkʊ́ŋ	ŋ k ʊ ⁵ ŋ
463	chief	KDVFang1	ŋkʊ́ŋ / bə̀ŋkʊ́ŋ	ŋ k ʊ ⁵ ŋ
464	chief	KJSFang2	ŋkʊ́ŋ / bə̀ŋkʊ́ŋ	ŋ k ʊ ⁵ ŋ
465	chief	JGYKoshin3	fèɲ / tə́fêɲ	f e ¹ ɲ
466	chief	TELKoshin4	fə̀ɲ / tə̀fə̂ɲ	f ə ¹ ɲ
467	chief	MRYKoshin2	fɛ̀ɲ /  tófə̂n	f ɛ ¹ ɲ
468	chief	KCSKung3	fɔ̀ʲ / sə̀fɔ̂ʲ	f ɔ ¹ j
469	chief	NJSKung4	fɔ̀ɪ̀ / fɔ̂ɪ̀sə̀ ~ sə̀fɔ́ɪ̀	f ɔ ¹ ɪ ¹
470	chief	ZKGKung1	fɔ̀ɪ̀ / sə̀fɔ́ɪ̀	f ɔ ¹ ɪ ¹
471	chief	BNMKung2	fɔ̀ɪ̀ / sə́fɔ̀ɪ̀	f ɔ ¹ ɪ ¹
472	chief	NMNMundabli3	ŋkʊ̌ŋ / bòŋkʊ̌ŋ	ŋ k ʊ ¹⁵ ŋ
473	chief	CENMundabli2	ŋ̀kʊ̌ːŋ / bòŋkʊ̌ŋ	ŋ ¹ k ʊː ¹⁵ ŋ
474	chief	LFNMundabli1	ŋ̀kʊ̌ŋ / ŋkʊ̄ŋbó	ŋ ¹ k ʊ ¹⁵ ŋ
475	chief	NINMundabli4	ŋkʊ̌ŋ / ŋkʊ̄ŋbɛ̄n ~bòŋkʊ̄ŋ	ŋ k ʊ ¹⁵ ŋ
476	chief	NGTMunken3	ŋkʊ́ŋ / ŋ̀kʊ́ŋsə́	ŋ k ʊ ⁵ ŋ
477	chief	NUNMunken4	ŋ̀kʊ́ŋ / bə̀ŋkʊ́ŋ	ŋ ¹ k ʊ ⁵ ŋ
478	chief	NEAMunken1	ŋkʊ́ŋ / bə̀ŋkʊ́ŋ	ŋ k ʊ ⁵ ŋ
479	chief	TNTMunken2	ŋkʊ̂ŋ ~ ŋkʊ́ŋ / bə̀ŋkʊ́ŋ ~bɪ̀ŋkʊ́ŋ	ŋ k ʊ ¹⁵ ŋ
480	chief	MCANgun3	ŋkʊ́ŋ / bɛ̀ŋkʊ́ŋ	ŋ k ʊ ⁵ ŋ
481	chief	KBMNgun4	ŋkʊ́ŋ / bɛ̀ŋkʊ́ŋ	ŋ k ʊ ⁵ ŋ
482	chief	WCANgun1	ŋkʊ́ŋ / bə̀ŋkʊ́ŋ	ŋ k ʊ ⁵ ŋ
483	chief	AOMNgun2	ŋ̀kʊ́ŋ / bɛ̀ŋkʊ́ŋ	ŋ ¹ k ʊ ⁵ ŋ
484	chief	APBMumfu1	ŋkʊ̌ŋ / ŋkʊ̌ŋbə́ ~ŋkʊ́ŋ / ŋkʊ̄ŋ	ŋ k ʊ ¹⁵ ŋ
485	chief	DNMMumfu2	ŋ̀kʊ̌ŋ / bə̀ŋkʊ̄ŋbə́	ŋ ¹ k ʊ ¹⁵ ŋ
486	chief	BKBMashi2	kʊ̌ːŋ / bʊ̀ŋkʊ̌ːŋ	k ʊː ¹⁵ ŋ
487	chief	KFKMashi1	kʊ̌ːŋ / bʊ̀ŋkʊ̌ːŋ	k ʊː ¹⁵ ŋ
488	chief	ABSMissong1	ŋ̀kʊ́ŋ / bàŋkʊ́ŋ	ŋ ¹ k ʊ ⁵ ŋ
489	chief	AGAMissong2	ŋ̀kʊ́ŋ / bàŋkʊ́ŋbʊ̄	ŋ ¹ k ʊ ⁵ ŋ
630	deity, god, God	NVBAbar7	kə̀jì / ìjìbì	k ə ¹ j i ¹
631	deity, god, God	ECLAbar8	kə̀jì / bìjì	k ə ¹ j i ¹
632	deity, god, God	NMAAbar1	kéyìː / bìyìː	k e ⁵ j iː ¹
633	deity, god, God	NACAbar2	kə̀yìː / bìyìː	k ə ¹ j iː ¹
634	deity, god, God	NEMAjumbu9	kə̀zə̀ / bə̀zə̀	k ə ¹ z ə ¹
635	deity, god, God	NVIAjumbu1	kə̀zə̀ / bə̀zə̀	k ə ¹ z ə ¹
636	deity, god, God	KMNAjumbu2	kə̀zə̀ / bə̀zə̀	k ə ¹ z ə ¹
637	deity, god, God	KDCAjumbu10	kə̀zə̀ / bə̀zə̀	k ə ¹ z ə ¹
638	deity, god, God	NNBBuu3	kə̀yìː / bə̀yìː	k ə ¹ j iː ¹
639	deity, god, God	MNJBuu4	fə̀yìː / bə̀yìː	f ə ¹ j iː ¹
640	deity, god, God	KEMBuu1	kə̀yìː / bə̀yìː	k ə ¹ j iː ¹
641	deity, god, God	KCYBuu2	kə̀yìː / bə̀yìː	k ə ¹ j iː ¹
642	deity, god, God	KHKFang12	fə̀ʒʲə̀ / mə̀nʒʲə̀	f ə ¹ ʒ j ə ¹
643	deity, god, God	DPNFang13	fə̀ʒʲə̀ː / fə̀ʒʲə̀ː~mə̀ʒʲə̀ː	f ə ¹ ʒ j əː ¹
644	deity, god, God	KDVFang1	fə̀ʒìː / mə̀nʒìː	f ə ¹ ʒ iː ¹
645	deity, god, God	JGYKoshin3	kə̀ʒìː / bə̀ʒìː	k ə ¹ ʒ iː ¹
646	deity, god, God	TELKoshin4	kə̀ʒì / bə̀ʒì	k ə ¹ ʒ i ¹
647	deity, god, God	MRYKoshin2	kə̀dʒìː /  bə̀ntàɲ	k ə ¹ dʒ iː ¹
648	deity, god, God	KCSKung3	fə̀ʒʲə̀ / m̀ʒʲə̀	f ə ¹ ʒ j ə ¹
649	deity, god, God	NJSKung4	fə́ʒʲə̀ / ḿʒʲə̀	f ə ⁵ ʒ j ə ¹
650	deity, god, God	ZKGKung1	fə́ʒyɛ̂ː / ḿʒyɛ̀ː	f ə ⁵ ʒ j ɛː ⁵¹
651	deity, god, God	BNMKung2	fə́ʒyɛ̀ː / ḿʒyɛ̀ː	f ə ⁵ ʒ j ɛː ¹
652	deity, god, God	NMNMundabli3	gbàm / gbàm	gb a ³ m
653	deity, god, God	CENMundabli2	gbɑ̀m / gbɑ̀m	gb ɑ ³ m
654	deity, god, God	LFNMundabli1	gbə̀mkó ~ gbœ̀m ~gbə̀m / gbə̀mbó ~gbə̀m	gb ə ³ m k o ⁵
655	deity, god, God	NINMundabli4	gbə̀ːm  / gbə̀mbó	gb əː ¹ m
656	deity, god, God	NGTMunken3	àyì / bìyì	a ¹ j i ¹
657	deity, god, God	NUNMunken4	àyì / bìyì	a ¹ j i ¹
658	deity, god, God	NEAMunken1	àyì / bìyì	a ¹ j i ¹
659	deity, god, God	TNTMunken2	àyì / bìyì	a ¹ j i ¹
660	deity, god, God	MCANgun3	kə̀jì / bìjì	k ə ¹ j i ¹
661	deity, god, God	KBMNgun4	kə̀jìː / bìjì	k ə ¹ j iː ¹
662	deity, god, God	WCANgun1	kə̀yìː / bìyìː	k ə ¹ j iː ¹
663	deity, god, God	AOMNgun2	kə̀yìː / bìyìː	k ə ¹ j iː ¹
664	deity, god, God	APBMumfu1	gbə̀m / ø	gb ə ³ m
665	deity, god, God	DNMMumfu2	gbə̀m / ø	gb ə ³ m
666	deity, god, God	BKBMashi2	gbə̀m / bʊ̀gbə̀m~gbə᷇m	gb ə ³ m
667	deity, god, God	KFKMashi1	gbə̀m / gbə̂m	gb ə ³ m
668	deity, god, God	ABSMissong1	kìgbə̀m / bìgbə̀m	k i ¹ gb ə ³ m
669	deity, god, God	AGAMissong2	kìgbə̀m / bìgbə̌mbí	k i ¹ gb ə ³ m
670	devil	NVBAbar7	bántán~ʊ́tán/àbántánbʷɪ̂~bántán	b a ⁵ n t a ⁵ n
671	devil	ECLAbar8	bántán / bʷɪ̀bántán	b a ⁵ n t a ⁵ n
672	devil	NMAAbar1	báːntán / gbwɪ̀báːntán	b aː ⁵ n t a ⁵ n
673	devil	NACAbar2	báːntân / bə̀báːntân	b aː ⁵ n t a ⁵¹ n
674	devil	NEMAjumbu9	nǎːtàɲ / ànǎːtàɲ	n aː ¹⁵ t a ¹ ɲ
675	devil	NVIAjumbu1	nǎːtàɲ / ànǎːtàɲ	n aː ¹⁵ t a ¹ ɲ
