ID	Concept	Doculect	Value	Tokens
461	chief	NMAAbar1	ŋkʊ́ŋ / bwɪ̀ŋkʊ́ŋ	ŋ k ʊ.⁵/ʊ ŋ
462	chief	NACAbar2	ŋkʊ́ŋ / bə̀ŋkʊ́ŋ	ŋ k ʊ.⁵/ʊ ŋ
463	chief	NEMAjumbu9	ŋ̀kʊ́~ŋ̀kʷʊ́ò/àŋkʷʊ́bə̄~àŋkʊ́~àŋkú	ŋ.¹/ŋ k ʊ.⁵/ʊ
464	chief	NVIAjumbu1	ŋkʊ́ / bə̀ŋkʊ́~ŋkʊ́ / àŋkʊ́	ŋ k ʊ.⁵/ʊ
465	chief	KMNAjumbu2	ŋkʷú / kə̀ŋkúlə́~bə̀ŋkúlə́~àŋkʷú	ŋ kʷ u.¹/u
466	chief	KDCAjumbu10	ŋ̀kʊ́~ŋ̀kú /àŋkʊ́~àŋkú	ŋ.¹/ŋ k ʊ.⁵/ʊ
467	chief	ENBBiya1	ŋkʊ́ŋ / bə̀ŋkʊ́ŋ	ŋ k ʊ.⁵/ʊ ŋ
468	chief	ICNBiya2	ŋkʊ́ŋ / bə̀ŋkʊ́ŋ	ŋ k ʊ.⁵/ʊ ŋ
469	chief	NNBBuu3	ŋ̀kə́ŋ / bə̀ŋkə́ŋ	ŋ.¹/ŋ k ə.⁵/ə ŋ
470	chief	MNJBuu4	ŋ̀kə́ŋ / bə̀ŋkə́ŋ	ŋ.¹/ŋ k ə.⁵/ə ŋ
471	chief	KEMBuu1	ŋ̀kə́ŋ / bə̀ŋkə́ŋ	ŋ.¹/ŋ k ə.⁵/ə ŋ
472	chief	KCYBuu2	ŋkə́ŋə̀ / bə̀ŋkə́ŋ	ŋ k ə.⁵/ə ŋ ə.¹/ə
473	chief	KHKFang12	ŋkʊ́ŋ / bə̀ŋkʊ́ŋ	ŋ k ʊ.⁵/ʊ ŋ
474	chief	DPNFang13	ŋkʊ́ŋ / bə̀ŋkʊ́ŋ	ŋ k ʊ.⁵/ʊ ŋ
475	chief	KDVFang1	ŋkʊ́ŋ / bə̀ŋkʊ́ŋ	ŋ k ʊ.⁵/ʊ ŋ
476	chief	KJSFang2	ŋkʊ́ŋ / bə̀ŋkʊ́ŋ	ŋ k ʊ.⁵/ʊ ŋ
477	chief	JGYKoshin3	fèɲ / tə́fêɲ	f e.¹/e ɲ
478	chief	TELKoshin4	fə̀ɲ / tə̀fə̂ɲ	f ə.¹/ə ɲ
479	chief	MRYKoshin2	fɛ̀ɲ /  tófə̂n	f ɛ.¹/ɛ ɲ
480	chief	KCSKung3	fɔ̀ʲ / sə̀fɔ̂ʲ	f ɔ.¹/ɔ j
481	chief	NJSKung4	fɔ̀ɪ̀ / fɔ̂ɪ̀sə̀ ~ sə̀fɔ́ɪ̀	f ɔ.¹/ɔ ɪ.¹/ɪ
482	chief	ZKGKung1	fɔ̀ɪ̀ / sə̀fɔ́ɪ̀	f ɔ.¹/ɔ ɪ.¹/ɪ
483	chief	BNMKung2	fɔ̀ɪ̀ / sə́fɔ̀ɪ̀	f ɔ.¹/ɔ ɪ.¹/ɪ
484	chief	NMNMundabli3	ŋkʊ̌ŋ / bòŋkʊ̌ŋ	ŋ k ʊ.¹⁵/ʊ ŋ
485	chief	CENMundabli2	ŋ̀kʊ̌ːŋ / bòŋkʊ̌ŋ	ŋ.¹/ŋ k ʊː.¹⁵/ʊː ŋ
486	chief	LFNMundabli1	ŋ̀kʊ̌ŋ / ŋkʊ̄ŋbó	ŋ.¹/ŋ k ʊ.¹⁵/ʊ ŋ
487	chief	NINMundabli4	ŋkʊ̌ŋ / ŋkʊ̄ŋbɛ̄n ~bòŋkʊ̄ŋ	ŋ k ʊ.¹⁵/ʊ ŋ
488	chief	NGTMunken3	ŋkʊ́ŋ / ŋ̀kʊ́ŋsə́	ŋ k ʊ.⁵/ʊ ŋ
489	chief	NUNMunken4	ŋ̀kʊ́ŋ / bə̀ŋkʊ́ŋ	ŋ.¹/ŋ k ʊ.⁵/ʊ ŋ
