ID	CONCEPT	DOCULECT	VALUE	TOKENS	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	SCAID	ALIGNMENT
8846	cow, cattle	MNJBuu4	mbòlə́ / bə̀mbòlə́	m b o.¹/o l ə.⁵/ə	4 1 7 5 7	ACYBZ	MPULE	29	29.M.C 29.P.C 29.U.V 29.L.C 29.E.V	2.0 1.5 1.3 1.75 0.8	mbo.¹/olə.⁵/ə	0	898	m - b o.¹/o l ə.⁵/ə -
8847	cow, cattle	KEMBuu1	mbòːlə́ / bə̀mbòːlə́	m b oː.¹/oː l ə.⁵/ə	4 1 7 5 7	ACYBZ	MPULE	21	21.M.C 21.P.C 21.U.V 21.L.C 21.E.V	2.0 1.5 1.3 1.75 0.8	mboː.¹/oːlə.⁵/ə	0	898	m - b oː.¹/oː l ə.⁵/ə -
8848	cow, cattle	KCYBuu2	mbòːlə́ / bə̀mbòːlə́	m b oː.¹/oː l ə.⁵/ə	4 1 7 5 7	ACYBZ	MPULE	18	18.M.C 18.P.C 18.U.V 18.L.C 18.E.V	2.0 1.5 1.3 1.75 0.8	mboː.¹/oːlə.⁵/ə	0	898	m - b oː.¹/oː l ə.⁵/ə -
8849	cow, cattle	KHKFang12	ⁿbɔ̀lɔ́ / bə̀ⁿbɔ̀lɔ́	ⁿb ɔ.¹/ɔ l ɔ.⁵/ɔ	1 7 5 7	AXBZ	PULU	23	23.P.C 23.U.V 23.L.C 23.U.V	2.0 1.5 1.75 0.8	ⁿbɔ.¹/ɔlɔ.⁵/ɔ	0	898	- - ⁿb ɔ.¹/ɔ l ɔ.⁵/ɔ -
8850	cow, cattle	DPNFang13	ⁿbɔ̀lə́ / bə̀ⁿbɔ̀lə́	ⁿb ɔ.¹/ɔ l ə.⁵/ə	1 7 5 7	AXBZ	PULE	10	10.P.C 10.U.V 10.L.C 10.E.V	2.0 1.5 1.75 0.8	ⁿbɔ.¹/ɔlə.⁵/ə	0	898	- - ⁿb ɔ.¹/ɔ l ə.⁵/ə -
8851	cow, cattle	KDVFang1	mbɔ̀lə́ / bə̀mbɔ̀lə́	m b ɔ.¹/ɔ l ə.⁵/ə	4 1 7 5 7	ACYBZ	MPULE	20	20.M.C 20.P.C 20.U.V 20.L.C 20.E.V	2.0 1.5 1.3 1.75 0.8	mbɔ.¹/ɔlə.⁵/ə	0	898	m - b ɔ.¹/ɔ l ə.⁵/ə -
8852	cow, cattle	KJSFang2	mbɔ̀lɔ́ / bə̀mbɔ̀lɔ́	m b ɔ.¹/ɔ l ɔ.⁵/ɔ	4 1 7 5 7	ACYBZ	MPULU	24	24.M.C 24.P.C 24.U.V 24.L.C 24.U.V	2.0 1.5 1.3 1.75 0.8	mbɔ.¹/ɔlɔ.⁵/ɔ	0	898	m - b ɔ.¹/ɔ l ɔ.⁵/ɔ -
8853	cow, cattle	JGYKoshin3	ⁿbɔ̀ŋ / bə̀ⁿbɔ̀ŋ	ⁿb ɔ.¹/ɔ ŋ	1 7 4	AXN	PUN	15	15.P.C 15.U.V 15.N.c	2.0 1.5 0.8	ⁿbɔ.¹/ɔŋ	0	898	- - ⁿb ɔ.¹/ɔ ŋ - -
8854	cow, cattle	TELKoshin4	ⁿbɔ̀ŋ / bə̀ⁿbɔ̀ŋ	ⁿb ɔ.¹/ɔ ŋ	1 7 4	AXN	PUN	50	50.P.C 50.U.V 50.N.c	2.0 1.5 0.8	ⁿbɔ.¹/ɔŋ	0	898	- - ⁿb ɔ.¹/ɔ ŋ - -
8855	cow, cattle	MRYKoshin2	mbɔ̀ŋ /  bòmbɔ̀ŋ	m b ɔ.¹/ɔ ŋ	4 1 7 4	ACYN	MPUN	30	30.M.C 30.P.C 30.U.V 30.N.c	2.0 1.5 1.3 0.8	mbɔ.¹/ɔŋ	0	898	m - b ɔ.¹/ɔ ŋ - -
