Grapheme	IPA	FREQUENCY	CODEPOINTS	NOTES
õ̀	õ ¹
ø̀	ø ¹
ò	o ¹	61	U+00f2
õ̌	õ ¹ ⁵
ø̌	ø ¹ ⁵
ǒ	o ¹ ⁵	4	U+01d2
o	o ³
ȭ	õ ³
ø	ø ³
ø̄	ø ³
ō	o ³	3	U+014d
ő	o ⁵
ṍ	õ ⁵
ǿ	ø ⁵
ó	o ⁵	50	U+00f3
o᷇	o ⁵ 
õ̂	õ ⁵ ¹
ø̂	ø ⁵ ¹	10	U+00f8 U+0302
ô	o ⁵ ¹	56	U+00f4
ø᷇	ø ⁵ ³
ø̀ː	øː ¹
òː	oː ¹	3	U+00f2 U+02d0
õ̌ː	õː ¹ ⁵
ǒː	oː ¹ ⁵	26	U+01d2 U+02d0
oː	oː ³
ȭː	õː ³
ōː	oː ³
ṍː	õː ⁵
ǿː	øː ⁵
ø̂ː	øː ⁵
óː	oː ⁵	16	U+00f3 U+02d0
ôː	oː ⁵ ¹
õ᷇ː	õː ⁵ ³
ø᷇ː	øː ⁵ ³
ø᷇᷇ː	øː ⁵ ³
o᷇ː	oː ⁵ ³	5	U+006f U+1dc7 U+02d0
œ̀	œ ¹
œ̏	œ ¹
œ̌	œ ¹ ⁵
œ	œ ³
œ̄	œ ³
œ́	œ ⁵
œ̂	œ ⁵ ¹
œ᷇	œ ⁵ ³
œ̀ː	œː ¹
œ̌ː	œː ¹ ⁵
œ̄ː	œː ³
œ́ː	œː ⁵
œ̂ː	œː ⁵ ¹
œ᷇ː	œː ⁵ ³
óő	oː ⁴ ⁵
ɔ̃̀	ɔ̃ ¹
ɔ̀	ɔ ¹	34	U+0254 U+0300
ɔ̌	ɔ ¹ ⁵
ɔ̃̌	ɔ̃ ¹ ⁵
ɔ	ɔ ³
ɔ̃̄	ɔ̃ ³
ɔ̄	ɔ ³
ɔ́	ɔ ⁵
ɔ̋	ɔ ⁵
ɔ̃́	ɔ̃ ⁵
ɔ̂	ɔ ⁵ ¹
ɔ̃̂	ɔ̃ ⁵ ¹
ɔ᷇	ɔ ⁵ ³
ɔ̀ː	ɔː ¹
ɔ̌ː	ɔː ¹ ⁵
ɔ̃̌ː	ɔ̃ː ¹ ⁵
ɔː	ɔː ³
ɔ̄ː	ɔː ³
ɔ́ː	ɔː ⁵
ɔ̃́ː	ɔ̃ː ⁵
ɔ̂ː	ɔː ⁵ ¹
ɔ̃̂ː	ɔ̃ː ⁵ ¹
ɔ᷇ː	ɔː ⁵ ³
p	p	83	U+0070
r	r
ʳ	r
s	s	19	U+0073
sʷ	sʷ
ʃ	ʃ	7	U+0283
ʃʲ	ʃʲ	14	U+0283 U+02b2
ʃʷ	ʃʷ
t	t	211	U+0074
tʰ	tʰ
tʲ	tʲ	17	U+0074 U+02b2
tˢ	tˢ
ts	ts	67	U+0074 U+0073
tsː	tsː
tsʷ	tsʷ
tʃ	tʃ	8	U+0074 U+0283
tʃʷ	tʃʷ
tᵗ	t
tʷ	tʷ
ù	u ¹
ũ̀	ũ ¹
ú	u ¹	14	U+00fa
u	u ³
ũ̄	ũ ³
ū	u ³
u᷄	u ³ ⁵
ǔ	u ⁵
ṹ	ũ ⁵
û	u ⁵ ¹
u᷇	u ⁵ ³
ǜ	uʱ ¹
ǚ	uʱ ¹ ⁵
ü	uʱ ³
ǖ	uʱ ³
ü᷇	uʱ ³
ǘ	uʱ ⁵
ü̃́	ũʱ ⁵
ü̂	uʱ ⁵ ¹
ùː	uː ¹
ǔː	uː ¹ ⁵
uː	uː ³
ũ̄ː	ũː ³
ūː	uː ³	3	U+016b U+02d0
u᷄ː	uː ³ ⁵
ṹː	ũː ⁵
úː	uː ⁵	4	U+00fa U+02d0
ûː	uː ⁵ ¹
u᷇ː	uː ⁵ ³
ǘː	uːʱ ⁵
u᷇ːʷ	uːʷ ⁵ ³
ùᶠ	u ¹ f
ũ̀ᶠ	ũ ¹ f
úʷ	u ⁵ w
ʉ̀	ʉ ¹
ʉ̌	ʉ ¹ ⁵
ʉ	ʉ ³
ʉ̄	ʉ ³
ʉ́	ʉ ⁵
ʉ̂	ʉ ⁵ 
ʉ̈	ʉʱ
ʉ᷇ː	ʉː ⁵ ³
ɥ	ɥ	77	U+0265
ɯ́	ɯ ⁵
ʊ̀̃	ʊ̃ ¹
ʊ̀	ʊ ¹	18	U+028a U+0300
ʊ̂	ʊ ¹ ⁵
ʊ̌	ʊ ¹ ⁵
ʊ̈̌	ʊ̤ ¹ ⁵
ʊ	ʊ ³
ʊ̄	ʊ ³
ʊ̄̃	ʊ̃ ³
ʊ̃́	ʊ̃ ⁵
ʊ̃̀	ʊ̃ ⁵
ʊ́	ʊ ⁵	127	U+028a U+0301
ʊ᷇	ʊ ⁵ ³
ʊ̈̄	ʊʱ	³
ʊ̈̀	ʊʱ ¹
ʊ̈	ʊʱ ³
ʊ͏͏͏̈	ʊʱ ³
ʊ̈́	ʊʱ ⁵
ʊ̈̂	ʊʱ ⁵ ¹
ʊ̏ː	ʊː ¹
ʊ̀ː	ʊː ¹	4	U+028a U+0300 U+02d0
ʊ᷇ː	ʊː ¹ 
ʊ̌ː	ʊː ¹ ⁵
ʊ̃̌ː	ʊ̃ː ¹ ⁵
ʊ̃̄ː	ʊ̃ː ³
ʊ̄ː	ʊː ³
ʊ́ː	ʊː ⁵	20	U+028a U+0301 U+02d0
ʊ̂ː	ʊː ⁵ ¹	8	U+028a U+0302
ʊ̈᷇ː	ʊʱː ⁵ ³
v	v
vʷ	vʷ
w	w	20	U+0077
wʷ	w
x	x
y	j
z	z	50	U+007a
zː	zː
ʒ	ʒ
ʒʷ	ʒʷ
ʔ	ʔ	11	U+0294
ʼ	ʔ
β	β
βʷ	βʷ
