NUMBER	ENGLISH	POS
485	farm house (corn storage)	N/A
486	fart (v)	N/A
487	father	N/A
488	father-in-law	N/A
489	fax-stick	N/A
490	faxed pillar	N/A
491	fear (n)	N/A
492	fear (v)	N/A
493	feather	N/A
494	feed	N/A
495	feed (v)	N/A
496	fellow man (friendly expression)	N/A
497	female	N/A
498	female lizard (brown)	N/A
499	female youth dance	N/A
500	fence	N/A
501	fence (open, farm)	N/A
502	fence (open; farm)	N/A
503	fence (sealed, - palace)	N/A
504	fence (sealed; - palace)	N/A
505	fence; restrict	N/A
506	few	N/A
507	fibre - palm (rope)	N/A
508	fifteen (15)	N/A
509	fifty (50)	N/A
510	fight (n)	N/A
511	fight (v)	N/A
512	fill cup (a drink)	N/A
513	fill cup (oil, liquid)	N/A
514	find, search	N/A
515	finger	N/A
516	finger abscess (wicklow)	N/A
517	fingernail	N/A
518	finish; finish by itself	N/A
519	fire	N/A
520	fire side stone support	N/A
521	fire, gun	N/A
522	fireside	N/A
523	fireside stone	N/A
524	fireside stone (pot support stones)	N/A
525	fireside stone support	N/A
526	firewood	N/A
527	fish	N/A
528	fish (nose rashes)	N/A
529	fist	N/A
530	five (5)	N/A
531	five hundred (500)	N/A
532	flaming (fire)	N/A
533	flat-long-stones	N/A
534	flat-long-stones (redulates the size of fireside)	N/A
535	flow (river)	N/A
536	flutabo (k.o hare)	N/A
537	flute	N/A
538	flute (horizontal)	N/A
539	flute (vertical)	N/A
540	flute dance	N/A
541	fly (bird)	N/A
542	fly (larger than normal fly)	N/A
543	foam	N/A
544	fold (arm, headpat, arm) (v)	N/A
545	fold (fasten) fingers (v)	N/A
546	fold clothes	N/A
547	food	N/A
548	foot	N/A
549	forehead	N/A
550	forest	N/A
551	forget	N/A
552	four (4)	N/A
553	four hundred (400)	N/A
554	fourteen (14)	N/A
555	fourty (40)	N/A
556	fowl	N/A
557	friend	N/A
558	friend (female)	N/A
559	friend (male)	N/A
560	frighten	N/A
561	frog (edible)	N/A
562	frog (smooth back)	N/A
563	frog (variegated)	N/A
564	front-door	N/A
565	fruit	N/A
566	fruit fly	N/A
567	frustrate, confuse	N/A
568	fry	N/A
569	fufu dish	N/A
570	fungi pimple	N/A
571	funnel	N/A
572	gall bladder	N/A
573	garbage pit	N/A
574	garden egg	N/A
575	garri	N/A
576	gather	N/A
577	gauze	N/A
578	gauze (drying meat)	N/A
579	gecko	N/A
580	get (have/own)	N/A
581	get accident	N/A
582	get well (sick)	N/A
583	give; offer	N/A
584	gizzard (fowl)	N/A
585	glue	N/A
586	go	N/A
587	go (farm)	N/A
588	go (somewhere)	N/A
589	go out (exit, leak)	N/A
590	goat	N/A
591	goitre	N/A
592	gong	N/A
593	gossip (n)	N/A
594	grass	N/A
595	grass-house	N/A
596	grasshopper	N/A
597	grasshopper (fattest)	N/A
598	grasshopper (mongwin)	N/A
599	grave	N/A
600	grave yard	N/A
601	graveyard	N/A
602	green snake	N/A
603	greet	N/A
604	grind (machine)	N/A
605	grind (on stone)	N/A
606	grinding stone	N/A
607	groan (sick)	N/A
608	ground (soil)	N/A
609	groundnut	N/A
610	groundnut basket	N/A
611	groundnut pudding	N/A
612	group (cow)	N/A
613	grow	N/A
614	guard	N/A
615	guess	N/A
616	guide (v)	N/A
617	guitar	N/A
618	gun	N/A
619	hail	N/A
620	hailstone	N/A
621	hair	N/A
622	half	N/A
623	hand	N/A
624	hand (plantain) 1	N/A
625	hand (plantain) 2	N/A
626	hand rattle (cane)	N/A
627	hand-piano	N/A
628	handle	N/A
629	handle(knife), arm	N/A
630	handle(knife); arm	N/A
631	hang (hanger)	N/A
632	hang off (bag)	N/A
633	hang up (bag)	N/A
634	hanged ceiling	N/A
635	happen	N/A
636	harvest (corn)	N/A
637	harvest (corn, pear)	N/A
638	harvest (palm cone)	N/A
639	hatch	N/A
640	hate	N/A
641	hatred (n)	N/A
642	have joy	N/A
643	haverst (corn)	N/A
644	havest huckleberry	N/A
645	hawk	N/A
646	he-goat	N/A
647	he/she	N/A
648	head	N/A
649	headache	N/A
650	headpad	N/A
651	heal (well)	N/A
652	heap up(wood)	N/A
653	hear	N/A
654	heart	N/A
655	heat (fufu)	N/A
656	heaven	N/A
657	heel (backfoot)	N/A
658	help	N/A
659	hide	N/A
660	hienia (swellings around groin)	N/A
661	hill	N/A
662	hill grass	N/A
663	hit	N/A
664	hit lighly	N/A
665	hit, box	N/A
666	hocking (fishing)	N/A
667	hoe	N/A
668	hold, grip	N/A
669	hole	N/A
670	honey bee	N/A
671	honey juice	N/A
672	horn (head)	N/A
673	horn trumpet	N/A
674	horn trumpet (cow)	N/A
675	horn, blow, whisled	N/A
676	horse	N/A
677	hot	N/A
678	hot, heat (air)	N/A
679	hot, heat (solid)	N/A
680	hour	N/A
681	house	N/A
682	house fly	N/A
683	huckleberry (njamanjama)	N/A
684	humble	N/A
685	humble (manner)	N/A
686	hunger	N/A
687	hunger (n)	N/A
688	hunt (group)	N/A
689	hunt (n)	N/A
690	hunt (v)	N/A
691	hunter	N/A
692	hurry	N/A
693	husband	N/A
694	hut	N/A
695	hut (k. o (a))	N/A
696	hut (k. o (b))	N/A
697	ignite (match)	N/A
698	imitate	N/A
699	impregnate	N/A
700	imprison	N/A
701	incantate (grave)	N/A
702	incubate (on egg)	N/A
703	indian bamboo	N/A
704	indian-bamboo	N/A
705	inherit	N/A
706	inherit (a widow)	N/A
707	initiate	N/A
708	initiate (dance)	N/A
709	injunction order	N/A
710	injure (by yourself)	N/A
711	injure (someone else)	N/A
712	inner palm nuts (cone)	N/A
713	intestine	N/A
714	invite, call	N/A
715	iron	N/A
716	iron trap	N/A
717	itch	N/A
718	itching catarrh	N/A
719	jaw	N/A
720	jealous	N/A
721	jealous man	N/A
722	jealousy	N/A
723	jerk (repeatedly)	N/A
724	jerk, lift	N/A
725	jigger	N/A
726	join (people)	N/A
727	join (v)	N/A
728	join, add	N/A
729	joint	N/A
730	joke (play)	N/A
731	judge (v)	N/A
732	juju	N/A
733	juju house	N/A
734	jump	N/A
735	k. o ant (yellow)	N/A
736	k. o cricket	N/A
737	k. o snake	N/A
738	k.o ant	N/A
739	k.o bag (hanged)	N/A
740	k.o bat	N/A
741	k.o bee	N/A
742	k.o calabash	N/A
743	k.o calabash (ball like)	N/A
744	k.o cap	N/A
745	k.o caterpillar	N/A
746	k.o cocoyam	N/A
747	k.o cocoyam (a)	N/A
748	k.o cocoyam (b)	N/A
749	k.o cocoyam (c)	N/A
750	k.o dragonfly	N/A
751	k.o female dance, female rite society	N/A
752	k.o fish	N/A
753	k.o fish (white)	N/A
754	k.o fly (slow, painful bite)	N/A
755	k.o fly (slow; painful bite)	N/A
756	k.o fly (smart, bite, sucks)	N/A
757	k.o fly (smart; bite; sucks)	N/A
758	k.o fly (sucks, compound)	N/A
759	k.o fly (sucks; compound)	N/A
760	k.o fruit	N/A
761	k.o mushroom (brown and soft on tree; edible)	N/A
762	k.o mushroom (brown)	N/A
763	k.o mushroom (small)	N/A
764	k.o mushroom (smallish brown; edible)	N/A
765	k.o mushroom (thick yellow stem; edible)	N/A
766	k.o mushroom (white, flat like fufu)	N/A
767	k.o mushroom (whitish on palm tree;edible)	N/A
768	k.o mushroom (whitish)	N/A
769	k.o mushroom (yellowish)	N/A
770	k.o rat	N/A
771	k.o rope	N/A
772	k.o rope (bangle)	N/A
773	k.o snake (mboma)	N/A
774	k.o song	N/A
775	k.o spear (fins)	N/A
776	k.o spear (large head)	N/A
