Concept	Density
1427_twentyfour24	0.45
1380_thirty30	0.45
555_fourty40	0.45
509_fifty50	0.45
1213_sixty60	0.45
1178_seventy70	0.45
451_eighty80	0.45
937_ninety90	0.45
950_onehundred100	0.45
1445_twohundred200	0.45
952_onethousand1000	0.45
1447_twothousand2000	0.45
1116_ridgebedfarm	0.27
202_burntrans	0.45
1478_walk	0.45
1495_wear	0.45
137_beat	0.45
201_burnintrans1	0.43
203_burnunknown	0.11
954_openpot	0.02
20_i	0.45
1548_yousg	0.45
647_heshe	0.45
1494_weinc	0.45
1547_youpl	0.45
1374_they	0.45
376_dancev	0.09
1125_roast	0.09
