Concept	Density
1435_twentythounsand20000	0.02
1436_twentythree23	0.45
1437_twentytwo22	0.45
1438_twin	0.5
1439_twincalabash	0.05
1440_twine	0.07
1441_twineweavedrope	0.05
1442_twineweavedropelap	0.05
1444_twineweavedhand	0.52
1446_two2	0.45
1448_twohundred200	0.8
1449_twomillion2000000	0.05
1450_twothousand2000	0.52
1451_tyrecar	0.45
1453_umbilicalcord	0.43
1454_umbrella	0.98
1455_umbrellanonnative	0.02
1456_umbrellanonnative	0.05
1457_uncle	0.3
1459_uppergrindingstone	0.02
1460_upperwallshelf	0.09
1461_uppergrindingstonepepper	0.05
1462_upperpepperstone	0.05
1463_upperwallshelfinsidethehouse	0.09
1466_urine	0.09
1467_vagina	0.52
1468_valley	0.45
1470_vein	0.52
1472_village	0.48
1473_viper	0.32
1474_vomit	0.41
1475_vomitmatter	0.5
1476_waist	0.5
1477_waistbeads	0.16
1478_waistbead	0.05
1481_walk	0.5
1482_walkingstaff	0.02
1483_wallhouse	0.2
1484_wallshelf	0.52
1487_war	0.59
1488_warm	0.34
1489_waspbrown	0.02
1490_waspbush	0.3
1491_wasphouseblack	0.41
1492_watch	0.07
1493_water	0.7
1494_waterduck	0.2
1495_waxincense	0.7
1496_waxnativeincense	0.07
1497_weinc	0.45
1498_wear	0.5
1500_weaverbird	0.5
1502_week	1.0
1505_white	0.02
1506_whiteman	0.5
1507_whiteneckhawk	0.43
1508_wickedheartn	0.36
1509_wickedman	0.45
1510_wickedness	0.48
1511_wicklow	0.45
1512_wife	0.5
1513_wind	0.3
1514_winepalmraffia	0.3
1515_wineredant	0.43
1516_winglesstermite	0.52
1517_witch	0.5
1518_witchman	0.5
1519_woman	0.5
1520_womenclothleaves	0.02
1523_woodpecker	0.02
1524_woodendish	0.18
1525_woodendishleg	0.32
1526_woodenspoon	0.39
27_woodendishleglid	0.05
1527_woodendishyellowsoupfeastbitterleaf	0.05
28_woodendishyellowsoupfeast	0.05
1528_woodendishyellowsoupfeastbitterleaf	0.43
29_woodendishyellowsoupfeast	0.05
1529_workn	0.5
1531_world	0.05
1533_wound	0.5
1534_wovenbowl	0.25
1535_wovendish	0.52
1536_wovendishtray	0.5
1537_wovendishwithalid	0.36
1538_wovendishflatforsievingcornflour	0.02
1539_wovendishforcornfufu	0.14
1540_woventray	0.05
1542_wrist	0.45
1544_xylophone	0.82
1545_yam	0.5
1546_yard	0.2
1548_year	0.82
1549_yellowsoup	0.55
1550_youpl	0.57
1551_yousg	0.48
1552_youngcock	0.02
1553_younghen	0.02
1554_youngpalmtree	0.02
1555_zinc	0.59
1556_zinchouse	0.34
