ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile
ECLAbar8-909_mother-1,,ECLAbar8,909_mother,nɪ́jā / àné~bʷɪ̀nɪ́jā,nɪ́jā,n ɪ.⁵/ɪ j a.³/a,,,,,^ n ɪ́ j ā $,default
NMAAbar1-909_mother-1,,NMAAbar1,909_mother,néà / bə̀néà,néà,n e.⁵/e a.¹/a,,,,,^ n é à $,default
NACAbar2-909_mother-1,,NACAbar2,909_mother,nɪ́yā / bə̀nɪ́yā,nɪ́yā,n ɪ.⁵/ɪ j a.³/a,,,,,^ n ɪ́ y ā $,default
NEMAjumbu9-909_mother-1,,NEMAjumbu9,909_mother,ɲʲə́~màmɪ́~nânə́ / bə̀ɲʲə́~bə̀màmɪ́~bə̀nânə́,ɲʲə́,ɲʲ ə.⁵/ə,,,,,^ ɲʲ ə́ $,default
NVIAjumbu1-909_mother-1,,NVIAjumbu1,909_mother,má / nânə́ ~,má,m a.⁵/a,,,,,^ m á $,default
KMNAjumbu2-909_mother-1,,KMNAjumbu2,909_mother,mà / màs,mà,m a.¹/a,,,,,^ m à $,default
KDCAjumbu10-909_mother-1,,KDCAjumbu10,909_mother,nânə́ / bə̀nânə́~ánâ,nânə́,n a.⁵¹/a n ə.⁵/ə,,,,,^ n â n ə́ $,default
ENBBiya1-909_mother-1,,ENBBiya1,909_mother,nɪ́ā / bə̀nɪ́ā,nɪ́ā,n ɪ.⁵/ɪ a.³/a,,,,,^ n ɪ́ ā $,default
ICNBiya2-909_mother-1,,ICNBiya2,909_mother,ʊ̀ⁿdìnə́~nî / bə̀ⁿdínə́,ʊ̀ⁿdìnə́,ʊ.¹/ʊ ⁿd i.¹/i n ə.⁵/ə,,,,,^ ʊ̀ ⁿd ì n ə́ $,default
NNBBuu3-909_mother-1,,NNBBuu3,909_mother,nâ / bə̀nâ,nâ,n a.⁵¹/a,,,,,^ n â $,default
MNJBuu4-909_mother-1,,MNJBuu4,909_mother,nɪ́ː / bə̀nɪ́,nɪ́ː,n ɪː.⁵/ɪː,,,,,^ n ɪ́ː $,default
KEMBuu1-909_mother-1,,KEMBuu1,909_mother,nâː / ɲí,nâː,n aː.⁵¹/aː,,,,,^ n âː $,default
KCYBuu2-909_mother-1,,KCYBuu2,909_mother,nâ / bə̀nâ,nâ,n a.⁵¹/a,,,,,^ n â $,default
KHKFang12-909_mother-1,,KHKFang12,909_mother,nɛ́ / bə̀nɛ́,nɛ́,n ɛ.⁵/ɛ,,,,,^ n ɛ́ $,default
DPNFang13-909_mother-1,,DPNFang13,909_mother,nɛ̂ / bə̀nɛ̂,nɛ̂,n ɛ.⁵¹/ɛ,,,,,^ n ɛ̂ $,default
JGYKoshin3-909_mother-1,,JGYKoshin3,909_mother,nə̂ / bə̀nə̂,nə̂,n ə.⁵¹/ə,,,,,^ n ə̂ $,default
TELKoshin4-909_mother-1,,TELKoshin4,909_mother,ɲʲə́ / bə̀ɲʲə́,ɲʲə́,ɲʲ ə.⁵/ə,,,,,^ ɲʲ ə́ $,default
MRYKoshin2-909_mother-1,,MRYKoshin2,909_mother,ɲʲə̄ / ø,ɲʲə̄,ɲʲ ə.³/ə,,,,,^ ɲʲ ə̄ $,default
KCSKung3-909_mother-1,,KCSKung3,909_mother,nêɲ ~ wùzə́ŋ / ɣɛ̀nêɲ,nêɲ,n e.⁵¹/e ɲ,,,,,^ n ê ɲ $,default
NJSKung4-909_mother-1,,NJSKung4,909_mother,nêʲ / nêʲɣê~ɣèʲbɛ̂ʲ,nêʲ,n e.⁵¹/e j,,,,,^ n ê ʲ $,default
ZKGKung1-909_mother-1,,ZKGKung1,909_mother,nɪ̂ / ɣénɪ̂,nɪ̂,n ɪ.⁵¹/ɪ,,,,,^ n ɪ̂ $,default
BNMKung2-909_mother-1,,BNMKung2,909_mother,nè~nɪ̀ / sə́nè,nè,n e.¹/e,,,,,^ n è $,default
NMNMundabli3-909_mother-1,,NMNMundabli3,909_mother,nɪ́ / bɑ̀ɦ ~ bònɪ́,nɪ́,n ɪ.⁵/ɪ,,,,,^ n ɪ́ $,default
CENMundabli2-909_mother-1,,CENMundabli2,909_mother,nɪ́ / nɪ́ː,nɪ́,n ɪ.⁵/ɪ,,,,,^ n ɪ́ $,default
LFNMundabli1-909_mother-1,,LFNMundabli1,909_mother,nɪ́ / nɪ́bō,nɪ́,n ɪ.⁵/ɪ,,,,,^ n ɪ́ $,default
NINMundabli4-909_mother-1,,NINMundabli4,909_mother,nɛ́ / bə̀nɛ́bó,nɛ́,n ɛ.⁵/ɛ,,,,,^ n ɛ́ $,default
NGTMunken3-909_mother-1,,NGTMunken3,909_mother,ɲí / bə̀ɲí,ɲí,ɲ i.⁵/i,,,,,^ ɲ í $,default
NUNMunken4-909_mother-1,,NUNMunken4,909_mother,nâ / bə̀nàâ,nâ,n a.⁵¹/a,,,,,^ n â $,default
NEAMunken1-909_mother-1,,NEAMunken1,909_mother,nǎː~na᷇ː / bə̀na᷇ː,nǎː,n aː.¹⁵/aː,,,,,^ n ǎː $,default
TNTMunken2-909_mother-1,,TNTMunken2,909_mother,nà ~ nǎ / bèɲí ~bə̀na᷇,nà,n a.¹/a,,,,,^ n à $,default
MCANgun3-909_mother-1,,MCANgun3,909_mother,níjā / bɛ̀nɪ́jā,níjā,n i.⁵/i j a.³/a,,,,,^ n í j ā $,default
KBMNgun4-909_mother-1,,KBMNgun4,909_mother,níjā / bɛ̀nɪ́jā,níjā,n i.⁵/i j a.³/a,,,,,^ n í j ā $,default
WCANgun1-909_mother-1,,WCANgun1,909_mother,ɲɪ́sə̀~ na᷇ː / bəɲísə́ ~ bə̀na᷇ː,ɲɪ́sə̀,ɲ ɪ.⁵/ɪ s ə.¹/ə,,,,,^ ɲ ɪ́ s ə̀ $,default
AOMNgun2-909_mother-1,,AOMNgun2,909_mother,nɪ́ ~nɪ́yā / bɛ́nɪ́yā,nɪ́,n ɪ.⁵/ɪ,,,,,^ n ɪ́ $,default
APBMumfu1-909_mother-1,,APBMumfu1,909_mother,n̄nāː / bə̀níbə́ ~ nāː / bə̀nāː,n̄nāː,n.³/n n aː.³/aː,,,,,^ n̄ n āː $,default
DNMMumfu2-909_mother-1,,DNMMumfu2,909_mother,màmí / bə̄nâː,mamí,m a.³/a m i.⁵/i,,,,,^ m a m í $,default
BKBMashi2-909_mother-1,,BKBMashi2,909_mother,nî / bʊ̀nî,nî,n i.⁵¹/i,,,,,^ n î $,default
KFKMashi1-909_mother-1,,KFKMashi1,909_mother,nî / bʊ̀nî,nî,n i.⁵¹/i,,,,,^ n î $,default
ABSMissong1-909_mother-1,,ABSMissong1,909_mother,ɲí / bàɲí,ɲí,ɲ i.⁵/i,,,,,^ ɲ í $,default
AGAMissong2-909_mother-1,,AGAMissong2,909_mother,ɲí / bàɲí,ɲí,ɲ i.⁵/i,,,,,^ ɲ í $,default
NVBAbar7-1003_person-1,,NVBAbar7,1003_person,ònò~ʊ̀nʊ̀ / ána᷇ː,ònò,o.¹/o n o.¹/o,,,,,^ ò n ò $,default
ECLAbar8-1003_person-1,,ECLAbar8,1003_person,ʊ̀nò / bʷɪ̀na᷇ː,ʊ̀nò,ʊ.¹/ʊ n o.¹/o,,,,,^ ʊ̀ n ò $,default
NMAAbar1-1003_person-1,,NMAAbar1,1003_person,ʊ̀nʊ̀ / bə́na᷇ː,ʊ̀nʊ̀,ʊ.¹/ʊ n ʊ.¹/ʊ,,,,,^ ʊ̀ n ʊ̀ $,default
NACAbar2-1003_person-1,,NACAbar2,1003_person,ʊ̀nò / bə́na᷇ː,ʊ̀nò,ʊ.¹/ʊ n o.¹/o,,,,,^ ʊ̀ n ò $,default
NEMAjumbu9-1003_person-1,,NEMAjumbu9,1003_person,ŋʊ̀ / ánɪ̂~ánîbə̄,ŋʊ̀,ŋ ʊ.¹/ʊ,,,,,^ ŋ ʊ̀ $,default
NVIAjumbu1-1003_person-1,,NVIAjumbu1,1003_person,ŋʊ̀ / ánɪ̀,ŋʊ̀,ŋ ʊ.¹/ʊ,,,,,^ ŋ ʊ̀ $,default
KMNAjumbu2-1003_person-1,,KMNAjumbu2,1003_person,ŋʊ̀ / ánɪ̂,ŋʊ̀,ŋ ʊ.¹/ʊ,,,,,^ ŋ ʊ̀ $,default
KDCAjumbu10-1003_person-1,,KDCAjumbu10,1003_person,ŋʊ̀ / ànè,ŋʊ̀,ŋ ʊ.¹/ʊ,,,,,^ ŋ ʊ̀ $,default
ENBBiya1-1003_person-1,,ENBBiya1,1003_person,ʊ̀nʊ̀ / bə̀nô,ʊ̀nʊ̀,ʊ.¹/ʊ n ʊ.¹/ʊ,,,,,^ ʊ̀ n ʊ̀ $,default
ICNBiya2-1003_person-1,,ICNBiya2,1003_person,ʊ̀nə̀~ʊ̀nò / bə̀nø̂,ʊ̀nə̀,ʊ.¹/ʊ n ə.¹/ə,,,,,^ ʊ̀ n ə̀ $,default
NNBBuu3-1003_person-1,,NNBBuu3,1003_person,mgbɪ̀ / mbɪ́lə́,mgbɪ̀,m gb ɪ.¹/ɪ,,,,,^ m gb ɪ̀ $,default
MNJBuu4-1003_person-1,,MNJBuu4,1003_person,mgbɪ̀ː / mbɪ᷇ːlə́,mgbɪ̀ː,m gb ɪ.¹/ɪ,,,,,^ m gb ɪ̀ː $,default
KEMBuu1-1003_person-1,,KEMBuu1,1003_person,mgbɪ̀ / mbɪ̀ːlə̀,mgbɪ̀,m gb ɪ.¹/ɪ,,,,,^ m gb ɪ̀ $,default
KCYBuu2-1003_person-1,,KCYBuu2,1003_person,mgbɪ̀ / mbɪ́ːlə́,mgbɪ̀,m gb ɪ.¹/ɪ,,,,,^ m gb ɪ̀ $,default
KHKFang12-1003_person-1,,KHKFang12,1003_person,ŋmə̀ / ŋmɪ̀m,ŋmə̀,ŋm ə.¹/ə,,,,,^ ŋm ə̀ $,default
DPNFang13-1003_person-1,,DPNFang13,1003_person,ŋmə̀~ŋmə̀tə̀ / ŋmɪ᷇ːm,ŋmə̀,ŋm ə.¹/ə,,,,,^ ŋm ə̀ $,default
JGYKoshin3-1003_person-1,,JGYKoshin3,1003_person,mùèɲ ~ mwèɲ / bə́nî,mùèɲ,m u.¹/u e.¹/e ɲ,,,,,^ m ù è ɲ $,default
TELKoshin4-1003_person-1,,TELKoshin4,1003_person,mɥɪ̀ɲ / bə́nî,mɥɪ̀ɲ,m ɥ ɪ.¹/ɪ ɲ,,,,,^ m ɥ ɪ̀ ɲ $,default
MRYKoshin2-1003_person-1,,MRYKoshin2,1003_person,mwɪ̀n  /  bə̀nɪ̀,mwɪ̀n,m w ɪ.¹/ɪ n,,,,,^ m w ɪ̀ n $,default
KCSKung3-1003_person-1,,KCSKung3,1003_person,wùò / àɣʲə᷇ː,wùò,w u.¹/u o.¹/o,,,,,^ w ù ò $,default
NJSKung4-1003_person-1,,NJSKung4,1003_person,wʊ̀ə̀ / ɣʲə᷇ː,wʊ̀ə̀,w ʊ.¹/ʊ ə.¹/ə,,,,,^ w ʊ̀ ə̀ $,default
ZKGKung1-1003_person-1,,ZKGKung1,1003_person,wùò / ə́ɣyə᷇,wùò,w u.¹/u o.¹/o,,,,,^ w ù ò $,default
BNMKung2-1003_person-1,,BNMKung2,1003_person,wʊ̀ə̀ / ə́ɣɨ᷇ː,wʊ̀ə̀,w ʊ.¹/ʊ ə.¹/ə,,,,,^ w ʊ̀ ə̀ $,default
NMNMundabli3-1003_person-1,,NMNMundabli3,1003_person,mò / ḿbɛ̂ː,mò,m o.¹/o,,,,,^ m ò $,default
CENMundabli2-1003_person-1,,CENMundabli2,1003_person,mò / mbɛ̂ː,mò,m o.¹/o,,,,,^ m ò $,default
LFNMundabli1-1003_person-1,,LFNMundabli1,1003_person,mɔ̀wɔ́ / mbɛ̀ːbó,mɔ̀wɔ́,m ɔ.¹/ɔ w ɔ.⁵/ɔ,,,,,^ m ɔ̀ w ɔ́ $,default
NINMundabli4-1003_person-1,,NINMundabli4,1003_person,mò / mbɛːbɛ́n,mò,m o.¹/o,,,,,^ m ò $,default
NGTMunken3-1003_person-1,,NGTMunken3,1003_person,ʊ̀nɛ̀ / bə̀nɛ̂,ʊ̀nɛ̀,ʊ.¹/ʊ n ɛ.¹/ɛ,,,,,^ ʊ̀ n ɛ̀ $,default
